ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;NettoOmzet_8;OverigeBedrijfsopbrengsten_9;TotaleBedrijfslasten_10;TotaleInkoopwaardeOmzet_11;InkoopwaardeExclusiefHandelsgoederen_12;Arbeidskosten_13;AfschrijvingenOpVasteActiva_14;TotaleOverigeBedrijfslasten_15;OverigePersoneelskosten_16;KostenVervoermiddelen_17;KostenEnergieverbruik_18;Huisvestingkosten_19;KostenMachinesEnInstallaties_20;Verkoopkosten_21;Communicatiekosten_22;KostenVanDienstverleningDoorDerden_23;NietEerderGenoemdeBedrijfslasten_24;Bedrijfsresultaat_25;SaldoFinancieleBatenEnLasten_26;FinancieleBaten_27;FinancieleLasten_28;SaldoVoorzieningen_29;OnttrekkingenVrijvalVanVoorzieningen_30;ToevoegingenAanVoorzieningen_31;SaldoBuitengewoneBatenEnLasten_32;BuitengewoneBaten_33;BuitengewoneLasten_34;ResultaatVoorBelastingen_35
0;I Vervoer, opslag en communicatie;2000;27585;528.9;442.3;456.8;382.0;12503.0;66145.0;62968.0;3177.0;62732.0;13143.0;11793.0;15098.0;6215.0;28276.0;3295.0;7886.0;334.0;1741.0;1642.0;2223.0;568.0;4399.0;6183.0;3423.0;-3032.0;1273.0;4305.0;156.0;423.0;267.0;2305.0;2583.0;278.0;2852.0
1;I Vervoer, opslag en communicatie;2001;28140;550.4;468.9;478.0;400.3;13665.0;71715.0;67873.0;3841.0;68329.0;15421.0;14595.0;16449.0;7370.0;29089.0;3277.0;8161.0;334.0;1924.0;1634.0;2349.0;538.0;4923.0;5945.0;3387.0;-9935.0;8875.0;18811.0;-1045.0;369.0;1414.0;-1395.0;381.0;1777.0;-8989.0
2;I Vervoer, opslag en communicatie;2002;27855;535.1;452.4;467.7;389.0;13724.0;74142.0;70695.0;3447.0;71209.0;16827.0;15747.0;16873.0;9022.0;28488.0;2708.0;8202.0;341.0;2024.0;1551.0;2231.0;632.0;5955.0;4843.0;2932.0;-11736.0;2283.0;14019.0;-318.0;341.0;659.0;142.0;815.0;672.0;-8979.0
3;I Vervoer, opslag en communicatie;2003;26850;526.9;442.2;460.2;381.4;13527.0;76315.0;72566.0;3750.0;68799.0;17578.0;16609.0;16724.0;7088.0;27410.0;2615.0;8206.0;299.0;2035.0;1226.0;2212.0;633.0;6547.0;3637.0;7517.0;-1634.0;2282.0;3916.0;-135.0;268.0;403.0;-738.0;677.0;1415.0;5010.0
4;I Vervoer, opslag en communicatie;2004;27130;510.3;426.2;447.7;369.8;13441.0;79767.0;76605.0;3162.0;72048.0;19652.0;18567.0;16796.0;6693.0;28908.0;2447.0;8979.0;334.0;1915.0;1276.0;2320.0;504.0;7333.0;3799.0;7719.0;-384.0;1545.0;1929.0;-153.0;275.0;429.0;93.0;469.0;377.0;7274.0
5;I Vervoer, opslag en communicatie;2005;27245;513.9;430.9;443.2;369.8;13625.0;84439.0;81098.0;3342.0;75828.0;21219.0;20373.0;16797.0;6828.0;30982.0;2685.0;10115.0;372.0;2005.0;1287.0;2538.0;505.0;7491.0;3983.0;8612.0;64.0;2570.0;2506.0;-362.0;244.0;606.0;155.0;558.0;403.0;8469.0
6;60 Vervoer over land;2000;13995;221.1;185.6;201.4;167.9;4852.0;18544.0;17057.0;1487.0;17492.0;3139.0;2800.0;5854.0;1329.0;7170.0;783.0;4158.0;105.0;380.0;160.0;158.0;131.0;390.0;902.0;1062.0;-250.0;99.0;349.0;-50.0;25.0;76.0;43.0;89.0;46.0;804.0
7;60 Vervoer over land;2001;14165;231.0;196.1;207.0;173.8;5185.0;19398.0;17966.0;1432.0;18214.0;3267.0;3076.0;6286.0;1411.0;7250.0;813.0;4199.0;103.0;414.0;150.0;164.0;132.0;390.0;882.0;1184.0;-267.0;109.0;376.0;-8.0;81.0;90.0;32.0;85.0;53.0;941.0
8;60 Vervoer over land;2002;14315;224.3;190.4;202.3;169.7;5240.0;19358.0;17891.0;1467.0;18364.0;3319.0;3158.0;6438.0;1364.0;7243.0;813.0;4254.0;109.0;443.0;149.0;145.0;133.0;433.0;763.0;994.0;-261.0;96.0;356.0;26.0;111.0;84.0;62.0;111.0;49.0;822.0
9;60 Vervoer over land;2003;14040;218.8;188.0;196.6;167.7;5357.0;19868.0;18353.0;1515.0;18842.0;3642.0;3520.0;6633.0;1368.0;7199.0;754.0;4258.0;60.0;442.0;127.0;174.0;151.0;487.0;747.0;1026.0;-250.0;101.0;350.0;-30.0;51.0;81.0;-5.0;61.0;67.0;741.0
