ID;RegioS;Perioden;AfgslotenHypotheken_1;HypothekenTotaalBedrag_2;HypothekenGemiddeldBedrag_3;AfgeslotenPartWoningHypotheken_4;PartWoningHypothekenTotaalBedrag_5;PartWoningHypothekenGemiddeldBedrag_6;AfgeslotenHypothekenAndereObjecten_7;AndereObjectenHypothekenTotaalBedrag_8;AndereObjectHypothekenGemiddBedrag_9
393;Amstelveen;2002;2050.0;535.8;261.0;1966.0;416.6;212.0;84.0;119.2;1418.0
394;Amstelveen;2003;;;;2047.0;463.9;227.0;;;
395;Amsterdam;1999;14253.0;4523.7;317.0;12506.0;2267.6;181.0;1747.0;2256.0;1291.0
396;Amsterdam;2000;13787.0;4897.1;355.0;11793.0;2453.1;208.0;1994.0;2443.9;1226.0
397;Amsterdam;2001;13363.0;5325.7;399.0;11580.0;2555.0;221.0;1783.0;2770.8;1554.0
398;Amsterdam;2002;13694.0;5148.7;376.0;11969.0;2763.1;231.0;1725.0;2385.6;1383.0
399;Amsterdam;2003;;;;12851.0;2956.1;230.0;;;
400;Andijk;1999;346.0;42.5;123.0;322.0;33.2;103.0;24.0;9.4;390.0
401;Andijk;2000;235.0;33.4;142.0;211.0;23.0;109.0;24.0;10.3;430.0
402;Andijk;2001;229.0;34.7;152.0;213.0;26.3;124.0;16.0;8.4;525.0
403;Andijk;2002;250.0;46.8;187.0;224.0;33.1;148.0;26.0;13.6;524.0
404;Andijk;2003;;;;259.0;37.1;143.0;;;
405;Angerlo;1999;389.0;50.2;129.0;326.0;37.1;114.0;63.0;13.0;207.0
406;Angerlo;2000;242.0;32.0;132.0;224.0;24.9;111.0;18.0;7.1;394.0
407;Angerlo;2001;204.0;28.8;141.0;189.0;25.1;133.0;15.0;3.7;249.0
408;Angerlo;2002;222.0;34.8;157.0;195.0;26.6;136.0;27.0;8.2;304.0
409;Angerlo;2003;;;;199.0;31.4;158.0;;;
410;Anna Paulowna;1999;624.0;96.6;155.0;573.0;65.7;115.0;51.0;30.9;606.0
411;Anna Paulowna;2000;435.0;66.0;152.0;393.0;46.7;119.0;42.0;19.3;460.0
412;Anna Paulowna;2001;417.0;81.0;194.0;358.0;41.8;117.0;59.0;39.1;663.0
413;Anna Paulowna;2002;454.0;76.1;168.0;417.0;56.7;136.0;37.0;19.4;525.0
414;Anna Paulowna;2003;;;;477.0;81.3;170.0;;;
415;Apeldoorn;1999;7604.0;1021.4;134.0;7320.0;843.4;115.0;284.0;178.0;627.0
416;Apeldoorn;2000;5760.0;977.5;170.0;5391.0;710.5;132.0;369.0;267.0;724.0
417;Apeldoorn;2001;5569.0;999.1;179.0;5177.0;775.6;150.0;392.0;223.5;570.0
418;Apeldoorn;2002;5480.0;1120.8;205.0;5178.0;834.2;161.0;302.0;286.6;949.0
419;Apeldoorn;2003;;;;5630.0;1005.1;179.0;;;
420;Appingedam;1999;590.0;53.3;90.0;560.0;47.2;84.0;30.0;6.1;202.0
421;Appingedam;2000;383.0;56.3;147.0;362.0;30.7;85.0;21.0;25.6;1217.0
422;Appingedam;2001;392.0;42.1;107.0;346.0;28.0;81.0;46.0;14.1;307.0
423;Appingedam;2002;396.0;43.1;109.0;379.0;37.1;98.0;17.0;6.0;351.0
424;Appingedam;2003;;;;408.0;48.3;118.0;;;
425;Arcen en Velden;1999;400.0;51.6;129.0;374.0;40.6;108.0;26.0;11.0;423.0
426;Arcen en Velden;2000;308.0;52.7;171.0;279.0;35.2;126.0;29.0;17.5;604.0
427;Arcen en Velden;2001;259.0;49.0;189.0;238.0;33.1;139.0;21.0;15.9;757.0
428;Arcen en Velden;2002;309.0;51.3;166.0;284.0;42.9;151.0;25.0;8.4;335.0
429;Arcen en Velden;2003;;;;291.0;53.8;185.0;;;
430;Arnhem;1999;5401.0;856.9;159.0;5115.0;599.2;117.0;286.0;257.7;901.0
431;Arnhem;2000;4432.0;791.1;178.0;4177.0;556.6;133.0;255.0;234.5;919.0
432;Arnhem;2001;4164.0;759.3;182.0;3970.0;585.1;147.0;194.0;174.2;898.0
433;Arnhem;2002;4272.0;807.7;189.0;4095.0;628.8;154.0;177.0;178.9;1011.0
434;Arnhem;2003;;;;4648.0;813.9;175.0;;;
435;Assen;1999;3007.0;417.2;139.0;2850.0;266.4;93.0;157.0;150.8;960.0
436;Assen;2000;2430.0;329.6;136.0;2303.0;233.9;102.0;127.0;95.7;754.0
437;Assen;2001;2532.0;524.1;207.0;2357.0;278.0;118.0;175.0;246.1;1406.0
438;Assen;2002;2708.0;433.4;160.0;2553.0;314.4;123.0;155.0;118.9;767.0
439;Assen;2003;;;;2343.0;317.8;136.0;;;
440;Asten;1999;673.0;94.7;141.0;587.0;64.4;110.0;86.0;30.3;352.0
441;Asten;2000;539.0;94.5;175.0;390.0;52.7;135.0;149.0;41.8;280.0
442;Asten;2001;568.0;118.6;209.0;423.0;64.8;153.0;145.0;53.8;371.0
443;Asten;2002;470.0;98.4;209.0;397.0;68.9;174.0;73.0;29.5;404.0
444;Asten;2003;;;;473.0;86.1;182.0;;;
445;Avereest;1999;736.0;96.8;132.0;659.0;71.2;108.0;77.0;25.6;332.0
446;Avereest;2000;461.0;59.4;129.0;402.0;44.9;112.0;59.0;14.4;245.0
447;Avereest;2001;;;;;;;;;
448;Avereest;2002;;;;;;;;;
449;Avereest;2003;;;;;;;;;
450;Axel;1999;535.0;56.9;106.0;471.0;39.9;85.0;64.0;17.0;266.0
451;Axel;2000;426.0;47.8;112.0;390.0;33.9;87.0;36.0;13.9;387.0
452;Axel;2001;389.0;40.9;105.0;354.0;34.0;96.0;35.0;6.9;197.0
453;Axel;2002;371.0;43.5;117.0;342.0;37.7;110.0;29.0;5.8;200.0
454;Axel;2003;;;;;;;;;
455;Baarle-Nassau;1999;250.0;31.4;126.0;220.0;22.3;101.0;30.0;9.1;303.0
456;Baarle-Nassau;2000;209.0;37.1;177.0;184.0;26.9;146.0;25.0;10.1;406.0
457;Baarle-Nassau;2001;233.0;42.8;184.0;197.0;26.2;133.0;36.0;16.6;461.0
458;Baarle-Nassau;2002;224.0;42.7;191.0;191.0;29.1;152.0;33.0;13.6;412.0
459;Baarle-Nassau;2003;;;;198.0;29.7;150.0;;;
460;Baarn;1999;1225.0;190.1;155.0;1187.0;163.2;138.0;38.0;26.8;707.0
461;Baarn;2000;815.0;174.8;214.0;787.0;145.7;185.0;28.0;29.0;1036.0
462;Baarn;2001;828.0;216.5;262.0;780.0;165.8;213.0;48.0;50.7;1057.0
463;Baarn;2002;898.0;193.1;215.0;870.0;170.6;196.0;28.0;22.5;802.0
464;Baarn;2003;;;;849.0;179.7;212.0;;;
465;Barendrecht;1999;1625.0;276.1;170.0;1538.0;218.6;142.0;87.0;57.5;661.0
466;Barendrecht;2000;1603.0;318.5;199.0;1487.0;238.3;160.0;116.0;80.2;691.0
467;Barendrecht;2001;1226.0;333.2;272.0;1160.0;212.7;183.0;66.0;120.5;1825.0
468;Barendrecht;2002;1505.0;375.6;250.0;1451.0;297.7;205.0;54.0;77.9;1442.0
469;Barendrecht;2003;;;;1605.0;360.1;224.0;;;
470;Barneveld;1999;1996.0;383.5;192.0;1826.0;254.4;139.0;170.0;129.0;759.0
471;Barneveld;2000;1658.0;351.1;212.0;1444.0;223.9;155.0;214.0;127.2;594.0
472;Barneveld;2001;1365.0;296.0;217.0;1192.0;193.9;163.0;173.0;102.1;590.0
473;Barneveld;2002;1424.0;336.0;236.0;1195.0;212.5;178.0;229.0;123.5;539.0
474;Barneveld;2003;;;;1434.0;277.1;193.0;;;
475;Bathmen;1999;234.0;29.4;126.0;209.0;22.5;107.0;25.0;6.9;277.0
476;Bathmen;2000;191.0;32.3;169.0;165.0;21.4;130.0;26.0;10.9;420.0
477;Bathmen;2001;187.0;26.6;142.0;169.0;21.6;128.0;18.0;5.0;280.0
478;Bathmen;2002;180.0;44.3;246.0;159.0;30.1;189.0;21.0;14.2;676.0
479;Bathmen;2003;;;;156.0;28.2;181.0;;;
480;Bedum;1999;511.0;47.0;92.0;492.0;43.0;87.0;19.0;4.0;211.0
481;Bedum;2000;382.0;42.1;110.0;346.0;33.9;98.0;36.0;8.2;227.0
482;Bedum;2001;359.0;44.3;123.0;327.0;35.2;108.0;32.0;9.0;282.0
483;Bedum;2002;348.0;44.5;128.0;332.0;36.9;111.0;16.0;7.6;474.0
484;Bedum;2003;;;;376.0;48.0;128.0;;;
485;Beek;1999;890.0;118.9;134.0;846.0;93.7;111.0;44.0;25.2;572.0
486;Beek;2000;584.0;87.3;150.0;546.0;69.5;127.0;38.0;17.9;470.0
487;Beek;2001;587.0;95.5;163.0;530.0;63.4;120.0;57.0;32.1;563.0
488;Beek;2002;588.0;99.8;170.0;550.0;70.5;128.0;38.0;29.3;771.0
489;Beek;2003;;;;542.0;82.0;151.0;;;
490;Beemster;1999;399.0;60.9;153.0;375.0;52.8;141.0;24.0;8.1;336.0
491;Beemster;2000;289.0;50.7;176.0;262.0;36.1;138.0;27.0;14.6;541.0
492;Beemster;2001;275.0;54.9;200.0;255.0;43.6;171.0;20.0;11.3;567.0
493;Beemster;2002;240.0;62.0;258.0;211.0;42.9;203.0;29.0;19.1;658.0
494;Beemster;2003;;;;241.0;45.9;190.0;;;
495;Beesel;1999;603.0;65.9;109.0;536.0;51.3;96.0;67.0;14.6;218.0
496;Beesel;2000;485.0;57.1;118.0;441.0;49.7;113.0;44.0;7.4;169.0
497;Beesel;2001;395.0;48.2;122.0;368.0;41.3;112.0;27.0;6.9;257.0
498;Beesel;2002;388.0;49.8;128.0;365.0;41.9;115.0;23.0;7.9;343.0
499;Beesel;2003;;;;467.0;69.4;149.0;;;
500;Belfeld;1999;250.0;65.7;263.0;220.0;21.9;100.0;30.0;43.8;1459.0
501;Belfeld;2000;145.0;29.2;201.0;127.0;16.1;126.0;18.0;13.1;729.0
502;Belfeld;2001;;;;;;;;;
503;Belfeld;2002;;;;;;;;;
504;Belfeld;2003;;;;;;;;;
505;Bellingwedde;1999;546.0;52.7;97.0;509.0;41.2;81.0;37.0;11.6;313.0
506;Bellingwedde;2000;446.0;45.2;101.0;414.0;37.2;90.0;32.0;8.0;249.0
