ID;Geslacht;Leeftijdsklassen;Perioden;TotaleInstroom_1;WWInstroomMetHerkomstBedrijfsleven_2;WWInstroomMetOverigeHerkomst_3;TotaleUitstroom_4;WWUitstroomMetRedenWerkhervatting_5;WWUitstroomMetOverigeRedenen_6
0;Mannen en vrouwen;15 tot 65 jaar;1998 januari;54870;51650;3220;40430;23020;17410
1;Mannen en vrouwen;15 tot 65 jaar;1998 februari;43380;40670;2710;39270;26460;12810
2;Mannen en vrouwen;15 tot 65 jaar;1998 maart;32480;30160;2320;44680;30660;14020
3;Mannen en vrouwen;15 tot 65 jaar;1998 april;32600;29380;3210;56730;39560;17170
4;Mannen en vrouwen;15 tot 65 jaar;1998 mei;25420;22830;2590;40140;25180;14970
5;Mannen en vrouwen;15 tot 65 jaar;1998 juni;25750;23250;2500;36160;21130;15030
6;Mannen en vrouwen;15 tot 65 jaar;1998 juli;29720;26790;2940;36380;19270;17120
7;Mannen en vrouwen;15 tot 65 jaar;1998 augustus;28570;26570;2000;31730;19360;12370
8;Mannen en vrouwen;15 tot 65 jaar;1998 september;24980;22660;2320;32450;20830;11620
9;Mannen en vrouwen;15 tot 65 jaar;1998 oktober;30360;27420;2940;37870;22630;15250
10;Mannen en vrouwen;15 tot 65 jaar;1998 november;36660;34210;2450;29370;16050;13320
11;Mannen en vrouwen;15 tot 65 jaar;1998 december;38630;36140;2490;27540;13440;14100
12;Mannen en vrouwen;15 tot 65 jaar;1998 jaarcijfer;403410;371720;31690;452770;277600;175170
13;Mannen en vrouwen;15 tot 65 jaar;1999 januari;38420;36030;2390;33970;18390;15580
14;Mannen en vrouwen;15 tot 65 jaar;1999 februari;29560;27270;2290;33520;21400;12120
15;Mannen en vrouwen;15 tot 65 jaar;1999 maart;32160;28980;3180;47360;32250;15110
16;Mannen en vrouwen;15 tot 65 jaar;1999 april;20190;17990;2190;35960;24440;11520
17;Mannen en vrouwen;15 tot 65 jaar;1999 mei;18020;15990;2030;28400;15740;12670
18;Mannen en vrouwen;15 tot 65 jaar;1999 juni;19900;17670;2230;28750;15790;12950
19;Mannen en vrouwen;15 tot 65 jaar;1999 juli;20970;18670;2300;22430;11180;11240
20;Mannen en vrouwen;15 tot 65 jaar;1999 augustus;16780;15090;1690;19880;10580;9300
21;Mannen en vrouwen;15 tot 65 jaar;1999 september;22920;20380;2540;29610;18010;11600
22;Mannen en vrouwen;15 tot 65 jaar;1999 oktober;19790;17480;2300;24770;14240;10540
23;Mannen en vrouwen;15 tot 65 jaar;1999 november;23910;21620;2300;23080;12250;10820
24;Mannen en vrouwen;15 tot 65 jaar;1999 december;23250;21240;2010;22200;11010;11190
25;Mannen en vrouwen;15 tot 65 jaar;1999 jaarcijfer;285860;258400;27450;349910;205270;144640
26;Mannen en vrouwen;15 tot 65 jaar;2000 januari;32720;30100;2620;22880;12620;10260
27;Mannen en vrouwen;15 tot 65 jaar;2000 februari;25440;23120;2330;26900;16760;10140
28;Mannen en vrouwen;15 tot 65 jaar;2000 maart;24400;21640;2760;34090;22750;11340
29;Mannen en vrouwen;15 tot 65 jaar;2000 april;16920;14650;2260;28420;17770;10640
30;Mannen en vrouwen;15 tot 65 jaar;2000 mei;16370;14310;2060;24350;13970;10380
31;Mannen en vrouwen;15 tot 65 jaar;2000 juni;16530;14030;2500;23530;11950;11580
32;Mannen en vrouwen;15 tot 65 jaar;2000 juli;18650;15760;2890;19810;8940;10880
33;Mannen en vrouwen;15 tot 65 jaar;2000 augustus;17680;15530;2150;19370;10300;9070
34;Mannen en vrouwen;15 tot 65 jaar;2000 september;15560;13550;2000;20750;12340;8410
35;Mannen en vrouwen;15 tot 65 jaar;2000 oktober;17640;15160;2480;20780;11370;9420
36;Mannen en vrouwen;15 tot 65 jaar;2000 november;24500;21360;3150;21590;11500;10090
37;Mannen en vrouwen;15 tot 65 jaar;2000 december;16650;14890;1760;16140;7820;8320
38;Mannen en vrouwen;15 tot 65 jaar;2000 jaarcijfer;243060;214100;28970;278600;158080;120520
39;Mannen en vrouwen;15 tot 65 jaar;2001 januari;22680;20390;2290;18330;9580;8760
40;Mannen en vrouwen;15 tot 65 jaar;2001 februari;20830;18610;2220;20300;11850;8450
41;Mannen en vrouwen;15 tot 65 jaar;2001 maart;24160;20870;3290;31690;18750;12940
42;Mannen en vrouwen;15 tot 65 jaar;2001 april;17020;14370;2650;24760;15120;9640
43;Mannen en vrouwen;15 tot 65 jaar;2001 mei;17820;15180;2640;22530;12300;10220
44;Mannen en vrouwen;15 tot 65 jaar;2001 juni;15110;12820;2290;17630;8710;8910
45;Mannen en vrouwen;15 tot 65 jaar;2001 juli;15510;12760;2750;18470;8320;10150
46;Mannen en vrouwen;15 tot 65 jaar;2001 augustus;15600;13520;2080;17190;8450;8740
