ID;Perioden;Algemeen_1;Consumentengoederenindustrie_2;Kapitaalgoederenindustrie_3;Basisgoederenindustrie_4;BouwnijverheidEnInstallatie_5;TransportOpslagEnCommunicatie_6;NietFinancieleDienstverlening_7;Handel_8;BankenFinancieleDienstverlening_9;Verzekeraars_10;MIT_11;MITS_12;HerbeleggingsindexNietAEXFondsen_13;Algemeen_14;AandelenfondsenTotaal_15;BeleggingenInNederland_16;BeleggingenInEuropa_17;BeleggingenInHetVerreOosten_18;BeleggingenWereldwijd_19;BeleggingenInNoordAmerika_20;TotaalObligatiefondsen_21;DividendObligatiefondsen_22;FictiefRendementObligatiefondsen_23;Geldmarktfondsen_24;GemengdeFondsen_25;VastgoedfondsenAlgemeen_26;TotaalDirecteVastgoedBelegging_27;DirecteVastgoedbeleggingInNederland_28;DirecteVastgoedbeleggingWereldwijd_29;VastgoedfondsenIndirecteBelegging_30;Algemeen_31;TotaalStaatsobligaties_32;VasteLooptijd_33;k_0Tot3Jaar_34;k_3Tot5Jaar_35;k_5Tot8Jaar_36;MeerDan8Jaar_37;GewoneObligaties_38;KapitaalObligaties_39
0;2000 april;20.9;-5.1;128.7;16.4;-4.3;98.9;15.9;-20.1;3.3;-5.5;122.7;94.8;46.8;29.5;48.3;24.3;55.6;50.4;52.6;27.9;2.6;-0.7;7.7;1.9;14.0;-0.9;-2.5;4.5;-5.3;10.0;-1.9;-1.85;-1.85;1.41;-1.24;-3.26;-4.76;-2.08;-1.41
1;2000 mei;23.8;-2.6;115.1;13.4;1.9;57.7;9.9;-7.2;19.2;10.4;86.5;59.0;39.2;26.7;43.8;30.0;53.5;36.6;46.2;24.8;2.4;-0.8;7.0;1.9;15.5;3.1;2.8;0.9;3.6;5.2;-1.1;-0.73;-0.73;1.22;-0.89;-2.15;-1.25;-1.82;-1.25
2;2000 juni;24.3;-3.4;100.7;11.8;1.1;62.4;10.0;-5.7;26.0;20.0;72.3;37.8;37.5;24.0;37.6;30.3;46.4;23.5;39.1;18.5;3.3;0.8;7.0;2.1;15.4;7.6;7.4;9.6;6.5;8.9;1.1;1.35;1.35;2.06;1.16;0.54;1.83;0.35;1.07
3;2000 juli;24.9;-6.1;98.1;14.6;11.7;47.1;20.4;-3.9;29.4;31.7;69.3;41.9;41.0;27.0;42.0;33.2;54.4;19.6;43.9;24.9;5.0;1.8;9.6;2.2;18.6;15.6;15.2;11.7;17.7;18.3;2.3;2.55;2.55;2.28;1.86;1.99;4.61;1.45;2.49
4;2000 augustus;25.6;0.8;110.4;14.8;13.9;29.6;17.9;-1.4;27.7;25.0;65.5;37.6;43.8;31.9;49.1;33.1;54.9;23.0;53.4;36.7;6.0;4.4;9.0;4.5;19.6;17.5;16.7;11.2;19.0;23.1;2.5;2.72;2.72;2.35;1.8;1.99;5.15;2.05;2.99
5;2000 september;26.3;8.2;90.8;17.9;36.1;13.5;15.5;3.9;32.2;27.1;46.7;18.0;39.3;30.6;46.7;31.9;51.0;16.5;51.0;41.3;7.2;5.1;11.4;4.6;19.8;19.7;18.3;9.4;22.2;28.2;3.7;3.92;3.92;2.87;2.95;3.76;6.49;3.21;4.14
6;2000 oktober;24.0;12.3;73.9;28.8;37.1;-3.0;18.2;14.4;27.3;26.8;31.1;10.2;36.3;25.7;36.8;30.7;45.0;9.0;38.7;28.6;9.3;6.1;15.2;4.8;18.9;21.8;20.3;10.0;24.8;31.3;4.3;4.51;4.51;3.4;3.84;4.65;6.63;3.93;4.98
7;2000 november;11.5;34.4;13.0;27.5;40.0;-34.6;-10.3;14.2;7.4;26.1;-19.5;-38.1;6.5;7.6;8.4;15.8;17.1;-9.0;7.0;7.2;7.6;6.0;10.7;5.0;12.5;21.9;21.2;11.8;25.2;25.7;5.1;5.31;5.31;3.77;4.44;5.56;8.25;4.67;5.85
8;2000 december;-2.1;29.8;2.4;15.8;31.7;-60.4;-23.2;11.8;4.9;17.0;-40.6;-50.3;-11.1;-2.8;-6.7;0.7;1.5;-23.4;-8.4;-4.7;6.9;6.7;8.2;5.2;6.0;15.5;14.2;7.0;17.5;23.5;6.6;6.97;6.97;4.48;6.05;7.64;10.96;6.08;7.07
9;2001 januari;8.4;28.3;1.7;28.3;33.5;-47.1;-19.9;28.1;42.1;35.9;-30.3;-39.6;-1.6;0.5;-2.6;8.4;1.4;-21.8;-3.9;1.6;9.0;9.8;9.6;5.4;9.0;22.9;22.6;13.1;26.6;22.0;8.0;8.08;8.06;4.93;7.11;9.25;12.56;8.07;9.17
