ID;EigendomWoning;Bouwjaar;RegioS;Perioden;TotaalWoningenMetEnergielabel_1;WoningenMetEnergielabelAEnB_2;WoningenMetEnergielabelCEnD_3;WoningenMetEnergielabelEFG_4
0;Totaal ;Alle bouwjaren;Nederland;2011;2042714;282686;1162153;597875
1;Totaal ;Alle bouwjaren;Noord-Nederland (LD);2011;235146;34646;125782;74718
2;Totaal ;Alle bouwjaren;Oost-Nederland (LD);2011;426040;73733;252089;100218
3;Totaal ;Alle bouwjaren;West-Nederland (LD);2011;970710;120714;544433;305563
4;Totaal ;Alle bouwjaren;Zuid-Nederland (LD);2011;410818;53593;239849;117376
5;Totaal ;Alle bouwjaren;Groningen (PV);2011;86020;12600;47157;26263
6;Totaal ;Alle bouwjaren;Friesland (PV);2011;90225;12245;43668;34312
7;Totaal ;Alle bouwjaren;Drenthe (PV);2011;58901;9801;34957;14143
8;Totaal ;Alle bouwjaren;Overijssel (PV);2011;157989;30023;89417;38549
9;Totaal ;Alle bouwjaren;Flevoland (PV);2011;42652;9005;29738;3909
10;Totaal ;Alle bouwjaren;Gelderland (PV);2011;225399;34705;132934;57760
11;Totaal ;Alle bouwjaren;Utrecht (PV);2011;124121;20512;68792;34817
12;Totaal ;Alle bouwjaren;Noord-Holland (PV);2011;319162;42087;174990;102085
13;Totaal ;Alle bouwjaren;Zuid-Holland (PV);2011;479327;53184;269701;156442
14;Totaal ;Alle bouwjaren;Zeeland (PV);2011;48100;4931;30950;12219
15;Totaal ;Alle bouwjaren;Noord-Brabant (PV);2011;277723;38607;164500;74616
16;Totaal ;Alle bouwjaren;Limburg (PV);2011;133095;14986;75349;42760
17;Totaal ;Alle bouwjaren;Oost-Groningen (CR);2011;19550;2940;9295;7315
18;Totaal ;Alle bouwjaren;Delfzijl en omgeving (CR);2011;7469;1068;4249;2152
19;Totaal ;Alle bouwjaren;Overig Groningen (CR);2011;59001;8592;33613;16796
20;Totaal ;Alle bouwjaren;Noord-Friesland (CR);2011;47052;5645;22547;18860
21;Totaal ;Alle bouwjaren;Zuidwest-Friesland (CR);2011;13106;1781;7191;4134
22;Totaal ;Alle bouwjaren;Zuidoost-Friesland (CR);2011;30067;4819;13930;11318
23;Totaal ;Alle bouwjaren;Noord-Drenthe (CR);2011;20562;4300;13088;3174
24;Totaal ;Alle bouwjaren;Zuidoost-Drenthe (CR);2011;22029;3014;12073;6942
25;Totaal ;Alle bouwjaren;Zuidwest-Drenthe (CR);2011;16310;2487;9796;4027
26;Totaal ;Alle bouwjaren;Noord-Overijssel (CR);2011;43145;7748;24213;11184
27;Totaal ;Alle bouwjaren;Zuidwest-Overijssel (CR);2011;21906;3247;12177;6482
28;Totaal ;Alle bouwjaren;Twente (CR);2011;92938;19028;53027;20883
29;Totaal ;Alle bouwjaren;Veluwe (CR);2011;65890;10366;36302;19222
30;Totaal ;Alle bouwjaren;Achterhoek (CR);2011;44823;8734;26409;9680
31;Totaal ;Alle bouwjaren;Arnhem/Nijmegen (CR);2011;91525;11668;56354;23503
32;Totaal ;Alle bouwjaren;Zuidwest-Gelderland (CR);2011;23161;3937;13869;5355
33;Totaal ;Alle bouwjaren;Utrecht (CR);2011;124121;20512;68792;34817
34;Totaal ;Alle bouwjaren;Kop van Noord-Holland (CR);2011;40247;5591;29223;5433
35;Totaal ;Alle bouwjaren;Alkmaar en omgeving (CR);2011;24013;3942;15091;4980
36;Totaal ;Alle bouwjaren;IJmond (CR);2011;24568;3602;12390;8576
37;Totaal ;Alle bouwjaren;Agglomeratie Haarlem (CR);2011;20059;1916;8132;10011
38;Totaal ;Alle bouwjaren;Zaanstreek (CR);2011;25344;2128;10955;12261
39;Totaal ;Alle bouwjaren;Groot-Amsterdam (CR);2011;169587;23386;90835;55366
40;Totaal ;Alle bouwjaren;Het Gooi en Vechtstreek (CR);2011;15344;1522;8364;5458
41;Totaal ;Alle bouwjaren;Agglomeratie Leiden en Bollenstreek (CR);2011;44238;4910;24787;14541
42;Totaal ;Alle bouwjaren;Agglomeratie 's-Gravenhage (CR);2011;125208;15330;64855;45023
43;Totaal ;Alle bouwjaren;Delft en Westland (CR);2011;29953;2938;16278;10737
44;Totaal ;Alle bouwjaren;Oost-Zuid-Holland (CR);2011;21113;2056;11471;7586
45;Totaal ;Alle bouwjaren;Groot-Rijnmond (CR);2011;199582;22021;121294;56267
46;Totaal ;Alle bouwjaren;Zuidoost-Zuid-Holland (CR);2011;59233;5929;31016;22288
47;Totaal ;Alle bouwjaren;Zeeuwsch-Vlaanderen (CR);2011;11686;1471;6657;3558
48;Totaal ;Alle bouwjaren;Overig Zeeland (CR);2011;36414;3460;24293;8661
49;Totaal ;Alle bouwjaren;West-Noord-Brabant (CR);2011;60290;7643;33629;19018
50;Totaal ;Alle bouwjaren;Midden-Noord-Brabant (CR);2011;58346;7734;34929;15683
51;Totaal ;Alle bouwjaren;Noordoost-Noord-Brabant (CR);2011;59101;11260;35338;12503
52;Totaal ;Alle bouwjaren;Zuidoost-Noord-Brabant (CR);2011;99986;11970;60604;27412
53;Totaal ;Alle bouwjaren;Noord-Limburg (CR);2011;26498;3456;16895;6147
54;Totaal ;Alle bouwjaren;Midden-Limburg (CR);2011;20114;2302;11270;6542
55;Totaal ;Alle bouwjaren;Zuid-Limburg (CR);2011;86483;9228;47184;30071
56;Totaal ;Alle bouwjaren;Flevoland (CR);2011;42652;9005;29738;3909
57;Totaal ;Alle bouwjaren;Groningen (GA);2011;40424;5663;24404;10357
58;Totaal ;Alle bouwjaren;Leeuwarden (GA);2011;18191;1959;10019;6213
59;Totaal ;Alle bouwjaren;Zwolle (GA);2011;20657;3730;11288;5639
60;Totaal ;Alle bouwjaren;Enschede (GA);2011;32283;6212;20040;6031
61;Totaal ;Alle bouwjaren;Apeldoorn (GA);2011;22406;3128;12043;7235
62;Totaal ;Alle bouwjaren;Arnhem (GA);2011;16955;2062;9660;5233
63;Totaal ;Alle bouwjaren;Nijmegen (GA);2011;32679;4278;19054;9347
64;Totaal ;Alle bouwjaren;Amersfoort (GA);2011;13992;3077;6525;4390
65;Totaal ;Alle bouwjaren;Utrecht (GA);2011;54440;9256;31202;13982
66;Totaal ;Alle bouwjaren;Amsterdam (GA);2011;165702;21861;84545;59296
67;Totaal ;Alle bouwjaren;Haarlem (GA);2011;17300;1718;6954;8628
68;Totaal ;Alle bouwjaren;Leiden (GA);2011;29183;2934;15362;10887
69;Totaal ;Alle bouwjaren;'s-Gravenhage (GA);2011;99641;10698;51089;37854
70;Totaal ;Alle bouwjaren;Rotterdam (GA);2011;157901;15222;99235;43444
71;Totaal ;Alle bouwjaren;Dordrecht (GA);2011;37138;2992;21174;12972
72;Totaal ;Alle bouwjaren;Breda (GA);2011;17425;1564;9509;6352
73;Totaal ;Alle bouwjaren;Tilburg (GA);2011;35279;3847;21710;9722
74;Totaal ;Alle bouwjaren;'s-Hertogenbosch (GA);2011;27013;4696;15267;7050
75;Totaal ;Alle bouwjaren;Eindhoven (GA);2011;58834;5444;34757;18633
76;Totaal ;Alle bouwjaren;Geleen/Sittard (GA);2011;17827;2717;8765;6345
77;Totaal ;Alle bouwjaren;Heerlen (GA);2011;34306;3180;19080;12046
78;Totaal ;Alle bouwjaren;Maastricht (GA);2011;23412;1883;13335;8194
79;Totaal ;Alle bouwjaren;Groningen (SG);2011;51487;7558;29882;14047
80;Totaal ;Alle bouwjaren;Leeuwarden (SG);2011;25433;2976;12662;9795
81;Totaal ;Alle bouwjaren;Zwolle (SG);2011;26487;4854;14104;7529
82;Totaal ;Alle bouwjaren;Enschede (SG);2011;56807;11290;33206;12311
83;Totaal ;Alle bouwjaren;Apeldoorn (SG);2011;28697;3965;15486;9246
84;Totaal ;Alle bouwjaren;Arnhem (SG);2011;41865;4652;25694;11519
85;Totaal ;Alle bouwjaren;Nijmegen (SG);2011;41893;5705;25700;10488
86;Totaal ;Alle bouwjaren;Amersfoort (SG);2011;20972;4893;10553;5526
