ID;BedrijfstakBranchesSBI2008;NuttigeToepassingEnEindverwerking;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;Glasafval_4;PapierKartonafval_5;KunststofRubberafval_6;Houtafval_7;TextielLederafval_8;DierlijkPlantaardigAfval_9;GemengdAfval_10;Slib_11;MineralenSteenachtigAfval_12;OverigNietChemischAfval_13;ChemischAfval_14;TotaalBedrijfsafvalstoffen_15;TotaalNuttigeToepassing_16;InzetAlsBrandstof_17;OverigNuttigeToepassing_18;TotaalEindverwerking_19;Verbranden_20;StortenLozen_21;ScheidenAchteraf_22
0;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;1994;;;;;;;;;;;;;;;;;;;;;;
1;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;1996;;;;;;;;;;;;;;;;;;;;;;
2;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;1998;;;;;;;;;;;;;;;;;;;;;;
3;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2000;;;;;;;;;;;;;;;;;;;;;;
4;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2001;;;;;;;;;;;;;;;;;;;;;;
5;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2002;;;;;;;;;;;;;;;;;;;;;;
6;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2003;;;;;;;;;;;;;;;;;;;;;;
7;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2004;;;;;;;;;;;;;;;;;;;;;;
8;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2005;;;;;;;;;;;;;;;;;;;;;;
9;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2006;;;;;;;;;;;;;;;;;;;;;;
10;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2007;26061.0;24068.0;1326.0;83.0;899.0;205.0;715.0;46.0;6646.0;3382.0;2190.0;8545.0;29.0;1995.0;26061.0;20318.0;1122.0;19197.0;5743.0;3348.0;1978.0;415.0
11;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2008;26352.0;24267.0;1381.0;51.0;882.0;207.0;728.0;40.0;6489.0;3225.0;2291.0;8960.0;10.0;2086.0;26352.0;20629.0;1238.0;19391.0;5725.0;3472.0;1968.0;284.0
12;B-E Nijverheid (geen bouw) en energie;Totaal bedrijfsafvalstoffen;2009;24776.0;22814.0;1261.0;45.0;811.0;182.0;661.0;35.0;6504.0;3285.0;2409.0;7609.0;9.0;1962.0;24776.0;19030.0;1194.0;17835.0;5746.0;3639.0;1893.0;215.0
