ID;Provincies;Perioden;Busritten_1;Voertuigkilometers_2;Reizigers_3;Reizigerskilometers_4
0;Nederland;1998 januari;7241;5832;299;246
1;Nederland;1998 februari;9231;6838;383;285
2;Nederland;1998 maart;7853;5017;313;206
3;Nederland;1998 1e kwartaal;24325;17687;995;737
4;Nederland;1998 april;10896;7045;472;319
5;Nederland;1998 mei;17008;11760;715;511
6;Nederland;1998 juni;17478;12037;739;514
7;Nederland;1998 2e kwartaal;45382;30842;1926;1344
8;Nederland;1998 juli;15470;14503;670;656
9;Nederland;1998 augustus;14494;13500;614;589
10;Nederland;1998 september;14452;9377;610;409
11;Nederland;1998 3e kwartaal;44416;37380;1894;1654
12;Nederland;1998 oktober;12074;7388;507;323
13;Nederland;1998 november;6923;2548;284;106
14;Nederland;1998 december;11513;4874;501;217
15;Nederland;1998 4e kwartaal;30510;14810;1292;646
16;Nederland;1998 Totaal;144636;100717;6109;4380
17;Nederland;1999 januari;6601;5480;268;231
18;Nederland;1999 februari;9057;6660;381;283
19;Nederland;1999 maart;7417;4890;299;204
20;Nederland;1999 1e kwartaal;23075;17030;948;718
21;Nederland;1999 april;11232;7367;480;328
22;Nederland;1999 mei;15932;11896;679;522
23;Nederland;1999 juni;15915;10672;685;466
24;Nederland;1999 2e kwartaal;43079;29935;1844;1316
25;Nederland;1999 juli;13650;13662;596;622
26;Nederland;1999 augustus;12086;11314;514;500
27;Nederland;1999 september;13228;8597;557;380
28;Nederland;1999 3e kwartaal;38964;33573;1667;1502
29;Nederland;1999 oktober;10775;7082;455;318
30;Nederland;1999 november;5626;2513;226;105
31;Nederland;1999 december;9460;3717;407;161
32;Nederland;1999 4e kwartaal;25861;13312;1088;584
33;Nederland;1999 Totaal;130979;93851;5548;4119
34;Nederland;2000 januari;6345;4894;261;208
35;Nederland;2000 februari;7051;5017;289;211
36;Nederland;2000 maart;8274;5779;340;244
37;Nederland;2000 1e kwartaal;21670;15690;890;663
38;Nederland;2000 april;10177;6550;430;286
39;Nederland;2000 mei;17193;10899;732;477
40;Nederland;2000 juni;15961;11260;687;490
41;Nederland;2000 2e kwartaal;43331;28709;1849;1253
42;Nederland;2000 juli;13256;13982;572;626
43;Nederland;2000 augustus;12080;10732;510;468
44;Nederland;2000 september;14737;9465;616;412
45;Nederland;2000 3e kwartaal;40073;34179;1698;1506
46;Nederland;2000 oktober;10733;6592;449;292
47;Nederland;2000 november;5601;2493;223;104
48;Nederland;2000 december;9712;4274;420;188
49;Nederland;2000 4e kwartaal;26046;13359;1092;584
50;Nederland;2000 Totaal;131120;91935;5528;4006
51;Nederland;2001 januari;5763;4347;232;181
52;Nederland;2001 februari;5275;3915;214;164
