ID;Leeftijd;PrognoseInterval;RegioIndeling2015;Perioden;TotaleBevolking_1
0;Totaal;Prognose;Nederland;2017;17087.1
1;Totaal;Prognose;Nederland;2018;17195.1
2;Totaal;Prognose;Nederland;2019;17273.3
3;Totaal;Prognose;Nederland;2020;17337.8
4;Totaal;Prognose;Nederland;2021;17399.7
5;Totaal;Prognose;Nederland;2022;17459.0
6;Totaal;Prognose;Nederland;2023;17514.6
7;Totaal;Prognose;Nederland;2024;17566.6
8;Totaal;Prognose;Nederland;2025;17616.3
9;Totaal;Prognose;Nederland;2026;17664.2
10;Totaal;Prognose;Nederland;2027;17710.1
11;Totaal;Prognose;Nederland;2028;17754.0
12;Totaal;Prognose;Nederland;2029;17796.2
13;Totaal;Prognose;Nederland;2030;17837.0
14;Totaal;Prognose;Nederland;2031;17875.9
15;Totaal;Prognose;Nederland;2032;17912.8
16;Totaal;Prognose;Nederland;2033;17947.5
17;Totaal;Prognose;Nederland;2034;17979.6
18;Totaal;Prognose;Nederland;2035;18008.8
19;Totaal;Prognose;Nederland;2036;18035.1
20;Totaal;Prognose;Nederland;2037;18058.2
21;Totaal;Prognose;Nederland;2038;18078.0
22;Totaal;Prognose;Nederland;2039;18094.6
23;Totaal;Prognose;Nederland;2040;18108.2
24;Totaal;Prognose;Groningen (PV);2017;591.0
25;Totaal;Prognose;Groningen (PV);2018;595.1
26;Totaal;Prognose;Groningen (PV);2019;595.6
27;Totaal;Prognose;Groningen (PV);2020;595.3
28;Totaal;Prognose;Groningen (PV);2021;595.4
29;Totaal;Prognose;Groningen (PV);2022;595.5
30;Totaal;Prognose;Groningen (PV);2023;595.3
31;Totaal;Prognose;Groningen (PV);2024;595.2
32;Totaal;Prognose;Groningen (PV);2025;594.6
33;Totaal;Prognose;Groningen (PV);2026;593.9
34;Totaal;Prognose;Groningen (PV);2027;592.8
35;Totaal;Prognose;Groningen (PV);2028;591.5
36;Totaal;Prognose;Groningen (PV);2029;590.0
37;Totaal;Prognose;Groningen (PV);2030;588.4
38;Totaal;Prognose;Groningen (PV);2031;586.9
39;Totaal;Prognose;Groningen (PV);2032;585.2
40;Totaal;Prognose;Groningen (PV);2033;583.5
41;Totaal;Prognose;Groningen (PV);2034;581.7
42;Totaal;Prognose;Groningen (PV);2035;580.1
43;Totaal;Prognose;Groningen (PV);2036;578.7
44;Totaal;Prognose;Groningen (PV);2037;577.7
45;Totaal;Prognose;Groningen (PV);2038;576.9
46;Totaal;Prognose;Groningen (PV);2039;576.2
47;Totaal;Prognose;Groningen (PV);2040;575.5
48;Totaal;Prognose;Friesland (PV);2017;648.0
49;Totaal;Prognose;Friesland (PV);2018;649.0
50;Totaal;Prognose;Friesland (PV);2019;649.7
51;Totaal;Prognose;Friesland (PV);2020;650.3
52;Totaal;Prognose;Friesland (PV);2021;650.6
53;Totaal;Prognose;Friesland (PV);2022;651.0
54;Totaal;Prognose;Friesland (PV);2023;651.2
55;Totaal;Prognose;Friesland (PV);2024;651.2
56;Totaal;Prognose;Friesland (PV);2025;651.3
57;Totaal;Prognose;Friesland (PV);2026;651.5
58;Totaal;Prognose;Friesland (PV);2027;651.6
59;Totaal;Prognose;Friesland (PV);2028;651.8
60;Totaal;Prognose;Friesland (PV);2029;652.0
61;Totaal;Prognose;Friesland (PV);2030;652.3
62;Totaal;Prognose;Friesland (PV);2031;652.5
63;Totaal;Prognose;Friesland (PV);2032;652.9
64;Totaal;Prognose;Friesland (PV);2033;653.2
65;Totaal;Prognose;Friesland (PV);2034;653.3
66;Totaal;Prognose;Friesland (PV);2035;653.3
67;Totaal;Prognose;Friesland (PV);2036;653.1
68;Totaal;Prognose;Friesland (PV);2037;652.3
69;Totaal;Prognose;Friesland (PV);2038;651.0
70;Totaal;Prognose;Friesland (PV);2039;649.7
71;Totaal;Prognose;Friesland (PV);2040;648.2
72;Totaal;Prognose;Drenthe (PV);2017;490.8
73;Totaal;Prognose;Drenthe (PV);2018;491.0
74;Totaal;Prognose;Drenthe (PV);2019;490.1
75;Totaal;Prognose;Drenthe (PV);2020;489.7
76;Totaal;Prognose;Drenthe (PV);2021;488.9
77;Totaal;Prognose;Drenthe (PV);2022;488.1
78;Totaal;Prognose;Drenthe (PV);2023;487.3
79;Totaal;Prognose;Drenthe (PV);2024;486.5
80;Totaal;Prognose;Drenthe (PV);2025;485.7
81;Totaal;Prognose;Drenthe (PV);2026;484.9
82;Totaal;Prognose;Drenthe (PV);2027;484.3
83;Totaal;Prognose;Drenthe (PV);2028;483.8
84;Totaal;Prognose;Drenthe (PV);2029;483.4
85;Totaal;Prognose;Drenthe (PV);2030;483.2
86;Totaal;Prognose;Drenthe (PV);2031;482.8
87;Totaal;Prognose;Drenthe (PV);2032;482.5
88;Totaal;Prognose;Drenthe (PV);2033;482.3
89;Totaal;Prognose;Drenthe (PV);2034;482.0
90;Totaal;Prognose;Drenthe (PV);2035;481.7
91;Totaal;Prognose;Drenthe (PV);2036;481.1
92;Totaal;Prognose;Drenthe (PV);2037;480.6
93;Totaal;Prognose;Drenthe (PV);2038;480.0
94;Totaal;Prognose;Drenthe (PV);2039;479.3
95;Totaal;Prognose;Drenthe (PV);2040;478.4
96;Totaal;Prognose;Overijssel (PV);2017;1147.9
97;Totaal;Prognose;Overijssel (PV);2018;1151.5
98;Totaal;Prognose;Overijssel (PV);2019;1153.8
99;Totaal;Prognose;Overijssel (PV);2020;1155.5
