ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
0;Nederland;Totaal particulier huishouden;6785.1;100.0
1;Nederland;"1e 10%-groep; minder dan 13 100 euro";678.5;10.0
2;Nederland;"2e 10%-groep; 13 100 tot 16 500 euro";678.5;10.0
3;Nederland;"3e 10%-groep; 16 500 tot 19 700 euro";678.5;10.0
4;Nederland;"4e 10%-groep; 19 700 tot 23 200 euro";678.5;10.0
5;Nederland;"5e 10%-groep; 23 200 tot 27 300 euro";678.5;10.0
6;Nederland;"6e 10%-groep; 27 300 tot 31 600 euro";678.5;10.0
7;Nederland;"7e 10%-groep; 31 600 tot 36 300 euro";678.5;10.0
8;Nederland;"8e 10%-groep; 36 300 tot 42 600 euro";678.5;10.0
9;Nederland;"9e 10%-groep; 42 600 tot 53 100 euro";678.5;10.0
10;Nederland;"10e 10%-groep; meer dan 53 100  euro";678.5;10.0
11;Nederland;"1e 10%-groep; minder dan 13 100 euro";678.5;10.0
12;Nederland;"2e-4e 10%-groep; 13 100 tot 23 200 euro";2035.5;30.0
13;Nederland;"5e-8e 10%-groep; 23 200 tot 42 600 euro";2714.0;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 42 600 euro";1357.0;20.0
15;Noord-Nederland (LD);Totaal particulier huishouden;703.9;100.0
16;Noord-Nederland (LD);"1e 10%-groep; minder dan 13 100 euro";77.5;11.0
17;Noord-Nederland (LD);"2e 10%-groep; 13 100 tot 16 500 euro";79.9;11.0
18;Noord-Nederland (LD);"3e 10%-groep; 16 500 tot 19 700 euro";76.2;11.0
19;Noord-Nederland (LD);"4e 10%-groep; 19 700 tot 23 200 euro";74.6;11.0
20;Noord-Nederland (LD);"5e 10%-groep; 23 200 tot 27 300 euro";75.2;11.0
21;Noord-Nederland (LD);"6e 10%-groep; 27 300 tot 31 600 euro";76.0;11.0
22;Noord-Nederland (LD);"7e 10%-groep; 31 600 tot 36 300 euro";72.2;10.0
23;Noord-Nederland (LD);"8e 10%-groep; 36 300 tot 42 600 euro";66.0;9.0
24;Noord-Nederland (LD);"9e 10%-groep; 42 600 tot 53 100 euro";58.7;8.0
25;Noord-Nederland (LD);"10e 10%-groep; meer dan 53 100  euro";47.6;7.0
26;Noord-Nederland (LD);"1e 10%-groep; minder dan 13 100 euro";77.5;11.0
27;Noord-Nederland (LD);"2e-4e 10%-groep; 13 100 tot 23 200 euro";230.7;33.0
28;Noord-Nederland (LD);"5e-8e 10%-groep; 23 200 tot 42 600 euro";289.4;41.0
