ID;Jaar;Vergunningplichtigen_1;VerstrekteVergunningen_2;Toezichthouders_3;Opsporingsambtenaren_4;Controlebezoeken_5;Mensjaren_6;GeconstateerdeDelicten_7;Totaal_8;Bestuursdwang_9;Dwangsom_10;ProcessenVerbaal_11;Vergunningplichtigen_12;VerstrekteVergunningen_13;Toezichthouders_14;Opsporingsambtenaren_15;Controlebezoeken_16;Mensjaren_17;GeconstateerdeDelicten_18;Totaal_19;Bestuursdwang_20;Dwangsom_21;ProcessenVerbaal_22
0;1990;;;;;;;;0;0;0;;53.7;23.0;339;167;21.9;142;3.7;100;44;3;471
1;1991;;;;;;;;0;0;0;;66.0;30.4;395;149;26.4;149;4.6;134;49;29;716
2;1992;;;;;;;;0;0;0;;85.1;31.9;422;151;33.2;155;5.3;147;63;44;799
3;1993;5.7;4.0;373.0;58.0;19.6;171.0;4.3;0;87;48;242.0;98.5;33.5;432;145;39.1;175;5.0;186;69;68;592
4;1994;4.3;2.9;308.0;58.0;14.9;124.5;5.2;193;100;81;231.0;97.8;36.7;480;159;41.8;178;5.1;224;108;76;689
5;1995;4.5;3.5;413.0;85.0;18.2;146.2;5.5;216;37;159;261.0;103.8;38.7;502;147;46.0;190;5.8;396;130;88;773
6;1996;4.5;4.2;429.0;90.0;19.0;155.5;6.0;176;22;141;249.0;99.4;40.7;462;154;49.3;212;7.8;706;361;143;795
