ID;KinderenInHuishouden;LeeftijdReferentiepersoon;Perioden;Paren_1;Eenouderhuishoudens_2
0;Totaal;Totaal;2022;4327730;602669.0
1;Totaal;Totaal;2023;4354259;610110.0
2;Totaal;Totaal;2024;4382316;616577.0
3;Totaal;Totaal;2025;4407985;621789.0
4;Totaal;Totaal;2026;4431993;626210.0
5;Totaal;Totaal;2027;4453881;630274.0
6;Totaal;Totaal;2028;4473532;634036.0
7;Totaal;Totaal;2029;4491045;637661.0
8;Totaal;Totaal;2030;4506231;641225.0
9;Totaal;Totaal;2031;4519191;644865.0
10;Totaal;Totaal;2032;4530296;648681.0
11;Totaal;Totaal;2033;4539696;652424.0
12;Totaal;Totaal;2034;4547565;657026.0
13;Totaal;Totaal;2035;4553893;661754.0
14;Totaal;Totaal;2036;4559031;666644.0
15;Totaal;Totaal;2037;4563042;671386.0
16;Totaal;Totaal;2038;4566041;676570.0
17;Totaal;Totaal;2039;4568133;682067.0
18;Totaal;Totaal;2040;4569505;687825.0
19;Totaal;Totaal;2041;4570301;693685.0
20;Totaal;Totaal;2042;4570689;699523.0
21;Totaal;Totaal;2043;4570877;705184.0
22;Totaal;Totaal;2044;4571028;710592.0
23;Totaal;Totaal;2045;4571284;715700.0
24;Totaal;Totaal;2046;4571850;720360.0
25;Totaal;Totaal;2047;4572849;724600.0
26;Totaal;Totaal;2048;4574456;728214.0
27;Totaal;Totaal;2049;4576855;731293.0
28;Totaal;Totaal;2050;4580148;733805.0
29;Totaal;Totaal;2051;4584536;735657.0
30;Totaal;Totaal;2052;4590058;736969.0
31;Totaal;Totaal;2053;4596637;737852.0
32;Totaal;Totaal;2054;4604290;738331.0
33;Totaal;Totaal;2055;4613050;738561.0
34;Totaal;Totaal;2056;4622875;738479.0
35;Totaal;Totaal;2057;4633748;738224.0
36;Totaal;Totaal;2058;4645621;737872.0
37;Totaal;Totaal;2059;4658417;737505.0
38;Totaal;Totaal;2060;4672052;737132.0
39;Totaal;Totaal;2061;4686462;736873.0
40;Totaal;Totaal;2062;4701536;736732.0
41;Totaal;Totaal;2063;4717178;736782.0
42;Totaal;Totaal;2064;4733281;737006.0
43;Totaal;Totaal;2065;4749748;737497.0
44;Totaal;Totaal;2066;4766452;738237.0
45;Totaal;Totaal;2067;4783267;739259.0
46;Totaal;Totaal;2068;4800130;740528.0
47;Totaal;Totaal;2069;4816925;742057.0
48;Totaal;Totaal;2070;4833539;743819.0
49;Totaal;15 tot 20 jaar;2022;2308;462.0
50;Totaal;15 tot 20 jaar;2023;2304;499.0
51;Totaal;15 tot 20 jaar;2024;2303;524.0
52;Totaal;15 tot 20 jaar;2025;2289;526.0
53;Totaal;15 tot 20 jaar;2026;2274;519.0
54;Totaal;15 tot 20 jaar;2027;2258;517.0
55;Totaal;15 tot 20 jaar;2028;2285;521.0
