ID;KolenEnKoolproducten;Perioden;TotaalAanbod_1;Productie_2;HerwonnenProducten_3;InvoerTotaal_4;WaaronderUitNietEULanden_5;Uitvoer_6;Beginvoorraad_7;Eindvoorraad_8;Voorraadmutatie_9;StatistischeVerschillen_10;TotaalVerbruik_11;TotaalEnergiebedrijven_12;Cokesfabrieken_13;IndustrieTotaal_14;WaaronderIjzerEnStaalindustrie_15;TotaalOverigeVerbruikers_16
0;Steenkool;1990;;;;;;;;;;;;;;;;
1;Steenkool;1991;13365.0;;;15800.0;15800.0;2425.0;;;-10.0;;13365.0;8419.0;3893.0;;601.0;452.0
2;Steenkool;1992;12665.0;;;14943.0;14943.0;2139.0;;;-139.0;;12665.0;7218.0;4216.0;;765.0;466.0
3;Steenkool;1993;13153.0;;;15126.0;15126.0;2243.0;;;270.0;;13153.0;7694.0;4025.0;;847.0;587.0
4;Steenkool;1994;14202.0;;;17334.0;17334.0;3081.0;;;-51.0;;14202.0;8540.0;4122.0;;852.0;688.0
5;Steenkool;1995;14679.0;;;17135.0;17135.0;2866.0;;;410.0;;14679.0;9018.0;4110.0;;839.0;712.0
6;Steenkool;1996;14695.0;;;16857.0;16857.0;2368.0;;;206.0;;14695.0;9284.0;3909.0;;974.0;528.0
7;Steenkool;1997;15127.0;;;20335.0;20335.0;3537.0;;;-1671.0;;15127.0;9041.0;4324.0;;1216.0;546.0
8;Steenkool;1998;15174.0;;;22211.0;22211.0;7998.0;;;961.0;;15174.0;9480.0;4072.0;;1204.0;418.0
9;Steenkool;1999;11847.0;;;19006.0;19006.0;7306.0;;;147.0;;11847.0;7482.0;3060.0;;1167.0;139.0
10;Steenkool;2000;12901.0;;;22296.0;22296.0;9123.0;;;-272.0;;12901.0;8722.0;3006.0;;1036.0;139.0
11;Steenkool;2001;13533.0;;;30336.0;30336.0;16744.0;;;-59.0;;13533.0;9115.0;3100.0;;1209.0;109.0
12;Steenkool;2002;13285.0;;;19947.0;19947.0;8744.0;;;2082.0;;13285.0;9032.0;2982.0;;1230.0;42.0
13;Steenkool;2003;13606.0;;;21640.0;21640.0;7498.0;;;-536.0;;13606.0;9159.0;3050.0;;1316.0;81.0
14;Steenkool;2004;13568.0;;;22600.0;22600.0;9262.0;;;230.0;;13568.0;8857.0;3131.0;;1496.0;84.0
15;Steenkool;2005;13017.0;;;20469.0;20469.0;7438.0;;;-14.0;;13017.0;8267.0;3157.0;;1530.0;63.0
16;Steenkool;2006;12674.0;;;20967.0;20967.0;8927.0;;;634.0;;12674.0;8228.0;3048.0;;1327.0;71.0
17;Steenkool;2007;13505.0;;;26163.0;26163.0;11879.0;;;-779.0;;13505.0;8676.0;3106.0;;1596.0;127.0
18;Steenkool;2008;12796.0;;;19128.0;19128.0;6510.0;;;178.0;;12796.0;8233.0;3063.0;;1438.0;62.0
19;Steenkool;2009;11900.0;;;19943.0;19943.0;4731.0;;;-3312.0;;11900.0;8407.0;2483.0;;939.0;71.0
20;Steenkool;2010;11901.0;;;20468.0;20468.0;5870.0;;;-2697.0;;11901.0;7876.0;2933.0;;1019.0;73.0
21;Steenkool;2011;11711.0;;;24481.0;24481.0;12611.0;;;-159.0;;11711.0;7398.0;2959.0;;1286.0;68.0
