ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal Herkomst (land);11404.4;18.6
1;Nederland;Herkomst: Nederland;9488.1;18.9
2;Nederland;Herkomst: Niet-Nederland;1916.3;17.2
3;Nederland;Herkomst: Westers land;994.8;19.1
4;Nederland;Herkomst: Niet-westers land;921.5;15.1
5;Noord-Nederland (LD);Totaal Herkomst (land);1184.7;17.2
6;Noord-Nederland (LD);Herkomst: Nederland;1089.1;17.3
7;Noord-Nederland (LD);Herkomst: Niet-Nederland;95.6;16.1
8;Noord-Nederland (LD);Herkomst: Westers land;64.6;17.2
9;Noord-Nederland (LD);Herkomst: Niet-westers land;31.0;14.0
10;Oost-Nederland (LD);Totaal Herkomst (land);2391.4;17.9
11;Oost-Nederland (LD);Herkomst: Nederland;2073.1;18.2
12;Oost-Nederland (LD);Herkomst: Niet-Nederland;318.3;16.3
13;Oost-Nederland (LD);Herkomst: Westers land;181.5;17.8
14;Oost-Nederland (LD);Herkomst: Niet-westers land;136.8;14.4
15;West-Nederland (LD);Totaal Herkomst (land);5313.1;19.5
16;West-Nederland (LD);Herkomst: Nederland;4184.7;19.9
17;West-Nederland (LD);Herkomst: Niet-Nederland;1128.4;17.8
18;West-Nederland (LD);Herkomst: Westers land;498.5;20.7
19;West-Nederland (LD);Herkomst: Niet-westers land;629.9;15.5
20;Zuid-Nederland (LD);Totaal Herkomst (land);2515.2;18.0
21;Zuid-Nederland (LD);Herkomst: Nederland;2141.2;18.3
22;Zuid-Nederland (LD);Herkomst: Niet-Nederland;374.0;16.3
23;Zuid-Nederland (LD);Herkomst: Westers land;250.2;17.3
24;Zuid-Nederland (LD);Herkomst: Niet-westers land;123.8;14.3
25;Groningen (PV);Totaal Herkomst (land);399.7;16.9
26;Groningen (PV);Herkomst: Nederland;359.4;17.0
27;Groningen (PV);Herkomst: Niet-Nederland;40.3;16.1
28;Groningen (PV);Herkomst: Westers land;25.6;17.2
29;Groningen (PV);Herkomst: Niet-westers land;14.7;14.1
30;Friesland (PV);Totaal Herkomst (land);443.2;17.2
31;Friesland (PV);Herkomst: Nederland;413.2;17.4
32;Friesland (PV);Herkomst: Niet-Nederland;30.0;15.8
33;Friesland (PV);Herkomst: Westers land;20.1;16.8
34;Friesland (PV);Herkomst: Niet-westers land;9.9;13.6
35;Drenthe (PV);Totaal Herkomst (land);341.8;17.5
36;Drenthe (PV);Herkomst: Nederland;316.4;17.6
37;Drenthe (PV);Herkomst: Niet-Nederland;25.4;16.7
38;Drenthe (PV);Herkomst: Westers land;18.9;17.5
39;Drenthe (PV);Herkomst: Niet-westers land;6.4;14.5
40;Overijssel (PV);Totaal Herkomst (land);771.7;17.4
41;Overijssel (PV);Herkomst: Nederland;675.9;17.6
42;Overijssel (PV);Herkomst: Niet-Nederland;95.8;15.6
43;Overijssel (PV);Herkomst: Westers land;55.5;16.9
44;Overijssel (PV);Herkomst: Niet-westers land;40.3;13.7
45;Flevoland (PV);Totaal Herkomst (land);245.5;18.2
