ID;Perioden;VolumeIndex_1;VolumeontwikkelingTOVJaarEerder_2
0;2004 januari;88.6;
1;2004 februari;90.7;
2;2004 maart;109.1;
3;2004 april;102.5;
4;2004 mei;94.5;
5;2004 juni;106.0;
6;2004 juli;92.6;
7;2004 augustus;60.5;
8;2004 september;111.6;
9;2004 oktober;109.1;
10;2004 november;111.3;
11;2004 december;83.3;
12;2005 januari;89.5;1.0
13;2005 februari;91.3;0.6
14;2005 maart;105.4;-3.5
15;2005 april;104.8;2.2
16;2005 mei;97.9;3.7
17;2005 juni;108.6;2.4
18;2005 juli;94.0;1.5
19;2005 augustus;68.3;12.8
20;2005 september;121.0;8.5
21;2005 oktober;111.7;2.4
22;2005 november;116.2;4.4
23;2005 december;85.6;2.7
24;2006 januari;91.7;2.5
25;2006 februari;96.6;5.8
26;2006 maart;116.4;10.4
27;2006 april;109.5;4.5
28;2006 mei;110.9;13.2
29;2006 juni;112.0;3.1
30;2006 juli;98.0;4.3
31;2006 augustus;74.0;8.3
32;2006 september;129.3;6.8
33;2006 oktober;122.4;9.6
34;2006 november;126.3;8.7
35;2006 december;93.3;9.0
36;2007 januari;103.5;12.9
37;2007 februari;110.9;14.9
38;2007 maart;127.0;9.1
39;2007 april;116.5;6.3
40;2007 mei;118.0;6.4
41;2007 juni;123.9;10.7
42;2007 juli;108.0;10.2
43;2007 augustus;83.7;13.1
44;2007 september;132.8;2.7
45;2007 oktober;134.3;9.7
46;2007 november;130.6;3.4
47;2007 december;90.0;-3.5
48;2008 januari;114.0;10.1
49;2008 februari;124.2;12.0
50;2008 maart;126.3;-0.6
51;2008 april;133.1;14.3
52;2008 mei;123.7;4.8
53;2008 juni;128.9;4.0
54;2008 juli;109.5;1.3
55;2008 augustus;86.3;3.1
56;2008 september;143.1;7.8
57;2008 oktober;137.5;2.4
58;2008 november;123.4;-5.5
59;2008 december;92.7;2.9
60;2009 januari;109.7;-3.7
61;2009 februari;110.6;-10.9
62;2009 maart;124.7;-1.2
63;2009 april;119.8;-10.0
64;2009 mei;113.1;-8.5
65;2009 juni;113.3;-12.1
66;2009 juli;103.8;-5.2
67;2009 augustus;70.5;-18.3
68;2009 september;122.5;-14.4
69;2009 oktober;113.9;-17.1
70;2009 november;107.9;-12.6
71;2009 december;81.6;-11.9
72;2010 januari;92.3;-15.9
73;2010 februari;90.8;-17.9
74;2010 maart;110.6;-11.3
75;2010 april;110.0;-8.2
76;2010 mei;99.9;-11.7
77;2010 juni;109.9;-3.0
78;2010 juli;93.0;-10.4
79;2010 augustus;67.1;-4.8
80;2010 september;111.6;-8.9
81;2010 oktober;106.7;-6.3
82;2010 november;105.3;-2.4
83;2010 december;75.2;-7.8
84;2011 januari;102.5;11.0
85;2011 februari;103.4;13.8
86;2011 maart;118.4;7.0
87;2011 april;110.9;0.8
88;2011 mei;112.9;13.0
89;2011 juni;103.2;-6.1
90;2011 juli;93.0;0.0
91;2011 augustus;72.1;7.3
92;2011 september;116.6;4.5
93;2011 oktober;109.2;2.3
94;2011 november;110.7;5.1
95;2011 december;83.6;11.1
96;2012 januari;96.1;-6.2
97;2012 februari;93.0;-10.0
98;2012 maart;105.4;-11.0
99;2012 april;99.2;-10.5
100;2012 mei;100.3;-11.2
101;2012 juni;106.7;3.4
102;2012 juli;85.5;-8.1
103;2012 augustus;68.0;-5.7
104;2012 september;102.7;-11.9
105;2012 oktober;99.4;-9.0
106;2012 november;99.8;-9.9
107;2012 december;74.1;-11.3
108;2013 januari;84.8;-11.7
109;2013 februari;79.1;-14.9
110;2013 maart;92.9;-11.8
111;2013 april;90.3;-9.0
112;2013 mei;90.2;-10.1
113;2013 juni;93.1;-12.7
114;2013 juli;81.3;-4.9
115;2013 augustus;64.4;-5.3
116;2013 september;98.4;-4.2
117;2013 oktober;100.6;1.2
118;2013 november;99.3;-0.5
119;2013 december;84.3;13.7
120;2014 januari;86.3;1.8
121;2014 februari;85.1;7.5
122;2014 maart;91.7;-1.3
123;2014 april;94.4;4.5
124;2014 mei;86.7;-3.9
125;2014 juni;89.1;-4.3
126;2014 juli;83.6;2.9
127;2014 augustus;60.1;-6.6
128;2014 september;97.9;-0.5
129;2014 oktober;108.8;8.2
130;2014 november;100.4;1.2
131;2014 december;83.3;-1.2
132;2015 januari;93.9;8.7
133;2015 februari;90.4;6.2
134;2015 maart;106.6;16.3
135;2015 april;103.6;9.8
136;2015 mei;96.6;11.5
137;2015 juni;110.0;23.4
138;2015 juli;92.7;10.9
139;2015 augustus;69.2;15.0
140;2015 september;109.6;11.9
141;2015 oktober;112.8;3.6
142;2015 november;114.5;14.0
143;2015 december;100.2;20.4
144;2016 januari;101.2;7.9
145;2016 februari;109.9;21.6
146;2016 maart;110.6;3.7
147;2016 april;116.4;12.3
148;2016 mei;104.4;8.1
149;2016 juni;123.9;12.7
150;2016 juli;101.7;9.7
151;2016 augustus;78.0;12.7
152;2016 september;121.9;11.2
153;2016 oktober;117.2;3.9
154;2016 november;118.8;3.8
155;2016 december;97.1;-3.1
156;2017 januari;105.2;3.9
157;2017 februari;109.4;-0.5
158;2017 maart;119.5;8.1
159;2017 april;111.8;-3.9
160;2017 mei;118.2;13.2
161;2017 juni;118.6;-4.3
162;2017 juli;108.5;6.7
163;2017 augustus;80.5;3.2
164;2017 september;134.2;10.1
165;2017 oktober;124.5;6.3
166;2017 november;127.0;6.9
167;2017 december;101.7;4.7
168;2018 januari;120.1;14.1
169;2018 februari;112.2;2.5
170;2018 maart;126.9;6.2
171;2018 april;124.1;11.0
172;2018 mei;122.0;3.2
173;2018 juni;127.5;7.5
174;2018 juli;113.5;4.6
175;2018 augustus;85.3;6.0
176;2018 september;125.1;-6.8
177;2018 oktober;134.0;7.6
178;2018 november;133.9;5.5
179;2018 december;96.6;-5.0
180;2019 januari;127.9;6.5
181;2019 februari;120.3;7.2
182;2019 maart;127.7;0.6
183;2019 april;134.2;8.1
184;2019 mei;134.9;10.6
185;2019 juni;127.5;0.0
186;2019 juli;119.2;5.0
187;2019 augustus;100.3;17.6
188;2019 september;135.1;8.0
189;2019 oktober;140.8;5.0
190;2019 november;139.3;4.0
191;2019 december;104.9;8.7
192;2020 januari;131.4;2.7
193;2020 februari;125.5;4.3
194;2020 maart;131.9;3.3
195;2020 april;122.5;-8.8
196;2020 mei;112.5;-16.6
197;2020 juni;124.6;-2.3
198;2020 juli;117.8;-1.1
199;2020 augustus;82.3;-18.0
200;2020 september;132.9;-1.6
201;2020 oktober;134.4;-4.5
202;2020 november;136.2;-2.2
203;2020 december;105.4;0.5
204;2021 januari;126.0;-4.1
205;2021 februari;116.9;-6.9
206;2021 maart;143.8;9.0
207;2021 april;135.0;10.2
208;2021 mei;124.6;10.7
209;2021 juni;136.2;9.3
210;2021 juli;121.3;2.9
211;2021 augustus;81.6;-0.9
212;2021 september;132.7;-0.1
213;2021 oktober;131.3;-2.3
214;2021 november;138.6;1.8
215;2021 december;109.1;3.5
216;2022 januari;117.4;-6.9
217;2022 februari;121.6;4.1
218;2022 maart;137.3;-4.6
219;2022 april;134.0;-0.8
220;2022 mei;134.3;7.8
221;2022 juni;140.4;3.1
222;2022 juli;120.5;-0.7
223;2022 augustus;84.3;3.3
224;2022 september;137.6;3.7
225;2022 oktober;136.3;3.8
226;2022 november;143.1;3.3
227;2022 december;106.9;-2.1
228;2023 januari;128.1;9.2
229;2023 februari;128.2;5.4
230;2023 maart;143.3;4.4
231;2023 april;132.1;-1.4
232;2023 mei;143.0;6.5
233;2023 juni;149.2;6.3
234;2023 juli;122.6;1.8
235;2023 augustus;90.1;6.9
236;2023 september;134.0;-2.6
237;2023 oktober;136.0;-0.2
238;2023 november;137.3;-4.1
239;2023 december;99.5;-6.8
240;2024 januari;123.4;-3.7
241;2024 februari;126.6;-1.3
242;2024 maart;131.1;-8.6
243;2024 April;142.0;7.4
