ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
0;Totaal SBI 554;1996;131.9;2055;2027;2021;7;28;1722;39.6;22.2;7.6;30.6;528;250;43;20;73;143;333;-29;304;66.3;14.4;14.8;4.6;2027;0.3;99.7;67.8;7.6;34.7;1.9;4.5;7.0;12.1;23.1;0.6;0.2;0.9;6.9;0.2;0.9;382;83.6;9.4;1.4;2.0;0.3;4.2;528;250;52.5;4.1;22.3;9.0;3.5;8.7;43;18.1;52.8;29.1;20;36.3;24.8;38.4;73;40.1;11.5;48.4;143;28.8;8.0;8.9;0.3;6.4;11.6;0.5;35.5;799;75.2;22.8;2.0;394;94;82.4;26.1;7.8;0.9;27.4;20.2;17.6
1;Totaal SBI 554;1997;132.8;2160;2132;2122;10;28;1797;38.4;22.6;7.9;31.0;557;265;45;19;79;149;362;-37;325;67.6;14.9;15.0;3.3;2132;0.5;99.5;67.8;8.3;34.6;1.6;4.5;6.5;12.4;22.9;0.5;0.3;0.7;7.1;0.2;1.3;407;83.2;9.4;1.4;2.8;0.9;3.6;557;265;55.0;3.6;22.2;8.2;3.4;7.7;45;14.3;47.3;38.4;19;43.4;21.7;34.9;79;39.6;11.6;48.8;149;32.1;7.9;9.8;0.7;6.2;12.3;0.7;30.3;776;75.2;22.6;2.2;391;71;87.1;13.9;18.0;1.1;32.6;21.5;12.9
2;Totaal SBI 554;1998;126.9;2249;2222;2217;5;27;1861;37.8;22.5;8.6;31.1;579;279;44;17;80;158;387;-39;348;68.3;15.2;15.5;5.0;2222;0.2;99.8;67.5;8.3;34.8;1.1;4.4;6.7;12.2;22.7;0.6;0.8;0.7;7.2;0.3;1.3;418;81.8;12.2;1.5;2.0;0.4;3.5;579;279;;;;;;;44;;;;17;;;;80;;;;158;;;;;;;;;752;76.0;22.5;1.5;392;112;95.1;21.3;7.8;0.9;32.5;32.6;4.9
3;Totaal SBI 554;1999;126.3;2372;2341;2339;2;31;1974;36.8;23.2;8.8;31.2;616;296;45;16;91;168;398;-30;368;69.0;15.0;15.5;12.3;2341;0.1;99.9;69.1;8.6;35.7;1.2;4.4;6.7;12.6;21.2;0.3;0.7;0.9;7.2;0.3;0.9;458;80.2;13.1;1.4;2.0;0.7;3.6;616;296;;;;;;;45;;;;16;;;;91;;;;168;;;;;;;;;832;77.9;19.9;2.2;371;292;91.6;50.4;5.6;0.5;22.9;12.2;8.4
4;Tot 50 000 euro;1996;30.5;106;104;104;0;2;92;41.2;7.1;9.7;42.1;39;22;3;1;3;10;14;-3;11;63.5;10.1;10.6;5.9;104;0.1;99.9;75.8;9.1;40.2;2.1;4.0;7.9;12.4;13.7;0.5;0.0;0.6;9.3;0.0;0.0;7;84.4;10.0;0.0;0.0;0.0;5.6;39;22;60.8;4.2;19.6;6.0;3.5;5.8;3;22.6;70.5;6.8;1;58.1;30.2;11.6;3;58.1;6.0;35.9;10;34.3;3.5;5.2;1.3;6.5;1.4;0.2;47.6;57;35.4;64.6;0.0;45;6;95.7;41.3;0.3;0.0;42.1;12.0;4.3
5;Tot 50 000 euro;1997;27.4;91;88;88;0;3;71;42.6;5.8;7.8;43.8;31;18;1;1;3;9;19;-2;17;65.6;18.3;18.7;2.8;88;0.4;99.6;73.4;9.1;36.2;1.9;3.2;10.2;12.8;13.6;0.4;0.0;0.1;12.1;0.0;0.4;4;86.6;11.7;0.3;0.0;0.0;1.8;31;18;62.3;4.2;23.2;3.4;2.2;4.8;1;23.5;51.4;25.1;1;47.2;29.1;23.7;3;47.8;10.1;42.0;9;34.6;5.8;10.1;1.3;8.7;2.7;0.3;36.4;55;26.2;73.8;0.0;41;3;84.5;5.7;3.9;0.0;68.6;6.4;15.5
6;Tot 50 000 euro;1998;26.4;88;86;86;0;2;67;42.2;6.7;8.3;42.7;29;16;1;1;2;9;21;-2;19;67.2;20.9;21.5;3.5;86;0.1;99.9;72.5;8.9;37.7;1.4;4.2;9.6;10.7;15.5;0.4;0.1;0.2;11.2;0.0;0.4;5;84.6;11.2;0.4;2.1;0.8;1.2;29;16;;;;;;;1;;;;1;;;;2;;;;9;;;;;;;;;50;33.2;66.8;0.0;38;3;88.9;22.1;2.3;0.0;28.5;36.0;11.1
7;Tot 50 000 euro;1999;21.2;70;69;69;0;1;52;44.7;5.9;6.0;43.5;22;13;1;0;1;6;19;-2;17;66.4;24.3;24.2;7.2;69;0.1;99.9;73.1;9.0;39.3;1.1;4.5;7.6;11.6;14.0;0.6;0.1;0.5;11.7;0.0;0.0;3;90.9;8.0;0.0;0.0;0.0;1.1;22;13;;;;;;;1;;;;0;;;;1;;;;6;;;;;;;;;40;33.7;66.3;0.0;28;5;84.1;22.6;1.1;0.0;34.5;25.9;15.9
8;50 000 tot 100 000 euro;1996;40.9;325;321;321;0;4;248;46.4;9.8;8.0;35.8;89;45;5;4;9;26;77;-5;72;64.1;21.6;22.0;2.8;321;0.1;99.9;74.3;8.3;41.2;2.0;3.5;7.0;12.3;14.5;0.5;0.1;0.9;8.8;0.6;0.3;24;85.8;8.5;0.1;1.4;0.0;4.4;89;45;51.9;4.7;23.7;9.3;4.1;6.3;5;9.6;70.0;20.4;4;41.2;21.5;37.2;9;43.7;12.6;43.6;26;31.5;6.6;7.4;0.3;5.5;1.5;0.9;46.4;116;45.7;53.3;1.0;73;9;92.9;34.2;1.9;0.7;32.7;23.3;7.1
9;50 000 tot 100 000 euro;1997;38.1;274;271;270;1;3;212;45.0;9.5;8.2;37.3;79;41;5;3;9;20;62;-5;57;64.8;20.4;20.8;2.6;271;0.2;99.8;75.8;8.6;42.5;1.7;3.5;6.7;12.8;14.4;0.5;0.1;0.5;8.5;0.1;0.2;20;87.9;9.1;0.2;0.3;0.0;2.7;79;41;53.4;4.1;23.8;7.8;3.4;7.4;5;3.9;54.0;42.1;3;39.5;18.8;41.7;9;46.1;12.3;41.5;20;33.5;7.2;10.2;1.0;5.6;1.9;0.4;40.3;95;50.5;49.5;0.0;61;7;85.4;4.0;19.8;0.0;42.1;19.4;14.6
