ID;SoortRijksmonument;RegioS;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;2013;61730
1;Rijksmonumenten totaal;Nederland;2014;61768
2;Rijksmonumenten totaal;Nederland;2015;61847
3;Rijksmonumenten totaal;Nederland;2016;61958
4;Rijksmonumenten totaal;Nederland;2017;61965
5;Rijksmonumenten totaal;Nederland;2018;61908
6;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8009
7;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8005
8;Rijksmonumenten totaal;Noord-Nederland (LD);2015;7996
9;Rijksmonumenten totaal;Noord-Nederland (LD);2016;7992
10;Rijksmonumenten totaal;Noord-Nederland (LD);2017;7992
11;Rijksmonumenten totaal;Noord-Nederland (LD);2018;7979
12;Rijksmonumenten totaal;Oost-Nederland (LD);2013;10114
13;Rijksmonumenten totaal;Oost-Nederland (LD);2014;10170
14;Rijksmonumenten totaal;Oost-Nederland (LD);2015;10213
15;Rijksmonumenten totaal;Oost-Nederland (LD);2016;10215
16;Rijksmonumenten totaal;Oost-Nederland (LD);2017;10225
17;Rijksmonumenten totaal;Oost-Nederland (LD);2018;10209
18;Rijksmonumenten totaal;West-Nederland (LD);2013;28763
19;Rijksmonumenten totaal;West-Nederland (LD);2014;28767
20;Rijksmonumenten totaal;West-Nederland (LD);2015;28783
21;Rijksmonumenten totaal;West-Nederland (LD);2016;28902
22;Rijksmonumenten totaal;West-Nederland (LD);2017;28899
23;Rijksmonumenten totaal;West-Nederland (LD);2018;28878
24;Rijksmonumenten totaal;Zuid-Nederland (LD);2013;14844
25;Rijksmonumenten totaal;Zuid-Nederland (LD);2014;14826
26;Rijksmonumenten totaal;Zuid-Nederland (LD);2015;14855
27;Rijksmonumenten totaal;Zuid-Nederland (LD);2016;14849
28;Rijksmonumenten totaal;Zuid-Nederland (LD);2017;14849
29;Rijksmonumenten totaal;Zuid-Nederland (LD);2018;14842
30;Rijksmonumenten totaal;Groningen (PV);2013;2556
31;Rijksmonumenten totaal;Groningen (PV);2014;2556
32;Rijksmonumenten totaal;Groningen (PV);2015;2557
33;Rijksmonumenten totaal;Groningen (PV);2016;2557
34;Rijksmonumenten totaal;Groningen (PV);2017;2557
35;Rijksmonumenten totaal;Groningen (PV);2018;2555
36;Rijksmonumenten totaal;Friesland (PV);2013;4169
37;Rijksmonumenten totaal;Friesland (PV);2014;4158
38;Rijksmonumenten totaal;Friesland (PV);2015;4157
39;Rijksmonumenten totaal;Friesland (PV);2016;4153
40;Rijksmonumenten totaal;Friesland (PV);2017;4153
41;Rijksmonumenten totaal;Friesland (PV);2018;4143
42;Rijksmonumenten totaal;Drenthe (PV);2013;1284
