ID;Perioden;TotaalActiva_1;ImmaterieleActiva_2;OnroerendeZaken_3;NietGeconsolideerdeDeelnemingen_4;Aandelen_5;Obligaties_6;HypothecaireLeningen_7;LeningenOpSchuldbekentenis_8;DepositoSBijKredietinstellingen_9;OverigeBeleggingen_10;DepotsBijVerzekeraars_11;Vorderingen_12;OverigeActiva_13;OverlopendeActiva_14;TotaalPassiva_15;GestortEnOpgevraagdKapitaal_16;Agio_17;Herwaarderingsreserve_18;WettelijkeEnStatutaireReserves_19;OverigeReserves_20;OnverdeeldeWinst_21;AchtergesteldeSchulden_22;VoorNietVerdiendePremies_23;VoorTeBetalenSchadenUitkeringen_24;OverigeTechnischeVoorzieningen_25;Voorzieningen_26;DepotsVanHerverzekeraars_27;Schulden_28;OverlopendePassiva_29;TotaalLasten_30;Beleggingslasten_31;NietGerealiseerdVerliesOpBeleggingen_32;GeboektTenGunsteVanReserves_33;Bedrijfskosten_34;AndereLasten_35;AandeelVanDerdenInResultaat_36;ToegerekendeOpbrengstBeleggLasten_37;BelastingenResultaat_38;BuitengewoneLasten_39;BelastingBuitengewoonResultaat_40;ResultaatNaBelastingen_41;TotaalBaten_42;TotaalTechnischResultaat_43;OngevallenEnZiekte_44;Motorrijtuigen_45;ZeeTransportEnLuchtvaart_46;BrandEnAndereSchade_47;Overige_48;ToegerekendeOpbrengstBeleggBaten_49;OpbrengstUitBeleggingen_50;NietGerealiseerdeWinstOpBeleggingen_51;GeboektTenLasteVanReserves_52;AdministratieveVergoedingVanOverheid_53;AndereBaten_54;BuitengewoneBaten_55
0;1994;18634;15;515;1005;2244;5401;444;4457;599;244;108;2130;655;817;18634;716;407;690;898;2534;51;275;2778;7648;315;349;114;1693;165;1683;66;536;34.0;;59;2;518;99;34;-9;342;1683;186;268;-205;23;60;39;48.0;820;2;560.0;;59;9
1;1995;21666;11;465;1159;2734;7277;406;4417;701;312;105;2396;830;854;21666;693;499;1505;1043;2786;68;257;2953;8575;438;448;75;2098;229;2507;73;12;883.0;;69;1;556;170;62;-5;686;2507;554;426;-55;22;152;10;48.0;943;834;56.0;;69;4
2;1996;24887;16;444;1628;3852;9167;361;3694;610;393;108;2798;851;964;24887;835;606;2472;1099;2994;56;259;3225;9477;421;520;78;2548;295;2908;75;18;1191.0;;99;1;589;216;15;-3;705;2908;537;255;99;24;103;55;56.0;1015;1116;86.0;;96;1
3;1997;28418;12;458;1818;5548;10833;358;3237;806;342;122;3099;727;1058;28418;809;658;3696;1272;3181;62;286;3306;10526;425;616;68;2943;569;3492;86;152;1255.0;;142;2;680;240;43;-10;902;3492;614;222;223;9;112;48;72.0;1248;1260;137.0;;99;63
4;1998;30741;14;433;2022;6483;12441;388;2981;669;511;101;2847;726;1126;30741;885;786;4903;1382;3312;70;291;3317;11383;471;718;66;2867;290;3535;105;138;1476.0;;198;1;744;195;55;-11;635;3535;338;29;134;9;117;50;82.0;1342;1496;137.0;;124;17
5;1999;32697;8;446;1852;7695;12875;396;2483;731;559;100;3247;1034;1272;32697;1066;1173;4390;997;3196;175;270;3408;12864;534;849;87;3182;504;4249;101;1214;1064.0;;164;1;786;227;30;-1;664;4249;318;81;-7;14;155;75;124.0;1411;1067;1213.0;;109;7
6;2000;35287;15;385;1760;8036;14723;426;2190;526;599;107;4017;1131;1372;35287;948;1425;3381;1132;3261;265;279;3735;15028;437;853;115;3760;667;2893;107;381;432.0;;114;2;816;265;10;21;744;2893;194;14;-23;-12;79;136;104.0;1551;417;353.0;;202;70
7;2001;34363;26;411;1876;6105;15727;462;1666;357;736;110;5290;1091;504;34363;931;1404;2654;1084;3423;210;217;3877;15465;397;565;130;3388;618;2660;129;565;141.0;;96;1;794;217;5;0;712;2660;387;234;-9;15;101;46;82.0;1398;133;520.0;;130;10
8;2002;33629;36;386;1807;4373;15844;501;1580;637;1006;122;5787;1075;476;33629;931;1486;793;1171;3267;143;272;4044;16574;348;368;124;3383;723;2962;78;1548;267.0;;124;-2;681;55;3;0;207;2962;226;276;-59;5;-30;35;0.0;995;273;1355.0;;105;6
9;2003;36620;45;377;2201;4260;17833;540;1357;1072;1018;152;4895;1282;1587;36620;931;1778;820;1175;3648;909;289;4316;17717;338;380;119;3509;689;2981;98;3;;;112;-2;1089;394;0;9;1278;2981;1195;746;226;5;197;21;34.0;1454;163;;;125;10
10;2004;41129;109;420;2118;4854;21309;550;1202;1212;1229;145;4898;1500;1584;41129;979;2416;758;815;5477;1249;232;4609;19050;459;416;216;3621;833;3732;170;12;;;129;1;1033;572;0;0;1815;3732;1925;1110;304;54;428;29;36.0;1568;52;;;144;8
11;2005;46326;207;412;2342;6501;23653;453;982;1384;1425;166;5382;2212;1206;46326;906;2543;1991;1176;5733;1760;226;4659;20030;366;903;208;5177;649;4803;232;30;;;164;0;1161;706;0;0;2510;4803;2467;1194;456;94;462;260;68.0;2032;94;;;142;0
12;2006;59761;193;467;3001;7591;23045;219;1016;908;3769;102;15294;2804;1353;59761;880;3607;1543;2272;7314;1709;370;4541;19062;345;951;208;16040;919;5654;269;61;;1273.0;329;30;1154;742;1;0;1795;5654;2003;673;591;79;392;268;42.0;1992;52;;1273.0;292;0
13;2007;64540;233;485;3330;9807;22622;207;431;1216;1110;84;17920;5671;1423;64540;876;3900;656;2455;6170;2231;433;5374;28301;376;782;199;11955;833;6410;590;251;;1242.0;195;0;1222;548;2;0;2360;6410;2502;1321;507;82;104;488;;2648;124;;954.0;182;0
14;2008;60772;320;538;3191;6212;23690;213;251;3734;939;64;13258;7131;1232;60772;838;3808;-442;2435;7107;436;287;5001;28759;253;544;149;10672;925;4668;1965;588;;1109.0;217;0;324;204;3;0;258;4668;1383;937;91;52;61;242;;1962;178;;977.0;168;0
15;2009;64039;269;464;3552;7195;25974;466;149;3616;1423;53;12247;7302;1328;64039;799;3826;502;2480;7318;2164;360;5050;30871;349;616;201;8605;898;6168;720;114;;1035.0;199;0;1027;362;0;0;2711;6168;1503;871;120;23;175;314;;2669;454;;1324.0;218;1
16;2010;65451;249;228;5982;6567;25659;143;61;2608;1591;56;14786;5974;1545;65451;771;4362;737;2360;7817;1733;235;5712;31090;214;546;186;8413;1275;4784;462;111;;998.0;234;0;795;323;0;0;1861;4784;1370;717;59;11;84;499;;1991;282;;1022.0;119;0
17;2011;64399;253;233;6083;4584;25345;194;123;4924;3094;49;13769;4580;1168;64399;687;4615;641;2468;7698;1426;225;4774;31650;207;579;179;8032;1216;4592;411;226;;1052.0;542;0;752;245;0;0;1364;4592;1469;296;173;-46;189;476;;1870;110;;1052.0;472;0
18;2012;70219;214;198;7737;4165;30899;314;77;3579;2624;52;12938;6173;1249;70219;652;5090;1240;2957;8843;1265;175;4809;35235;197;755;143;7652;1206;4412;241;119;;1059.0;443;0;967;96;0;0;1487;4412;597;12;109;-81;147;410;;2262;351;;1059.0;143;0
19;2013;71152;179;169;8407;5297;31838;376;111;2932;2255;59;11986;6158;1385;71153;635;5275;796;3216;9541;2329;169;4669;36894;135;597;133;5519;1245;4486;216;195;;1049.0;334;0;776;175;0;0;1741;4486;787;360;64;100;-70;333;;2313;189;;1049.0;148;0
20;2014;72181;202;164;8183;5782;32670;695;88;1988;3833;53;14141;3301;1081;72181;618;5108;1359;3598;11567;1451;187;5251;35462;174;734;59;4925;1688;4440;282;99;;1135.0;403;0;898;162;0;0;1461;4440;565;310;-221;90;104;282;;2010;575;;1135.0;155;0
21;2015;72582;171;162;8503;6054;29692;1039;48;1452;4021;58;17054;3246;1082;72582;608;5903;1048;3758;12540;1458;253;5643;34443;110;558;61;4589;1610;3947;358;322;;1139.0;109;0;567;128;0;0;1324;3947;509;550;-310;-17;12;274;;2003;224;;1139.0;72;0
