ID;Bedrijfstakken;LandenEnRegioS;Perioden;RDUitgavenVanBedrijven_1;RDGefinancierdVanuitHetBuitenland_2
0;Totale economie;Australië;1990;0.5;1.9
1;Totale economie;Australië;1991;0.55;4.0
2;Totale economie;Australië;1992;0.64;3.0
3;Totale economie;Australië;1993;0.66;2.9
4;Totale economie;Australië;1994;0.7;3.1
5;Totale economie;Australië;1995;0.82;3.0
6;Totale economie;Australië;1996;0.76;3.2
7;Totale economie;Australië;1997;0.71;2.6
8;Totale economie;Australië;1998;0.66;3.4
9;Totale economie;Australië;1999;0.62;4.6
10;Totale economie;Australië;2000;0.7;4.7
11;Totale economie;Australië;2001;0.82;5.5
12;Totale economie;Australië;2002;0.86;3.9
13;Totale economie;Australië;2003;0.9;1.8
14;Totale economie;Australië;2004;0.94;2.4
15;Totale economie;Australië;2005;1.04;1.6
16;Totale economie;Australië;2006;1.16;1.9
17;Totale economie;Australië;2007;1.27;1.2
18;Totale economie;Australië;2008;1.38;1.1
19;Totale economie;Australië;2009;1.3;1.0
20;Totale economie;Australië;2010;;
21;Totale economie;Australië;2011;;
22;Totale economie;België;1990;;
23;Totale economie;België;1991;1.05;0.9
24;Totale economie;België;1992;1.13;5.7
25;Totale economie;België;1993;1.19;5.6
26;Totale economie;België;1994;1.18;6.1
27;Totale economie;België;1995;1.19;6.1
28;Totale economie;België;1996;1.26;4.5
29;Totale economie;België;1997;1.31;4.5
30;Totale economie;België;1998;1.32;5.3
31;Totale economie;België;1999;1.38;5.3
32;Totale economie;België;2000;1.42;12.0
33;Totale economie;België;2001;1.51;11.9
34;Totale economie;België;2002;1.36;15.0
35;Totale economie;België;2003;1.31;12.9
36;Totale economie;België;2004;1.28;11.4
37;Totale economie;België;2005;1.24;11.0
38;Totale economie;België;2006;1.29;11.2
39;Totale economie;België;2007;1.32;10.8
40;Totale economie;België;2008;1.34;9.7
41;Totale economie;België;2009;1.34;9.8
42;Totale economie;België;2010;1.32;
43;Totale economie;België;2011;;
44;Totale economie;Canada;1990;0.76;17.9
45;Totale economie;Canada;1991;0.78;18.5
46;Totale economie;Canada;1992;0.82;17.7
47;Totale economie;Canada;1993;0.88;17.7
48;Totale economie;Canada;1994;0.98;19.4
49;Totale economie;Canada;1995;0.99;19.5
50;Totale economie;Canada;1996;0.96;20.8
51;Totale economie;Canada;1997;0.99;20.0
52;Totale economie;Canada;1998;1.06;25.8
53;Totale economie;Canada;1999;1.06;25.4
54;Totale economie;Canada;2000;1.15;28.4
55;Totale economie;Canada;2001;1.29;19.8
56;Totale economie;Canada;2002;1.17;13.5
57;Totale economie;Canada;2003;1.16;14.7
58;Totale economie;Canada;2004;1.17;15.1
59;Totale economie;Canada;2005;1.14;14.9
60;Totale economie;Canada;2006;1.14;12.8
61;Totale economie;Canada;2007;1.1;15.9
62;Totale economie;Canada;2008;1.02;12.3
63;Totale economie;Canada;2009;0.99;13.4
64;Totale economie;Canada;2010;0.92;13.6
65;Totale economie;Canada;2011;;
66;Totale economie;Denemarken;1990;0.88;3.7
67;Totale economie;Denemarken;1991;0.94;4.4
68;Totale economie;Denemarken;1992;0.96;6.4
69;Totale economie;Denemarken;1993;1.0;8.2
70;Totale economie;Denemarken;1994;;
71;Totale economie;Denemarken;1995;1.04;15.5
72;Totale economie;Denemarken;1996;1.12;11.6
73;Totale economie;Denemarken;1997;1.18;8.5
74;Totale economie;Denemarken;1998;1.32;5.2
75;Totale economie;Denemarken;1999;1.41;5.8
76;Totale economie;Denemarken;2000;;
77;Totale economie;Denemarken;2001;1.64;9.2
78;Totale economie;Denemarken;2002;1.73;
79;Totale economie;Denemarken;2003;1.78;12.0
80;Totale economie;Denemarken;2004;1.69;
81;Totale economie;Denemarken;2005;1.68;11.4
82;Totale economie;Denemarken;2006;1.66;
83;Totale economie;Denemarken;2007;1.8;10.9
84;Totale economie;Denemarken;2008;1.99;10.9
85;Totale economie;Denemarken;2009;2.08;9.9
86;Totale economie;Denemarken;2010;2.08;9.9
87;Totale economie;Denemarken;2011;;
88;Totale economie;Duitsland;1990;1.88;2.7
89;Totale economie;Duitsland;1991;1.71;2.6
90;Totale economie;Duitsland;1992;1.61;2.5
91;Totale economie;Duitsland;1993;1.53;1.9
92;Totale economie;Duitsland;1994;1.45;2.0
93;Totale economie;Duitsland;1995;1.45;2.2
94;Totale economie;Duitsland;1996;1.45;2.3
95;Totale economie;Duitsland;1997;1.51;2.8
96;Totale economie;Duitsland;1998;1.55;2.7
97;Totale economie;Duitsland;1999;1.68;2.1
98;Totale economie;Duitsland;2000;1.74;2.1
99;Totale economie;Duitsland;2001;1.73;2.4
100;Totale economie;Duitsland;2002;1.73;2.4
101;Totale economie;Duitsland;2003;1.77;2.3
102;Totale economie;Duitsland;2004;1.75;2.3
103;Totale economie;Duitsland;2005;1.74;3.3
104;Totale economie;Duitsland;2006;1.78;3.3
105;Totale economie;Duitsland;2007;1.77;3.7
106;Totale economie;Duitsland;2008;1.86;3.7
107;Totale economie;Duitsland;2009;1.91;3.4
108;Totale economie;Duitsland;2010;1.89;3.4
109;Totale economie;Duitsland;2011;;
110;Totale economie;Finland;1990;1.16;
111;Totale economie;Finland;1991;1.14;1.2
112;Totale economie;Finland;1992;1.19;
113;Totale economie;Finland;1993;1.25;1.5
114;Totale economie;Finland;1994;1.41;
115;Totale economie;Finland;1995;1.43;5.3
116;Totale economie;Finland;1996;1.67;
117;Totale economie;Finland;1997;1.78;5.1
118;Totale economie;Finland;1998;1.93;4.5
119;Totale economie;Finland;1999;2.16;1.4
120;Totale economie;Finland;2000;2.37;1.0
121;Totale economie;Finland;2001;2.36;0.7
122;Totale economie;Finland;2002;2.35;1.0
123;Totale economie;Finland;2003;2.42;0.8
124;Totale economie;Finland;2004;2.42;1.0
125;Totale economie;Finland;2005;2.46;5.3
126;Totale economie;Finland;2006;2.48;6.3
127;Totale economie;Finland;2007;2.51;5.5
128;Totale economie;Finland;2008;2.75;6.0
129;Totale economie;Finland;2009;2.81;5.6
130;Totale economie;Finland;2010;2.7;5.5
131;Totale economie;Finland;2011;;
132;Totale economie;Frankrijk;1990;1.4;11.1
133;Totale economie;Frankrijk;1991;1.43;11.4
134;Totale economie;Frankrijk;1992;1.46;12.0
135;Totale economie;Frankrijk;1993;1.46;11.3
136;Totale economie;Frankrijk;1994;1.43;11.2
137;Totale economie;Frankrijk;1995;1.39;11.1
138;Totale economie;Frankrijk;1996;1.4;11.4
139;Totale economie;Frankrijk;1997;1.37;10.6
140;Totale economie;Frankrijk;1998;1.33;9.4
141;Totale economie;Frankrijk;1999;1.36;8.8
142;Totale economie;Frankrijk;2000;1.34;9.0
143;Totale economie;Frankrijk;2001;1.39;8.7
144;Totale economie;Frankrijk;2002;1.42;10.2
145;Totale economie;Frankrijk;2003;1.36;10.4
146;Totale economie;Frankrijk;2004;1.36;10.7
147;Totale economie;Frankrijk;2005;1.31;9.2
148;Totale economie;Frankrijk;2006;1.33;8.6
149;Totale economie;Frankrijk;2007;1.31;9.6
150;Totale economie;Frankrijk;2008;1.33;10.2
151;Totale economie;Frankrijk;2009;1.4;8.8
152;Totale economie;Frankrijk;2010;1.38;9.6
153;Totale economie;Frankrijk;2011;;
154;Totale economie;Hongarije;1990;;2.2
155;Totale economie;Hongarije;1991;0.43;2.8
156;Totale economie;Hongarije;1992;0.38;5.5
