ID;Deelgebieden;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
0;42/43: Grond-, weg- en waterbouw;2012 januari;104.0;
1;42/43: Grond-, weg- en waterbouw;2012 april;105.9;
2;42/43: Grond-, weg- en waterbouw;2012 juli;106.0;
3;42/43: Grond-, weg- en waterbouw;2012 oktober;107.0;
4;42/43: Grond-, weg- en waterbouw;2013 januari;106.0;2.0
5;42/43: Grond-, weg- en waterbouw;2013 april;106.0;0.0
6;42/43: Grond-, weg- en waterbouw;2013 juli;105.0;-0.9
7;42/43: Grond-, weg- en waterbouw;2013 oktober;105.6;-1.3
8;42/43: Grond-, weg- en waterbouw;2014 januari;105.5;-0.5
9;42/43: Grond-, weg- en waterbouw;2014 april;104.7;-1.1
10;42/43: Grond-, weg- en waterbouw;2014 juli;105.0;0.0
11;42/43: Grond-, weg- en waterbouw;2014 oktober;105.6;-0.1
12;42/43: Grond-, weg- en waterbouw;2015 januari;100.0;-5.2
13;42/43: Grond-, weg- en waterbouw;2015 april;100.7;-3.8
14;42/43: Grond-, weg- en waterbouw;2015 juli;101.5;-3.3
15;42/43: Grond-, weg- en waterbouw;2015 oktober;98.5;-6.7
16;42/43: Grond-, weg- en waterbouw;2016 januari;96.0;-4.1
17;42/43: Grond-, weg- en waterbouw;2016 april;96.9;-3.9
18;42/43: Grond-, weg- en waterbouw;2016 juli;99.7;-1.8
19;42/43: Grond-, weg- en waterbouw;2016 oktober;100.5;2.0
20;42/43: Grond-, weg- en waterbouw;2017 januari;103.2;7.5
21;42/43: Grond-, weg- en waterbouw;2017 april;103.5;6.9
22;42/43: Grond-, weg- en waterbouw;2017 juli;103.1;3.5
23;42/43: Grond-, weg- en waterbouw;2017 oktober;104.0;3.6
24;42/43: Grond-, weg- en waterbouw;2018 januari;106.5;3.2
25;42/43: Grond-, weg- en waterbouw;2018 april;106.4;2.8
26;42/43: Grond-, weg- en waterbouw;2018 juli;110.2;6.8
27;42/43: Grond-, weg- en waterbouw;2018 oktober;112.1;7.8
28;42/43: Grond-, weg- en waterbouw;2019 januari;110.3;3.6
29;42/43: Grond-, weg- en waterbouw;2019 april;112.2;5.4
30;42/43: Grond-, weg- en waterbouw;2019 juli;113.1;2.7
31;42/43: Grond-, weg- en waterbouw;2019 oktober;112.4;0.3
32;42/43: Grond-, weg- en waterbouw;2020 januari;113.9;3.3
33;42/43: Grond-, weg- en waterbouw;2020 april;111.1;-0.9
34;42/43: Grond-, weg- en waterbouw;2020 juli;113.0;-0.1
35;42/43: Grond-, weg- en waterbouw;2020 oktober;112.5;0.0
36;42/43: Grond-, weg- en waterbouw;2021 januari;114.0;0.1
37;42/43: Grond-, weg- en waterbouw;2021 april;117.6;5.8
38;42/43: Grond-, weg- en waterbouw;2021 juli;120.5;6.6
39;42/43: Grond-, weg- en waterbouw;2021 oktober;121.9;8.4
40;42/43: Grond-, weg- en waterbouw;2022 januari;126.9;11.3
41;42/43: Grond-, weg- en waterbouw;2022 april;140.8;19.7
42;42/43: Grond-, weg- en waterbouw;2022 juli;141.5;17.4
43;42/43: Grond-, weg- en waterbouw;2022 oktober;140.3;15.1
44;42/43: Grond-, weg- en waterbouw;2023 januari;138.6;9.3
45;42/43: Grond-, weg- en waterbouw;2023 april;139.8;-0.7
46;42/43: Grond-, weg- en waterbouw;2023 juli;142.2;0.5
47;42/43: Grond-, weg- en waterbouw;2023 oktober;145.9;3.9
48;42/43: Grond-, weg- en waterbouw;2024 januari;145.4;4.9
49;42/43: Grond-, weg- en waterbouw;2024 april;146.5;4.8
50;42/43: Grond-, weg- en waterbouw;2024 juli;148.9;4.7
51;42/43: Grond-, weg- en waterbouw;2024 oktober;147.1;0.8
52;4211a Wegen met open verharding;2012 januari;97.7;
53;4211a Wegen met open verharding;2012 april;98.4;
54;4211a Wegen met open verharding;2012 juli;99.2;
55;4211a Wegen met open verharding;2012 oktober;99.9;
56;4211a Wegen met open verharding;2013 januari;99.5;1.9
57;4211a Wegen met open verharding;2013 april;99.5;1.2
58;4211a Wegen met open verharding;2013 juli;99.2;0.1
59;4211a Wegen met open verharding;2013 oktober;99.1;-0.8
60;4211a Wegen met open verharding;2014 januari;100.3;0.9
61;4211a Wegen met open verharding;2014 april;100.0;0.5
62;4211a Wegen met open verharding;2014 juli;100.0;0.8
63;4211a Wegen met open verharding;2014 oktober;100.4;1.3
64;4211a Wegen met open verharding;2015 januari;99.4;-1.0
65;4211a Wegen met open verharding;2015 april;99.6;-0.4
66;4211a Wegen met open verharding;2015 juli;100.5;0.4
67;4211a Wegen met open verharding;2015 oktober;100.3;-0.2
68;4211a Wegen met open verharding;2016 januari;100.0;0.7
69;4211a Wegen met open verharding;2016 april;100.6;1.0
70;4211a Wegen met open verharding;2016 juli;101.8;1.3
71;4211a Wegen met open verharding;2016 oktober;101.8;1.5
72;4211a Wegen met open verharding;2017 januari;101.5;1.5
73;4211a Wegen met open verharding;2017 april;102.3;1.7
74;4211a Wegen met open verharding;2017 juli;102.3;0.5
75;4211a Wegen met open verharding;2017 oktober;103.1;1.3
76;4211a Wegen met open verharding;2018 januari;104.1;2.5
77;4211a Wegen met open verharding;2018 april;104.8;2.4
78;4211a Wegen met open verharding;2018 juli;105.7;3.4
79;4211a Wegen met open verharding;2018 oktober;107.2;4.0
80;4211a Wegen met open verharding;2019 januari;107.2;2.9
81;4211a Wegen met open verharding;2019 april;108.0;3.1
82;4211a Wegen met open verharding;2019 juli;109.3;3.3
83;4211a Wegen met open verharding;2019 oktober;109.6;2.2
84;4211a Wegen met open verharding;2020 januari;113.4;5.8
85;4211a Wegen met open verharding;2020 april;112.9;4.5
86;4211a Wegen met open verharding;2020 juli;113.9;4.2
87;4211a Wegen met open verharding;2020 oktober;113.7;3.7
88;4211a Wegen met open verharding;2021 januari;114.2;0.7
89;4211a Wegen met open verharding;2021 april;114.9;1.7
90;4211a Wegen met open verharding;2021 juli;115.6;1.5
91;4211a Wegen met open verharding;2021 oktober;116.2;2.3
92;4211a Wegen met open verharding;2022 januari;120.8;5.7
93;4211a Wegen met open verharding;2022 april;124.8;8.7
94;4211a Wegen met open verharding;2022 juli;127.6;10.3
95;4211a Wegen met open verharding;2022 oktober;129.6;11.5
