ID;Perioden;Totaal_1;Totaal_2;Aanplantingen_3;Dieren_4;Totaal_5;Totaal_6;MachinesEnWerktuigen_7;Vervoermiddelen_8;Totaal_9;Bedrijfsgebouwen_10;AndereWerkenMUVGrondverbetering_11;Totaal_12;ImmaterieleActivaBVComputerSof_13;BelangrijkeGrondverbetering_14;KostenInVerbandMetDeEigendomsove_15;VerbruikVanVasteActiva_16;NettoInvesteringenInVasteActiva_17;VeranderingenInVoorraden_18;Kapitaaloverdrachten_19;Totaal_20;Totaal_21;Aanplantingen_22;Dieren_23;Totaal_24;Totaal_25;MachinesEnWerktuigen_26;Vervoermiddelen_27;Totaal_28;Bedrijfsgebouwen_29;AndereWerkenMUVGrondverbetering_30;Totaal_31;ImmaterieleActivaBVComputerSof_32;BelangrijkeGrondverbetering_33;KostenInVerbandMetDeEigendomsove_34;VerbruikVanVasteActiva_35;NettoInvesteringenInVasteActiva_36;VeranderingenInVoorraden_37;Kapitaaloverdrachten_38;Totaal_39;Totaal_40;Aanplantingen_41;Dieren_42;Totaal_43;Totaal_44;MachinesEnWerktuigen_45;Vervoermiddelen_46;Totaal_47;Bedrijfsgebouwen_48;AndereWerkenMUVGrondverbetering_49;Totaal_50;ImmaterieleActivaBVComputerSof_51;BelangrijkeGrondverbetering_52;KostenInVerbandMetDeEigendomsove_53;VerbruikVanVasteActiva_54;NettoInvesteringenInVasteActiva_55;VeranderingenInVoorraden_56;Kapitaaloverdrachten_57;Totaal_58;Totaal_59;Aanplantingen_60;Dieren_61;Totaal_62;Totaal_63;MachinesEnWerktuigen_64;Vervoermiddelen_65;Totaal_66;Bedrijfsgebouwen_67;AndereWerkenMUVGrondverbetering_68;Totaal_69;ImmaterieleActivaBVComputerSof_70;BelangrijkeGrondverbetering_71;KostenInVerbandMetDeEigendomsove_72;VerbruikVanVasteActiva_73;NettoInvesteringenInVasteActiva_74;VeranderingenInVoorraden_75;Kapitaaloverdrachten_76
0;1995;2086;311;71;240;1775;854;833;21;694;694;;228;145;31;52;2064;21;-27;0;3047;320;92;258;2748;1279;1272;28;1134;1134;;320;206;31;91;2963;2;;;;;;;;;;;;;;;;;;;;;;68.4;97.3;77.1;93.0;64.6;66.7;65.5;76.0;61.2;61.2;;71.2;70.5;97.7;56.9;69.7;;;
1;1996;2102;282;76;206;1820;906;885;21;672;672;;243;155;32;55;2098;4;-29;0;3125;323;97;258;2824;1388;1383;27;1088;1088;;327;214;32;90;2966;8;;;2.5;1.1;5.0;0.0;2.8;8.5;8.7;-1.7;-4.1;-4.1;;2.4;3.9;2.5;-1.9;0.1;;;;67.3;87.1;78.7;79.7;64.5;65.3;64.0;75.6;61.8;61.8;;74.2;72.7;100.6;61.3;70.7;;;
2;1997;2715;673;91;582;2041;1003;979;25;784;784;;254;181;28;46;2121;593;636;1153;4068;834;113;800;3118;1521;1514;31;1247;1247;;333;246;27;68;2954;1319;;;30.2;157.8;17.1;210.0;10.4;9.6;9.5;14.7;14.6;14.6;;1.8;14.9;-17.6;-23.6;-0.4;;;;66.7;80.8;80.8;72.8;65.5;66.0;64.7;78.8;62.9;62.9;;76.3;73.5;104.4;67.2;71.8;;;
3;1998;2289;234;78;155;2055;986;961;25;796;796;;274;194;27;53;2144;145;89;142;3375;299;104;216;3072;1500;1494;30;1203;1203;;347;257;26;73;2956;287;;;-17.0;-64.2;-7.7;-73.0;-1.5;-1.4;-1.3;-3.9;-3.5;-3.5;;4.2;4.8;-3.6;6.5;0.1;;;;67.8;78.2;74.9;72.1;66.9;65.7;64.3;81.9;66.2;66.2;;78.8;75.4;104.2;72.6;72.5;;;
4;1999;2894;326;104;222;2567;1096;1073;23;1105;1105;;366;242;34;90;2200;694;-76;0;4207;428;134;325;3764;1670;1672;26;1616;1616;;447;316;33;110;2976;1374;;;24.7;43.5;28.5;51.0;22.5;11.3;11.9;-11.9;34.3;34.3;;28.6;22.7;26.9;50.9;0.7;;;;68.8;76.2;77.8;68.2;68.2;65.6;64.2;85.9;68.4;68.4;;82.0;76.8;104.4;81.7;73.9;;;
5;2000;2853;242;113;129;2611;1217;1194;23;967;967;;427;255;30;143;2323;530;-72;0;4000;312;136;193;3685;1818;1824;26;1347;1347;;487;319;28;154;3029;1015;;;-4.9;-27.2;1.7;-40.8;-2.1;8.8;9.1;-2.5;-16.6;-16.6;;9.1;1.0;-15.2;40.0;1.8;;;;71.3;77.5;82.6;66.9;70.9;66.9;65.4;90.0;71.8;71.8;;87.7;79.8;108.1;92.7;76.7;;;
6;2001;3023;196;99;97;2827;1336;1309;27;1148;1148;;343;210;13;120;2447;576;-74;66;4021;201;111;95;3828;1970;1975;29;1493;1493;;366;251;11;118;3082;965;;;0.5;-35.7;-18.5;-50.8;3.9;8.4;8.3;14.0;10.9;10.9;;-24.8;-21.2;-61.0;-23.8;1.8;;;;75.2;97.8;89.2;102.0;73.8;67.8;66.3;91.4;76.9;76.9;;93.6;83.6;117.5;102.1;79.4;;;
7;2002;3179;253;80;173;2926;1073;1049;24;1499;1499;;355;234;28;94;2548;631;-24;0;4019;255;87;168;3754;1460;1459;25;1878;1878;;362;269;23;86;3097;942;;;0.0;27.0;-21.8;77.0;-1.9;-25.9;-26.1;-14.4;25.8;25.8;;-1.1;7.0;110.5;-27.0;0.5;;;;79.1;99.3;92.2;102.7;77.9;73.5;71.9;95.6;79.8;79.8;;98.0;86.9;122.2;109.1;82.3;;;
8;2003;3235;202;97;105;3033;1047;1016;31;1706;1706;;280;181;26;74;2583;652;-9;0;4032;196;99;100;3843;1408;1396;32;2114;2114;;279;202;22;65;3103;951;;;0.3;-23.2;14.1;-40.5;2.4;-3.6;-4.3;28.4;12.6;12.6;;-22.9;-24.8;-1.6;-24.6;0.2;;;;80.2;103.1;97.5;105.0;78.9;74.4;72.8;95.7;80.7;80.7;;100.3;89.4;115.0;113.7;83.3;;;
9;2004;2938;263;79;184;2675;1046;992;54;1397;1397;;232;126;15;92;2635;303;39;0;3606;257;88;170;3330;1381;1335;57;1701;1701;;228;141;14;77;3122;428;;;-10.6;31.2;-10.8;69.9;-13.4;-1.9;-4.4;77.6;-19.6;-19.6;;-18.3;-30.6;-38.6;19.0;0.6;;;;81.5;102.4;89.1;108.4;80.3;75.7;74.3;94.2;82.2;82.2;;101.7;89.4;108.0;118.9;84.4;;;
