ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenWAOWIAUitkering_1;PersonenMetEenWajongUitkering_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2005 september;670590;133900
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2006 september;617090;141900
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2007 september;594450;151800
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2005 september;20770;4940
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2006 september;15990;6120
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2007 september;14500;7850
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2005 september;19930;4850
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2006 september;11590;6560
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2007 september;21170;7030
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2005 september;48070;8710
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2006 september;36210;9470
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2007 september;23670;11630
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2005 september;47770;7210
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2006 september;39200;8030
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2007 september;32560;8980
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2005 september;98840;12080
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2006 september;80460;13060
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2007 september;69530;14370
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2005 september;435210;96110
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2006 september;433640;98670
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2007 september;433020;101940
21;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2005 september;538350;113550
22;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2006 september;496050;119770
23;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2007 september;476210;127280
24;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2005 september;15560;3930
25;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2006 september;11970;4830
26;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2007 september;10660;6070
27;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2005 september;15390;3870
28;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2006 september;8830;5200
29;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2007 september;15320;5490
30;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2005 september;36650;6990
31;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2006 september;27560;7550
32;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2007 september;17840;9220
33;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2005 september;36310;5760
34;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2006 september;30090;6460
35;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2007 september;24830;7180
36;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;8;2005 september;78290;9800
