ID;Inkomensklassen;Inkomensbegrippen;Perioden;TotaalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;TotaalMetMinderjarigeKinderen_4;EenVolwasseneMetKind_5;TweeVolwassenenMetKind_6;DrieOfMeerVolwassenenMetKind_7;ZonderMinderjarigeKinderen_8;TweeVolwassenenZonderKind_9;DrieOfMeerVolwassenenZonderKind_10;Winst_11;Loon_12;Pensioen_13;Uitkering_14;OverigeInkomsten_15;Tot25Jaar_16;k_25Tot35Jaar_17;k_35Tot45Jaar_18;k_45Tot55Jaar_19;k_55Tot65Jaar_20;k_65JaarEnOuder_21;TotaalHuishoudens_22;Eenpersoonshuishouden_23;TotaalMeerpersoonshuishoudens_24;TotaalMetMinderjarigeKinderen_25;EenVolwasseneMetKind_26;TweeVolwassenenMetKind_27;DrieOfMeerVolwassenenMetKind_28;TotaalZonderMinderjarigeKinderen_29;TweeVolwassenenZonderKind_30;DrieOfMeerVolwassenenZonderKind_31;Winst_32;Loon_33;Pensioen_34;Uitkering_35;OverigeInkomsten_36;Tot25Jaar_37;k_25Tot35Jaar_38;k_35Tot45Jaar_39;k_45Tot55Jaar_40;k_55Tot65Jaar_41;k_65JaarEnOuder_42;TotaalHuishoudens_43;Eenpersoonshuishouden_44;TotaalMeerpersoonshuishoudens_45;TotaalMetMinderjarigeKinderen_46;EenVolwasseneMetKind_47;TweeVolwassenenMetKind_48;DrieOfMeerVolwassenenMetKind_49;TotaalZonderMinderjarigeKinderen_50;TweeVolwassenenZonderKind_51;DrieOfMeerVolwassenenZonderKind_52;Winst_53;Loon_54;Pensioen_55;Uitkering_56;OverigeInkomsten_57;Tot25Jaar_58;k_25Tot35Jaar_59;k_35Tot45Jaar_60;k_45Tot55Jaar_61;k_55Tot65Jaar_62;k_65JaarEnOuder_63
0;0;Bruto inkomen;1990;6128;1974;4154;1788;182;1305;301;2367;1762;605;323;3358;1437;910;101;408;1331;1318;972;832;1268;2.4;1.0;3.0;4.0;2.6;4.0;4.8;2.4;2.0;3.4;3.2;2.8;1.6;2.0;2.7;1.3;2.3;3.3;3.0;2.2;1.6;1.7;1.0;2.0;1.9;1.2;1.7;3.1;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.7;1.2;1.5;1.7;2.2;1.7;1.5
1;0;Bruto inkomen;1991;6211;1982;4229;1783;185;1308;290;2445;1850;595;312;3419;1465;925;89;417;1338;1297;1035;837;1287;2.4;1.0;3.0;3.9;2.6;4.0;4.8;2.3;2.0;3.4;3.2;2.7;1.6;2.0;2.8;1.3;2.3;3.3;3.0;2.2;1.6;1.7;1.0;2.0;1.9;1.2;1.7;3.1;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.7;1.5
2;0;Bruto inkomen;1992;6309;2043;4266;1784;197;1299;289;2482;1890;592;315;3465;1494;943;92;412;1353;1296;1093;840;1316;2.4;1.0;3.0;3.9;2.6;4.0;4.8;2.3;2.0;3.4;3.1;2.7;1.6;2.0;2.8;1.3;2.2;3.2;2.9;2.1;1.6;1.7;1.0;2.0;1.9;1.2;1.8;3.1;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.7;1.5
3;0;Bruto inkomen;1993;6401;2097;4304;1799;206;1313;280;2505;1930;575;310;3485;1519;985;104;409;1365;1299;1134;855;1339;2.3;1.0;3.0;3.9;2.6;4.0;4.8;2.3;2.0;3.4;3.1;2.7;1.6;2.0;2.7;1.3;2.2;3.2;2.9;2.1;1.6;1.7;1.0;2.0;1.9;1.2;1.8;3.1;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.7;1.5
4;0;Bruto inkomen;1994;6454;2114;4340;1808;212;1321;275;2533;1972;561;313;3468;1553;1017;104;381;1372;1311;1168;865;1356;2.3;1.0;3.0;3.9;2.6;3.9;4.8;2.3;2.0;3.3;3.1;2.7;1.6;2.0;2.7;1.3;2.2;3.2;2.9;2.1;1.6;1.7;1.0;2.0;1.9;1.2;1.8;3.1;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.1;1.7;1.5
5;0;Bruto inkomen;1995;6549;2168;4381;1818;223;1326;268;2563;2022;542;338;3516;1569;997;129;359;1387;1339;1204;875;1383;2.3;1.0;3.0;3.9;2.6;3.9;4.8;2.3;2.0;3.3;3.0;2.7;1.5;2.0;2.7;1.3;2.2;3.2;2.9;2.1;1.6;1.7;1.0;2.0;1.9;1.2;1.8;3.2;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.1;1.7;1.5
6;0;Bruto inkomen;1996;6617;2202;4415;1824;228;1332;265;2590;2072;518;322;3623;1591;941;140;349;1384;1360;1237;881;1407;2.3;1.0;2.9;3.9;2.6;3.9;4.8;2.3;2.0;3.3;3.0;2.6;1.5;2.0;2.7;1.3;2.2;3.2;2.8;2.0;1.6;1.7;1.0;2.0;2.0;1.2;1.8;3.3;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.6;1.5
7;0;Bruto inkomen;1997;6704;2260;4444;1833;232;1340;261;2611;2113;498;327;3716;1618;891;151;341;1387;1381;1274;892;1429;2.3;1.0;2.9;3.9;2.6;4.0;4.8;2.3;2.0;3.3;3.0;2.6;1.5;2.0;2.7;1.3;2.1;3.1;2.8;2.0;1.5;1.7;1.0;2.0;2.0;1.2;1.9;3.4;2.0;1.8;2.9;2.0;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.6;1.5
8;0;Bruto inkomen;1998;6783;2309;4474;1847;241;1348;258;2628;2144;483;335;3843;1624;838;142;340;1385;1402;1298;911;1447;2.3;1.0;2.9;3.9;2.6;4.0;4.9;2.2;2.0;3.3;2.9;2.6;1.5;1.9;2.8;1.3;2.1;3.1;2.8;2.0;1.5;1.7;1.0;2.0;2.0;1.2;1.9;3.4;2.0;1.8;2.9;2.0;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.6;1.5
9;0;Bruto inkomen;1999;6855;2358;4498;1853;256;1341;256;2645;2166;479;331;3943;1635;790;157;348;1379;1414;1317;929;1469;2.3;1.0;2.9;3.9;2.6;3.9;4.9;2.2;2.0;3.3;2.9;2.6;1.5;1.9;2.7;1.3;2.0;3.1;2.8;2.0;1.5;1.7;1.0;2.0;2.0;1.2;1.9;3.4;2.0;1.8;2.9;1.9;1.8;1.4;1.4;1.8;1.2;1.5;1.7;2.2;1.6;1.5
