ID;Perioden;TotaalPersonenMetContact_1;EenmaalContact_2;MeerDanEenmaalContact_3;TotaalAlgemeneHulpverlening_4;TotaalAlgemeneDienstverlening_5;OnwelWordenOverlijden_6;VermistePersonen_7;ErnstigeBerichten_8;VermisteDieren_9;GevondenVerlorenVoorwerpen_10;VerdachteSituaties_11;TotaalOpenbareOrdeEnVeiligheid_12;Brand_13;Burenruzie_14;Dronkenschap_15;Geluidsoverlast_16;Vandalisme_17;TotaalVerkeer_18;Verkeersongeval_19;Verkeersproblemen_20;MishandelingBedreiging_21;DiefstalInbraak_22;AndersTotaal_23;Vreemdelingenzaken_24;AndersInclOnbekend_25;TotaalEigenSlachtofferschap_26;GeweldsdelictenTotaal_27;SeksueleDelicten_28;Mishandeling_29;Bedreiging_30;VermogensdelictenTotaal_31;Inbraak_32;Fietsdiefstal_33;Autodiefstal_34;DiefstalUitAuto_35;Zakkenrollerij_36;OverigeDiefstal_37;VandalismedelictenTotaal_38;BeschadigingDiefstalVanafAuto_39;OverigeVernielingen_40;DoorrijdenNaAanrijding_41;KwaadwilligeTelefoontjes_42;OverigeDelicten_43;TotaalAantalContacten_44;EenmaalContact_45;MeerDanEenmaalContact_46;TotaalAlgemeneHulpverlening_47;TotaalAlgemeneDienstverlening_48;OnwelWordenOverlijden_49;VermistePersonen_50;ErnstigeBerichten_51;VermisteDieren_52;GevondenVerlorenVoorwerpen_53;VerdachteSituaties_54;TotaalOpenbareOrdeEnVeiligheid_55;Brand_56;Burenruzie_57;Dronkenschap_58;Geluidsoverlast_59;Vandalisme_60;TotaalVerkeer_61;Verkeersongeval_62;Verkeersproblemen_63;MishandelingBedreiging_64;DiefstalInbraak_65;AndersTotaal_66;Vreemdelingenzaken_67;AndersInclOnbekend_68;TotaalEigenSlachtofferschap_69;GeweldsdelictenTotaal_70;SeksueleDelicten_71;Mishandeling_72;Bedreiging_73;VermogensdelictenTotaal_74;Inbraak_75;Fietsdiefstal_76;Autodiefstal_77;DiefstalUitAuto_78;Zakkenrollerij_79;OverigeDiefstal_80;VandalismedelictenTotaal_81;BeschadigingDiefstalVanafAuto_82;OverigeVernielingen_83;DoorrijdenNaAanrijding_84;KwaadwilligeTelefoontjes_85;OverigeDelicten_86;TotaalAantalContacten_87;EenmaalContact_88;MeerDanEenmaalContact_89;TotaalAlgemeneHulpverlening_90;TotaalAlgemeneDienstverlening_91;OnwelWordenOverlijden_92;VermistePersonen_93;ErnstigeBerichten_94;VermisteDieren_95;GevondenVerlorenVoorwerpen_96;VerdachteSituaties_97;TotaalOpenbareOrdeEnVeiligheid_98;Brand_99;Burenruzie_100;Dronkenschap_101;Geluidsoverlast_102;Vandalisme_103;TotaalVerkeer_104;Verkeersongeval_105;Verkeersproblemen_106;MishandelingBedreiging_107;DiefstalInbraak_108;AndersTotaal_109;Vreemdelingenzaken_110;AndersInclOnbekend_111;TotaalEigenSlachtofferschap_112;GeweldsdelictenTotaal_113;SeksueleDelicten_114;Mishandeling_115;Bedreiging_116;VermogensdelictenTotaal_117;Inbraak_118;Fietsdiefstal_119;Autodiefstal_120;DiefstalUitAuto_121;Zakkenrollerij_122;OverigeDiefstal_123;VandalismedelictenTotaal_124;BeschadigingDiefstalVanafAuto_125;OverigeVernielingen_126;DoorrijdenNaAanrijding_127;KwaadwilligeTelefoontjes_128;OverigeDelicten_129
0;1992;20.8;15.1;5.7;13.7;;;;;;;;;;;;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;3403;;;2107;;;;;;;;;;;;;;;;;;;;;;1295;;;;;;;;;;;;;;;;;;29.3;;;18.1;;;;;;;;;;;;;;;;;;;;;;11.1;;;;;;;;;;;;;;;;;
1;1993;22.0;16.2;5.8;13.4;;;;;;;;;;;;;;;;;;;;;;10.3;;;;;;;;;;;;;;;;;;3446;;;2038;;;;;;;;;;;;;;;;;;;;;;1407;;;;;;;;;;;;;;;;;;29.9;;;17.7;;;;;;;;;;;;;;;;;;;;;;12.2;;;;;;;;;;;;;;;;;
2;1994;22.0;16.4;5.6;13.2;;;;;;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;;;;;;;;3493;;;1999;;;;;;;;;;;;;;;;;;;;;;1494;;;;;;;;;;;;;;;;;;30.0;;;17.2;;;;;;;;;;;;;;;;;;;;;;12.9;;;;;;;;;;;;;;;;;
3;1995;21.2;15.9;5.3;12.5;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;3383;;;1970;;;;;;;;;;;;;;;;;;;;;;1413;;;;;;;;;;;;;;;;;;28.9;;;16.8;;;;;;;;;;;;;;;;;;;;;;12.1;;;;;;;;;;;;;;;;;
4;1996;20.1;14.9;5.3;12.9;;;;;;;;;;;;;;;;;;;;;;8.8;;;;;;;;;;;;;;;;;;3335;;;2039;;;;;;;;;;;;;;;;;;;;;;1296;;;;;;;;;;;;;;;;;;28.3;;;17.3;;;;;;;;;;;;;;;;;;;;;;11.0;;;;;;;;;;;;;;;;;
5;1997;25.0;18.5;6.5;16.4;6.1;0.4;0.2;0.2;0.2;1.7;3.5;4.4;0.4;0.6;0.2;1.5;1.9;3.0;1.8;1.4;0.8;2.0;1.3;0.7;0.6;10.5;1.1;0.1;0.4;0.6;6.6;1.3;1.8;0.3;1.2;1.3;1.0;2.1;1.2;1.0;0.5;0.6;0.3;4120;;;2632;881.0;47.0;28.0;25.0;30.0;220.0;532.0;698.0;45.0;108.0;34.0;252.0;260.0;441.0;239.0;202.0;115.0;289.0;207.0;102.0;106.0;1487;149.0;9.0;56.0;84.0;861.0;171.0;223.0;42.0;141.0;158.0;127.0;296.0;155.0;141.0;65.0;72.0;44.0;34.5;;;22.1;7.4;0.4;0.2;0.2;0.2;1.8;4.5;5.9;0.4;0.9;0.3;2.1;2.2;3.7;2.0;1.7;1.0;2.4;1.7;0.9;0.9;12.5;1.3;0.1;0.5;0.7;7.2;1.4;1.9;0.3;1.2;1.3;1.1;2.5;1.3;1.2;0.5;0.6;0.4
6;1998;24.8;16.9;7.9;17.0;5.2;0.3;0.3;0.0;0.4;1.8;2.7;5.1;0.3;0.9;0.3;1.8;2.0;3.5;2.1;1.5;0.9;1.5;2.9;0.2;2.7;10.2;1.1;0.0;0.5;0.5;5.9;1.0;1.6;0.2;1.2;1.2;0.9;2.5;1.3;1.2;0.6;0.5;0.3;4280;;;2843;753.0;34.0;34.0;6.0;48.0;222.0;409.0;870.0;41.0;119.0;48.0;331.0;331.0;508.0;290.0;218.0;106.0;219.0;386.0;21.0;365.0;1438;145.0;3.0;70.0;73.0;778.0;119.0;209.0;27.0;154.0;148.0;119.0;346.0;178.0;169.0;77.0;55.0;37.0;35.7;;;23.7;6.3;0.3;0.3;0.0;0.4;1.9;3.4;7.3;0.3;1.0;0.4;2.8;2.8;4.2;2.4;1.8;0.9;1.8;3.2;0.2;3.0;12.0;1.2;0.0;0.6;0.6;6.5;1.0;1.7;0.2;1.3;1.2;1.0;2.9;1.5;1.4;0.6;0.5;0.3
7;1999;24.0;17.4;6.6;16.5;5.0;0.4;0.1;0.0;0.2;1.5;2.9;4.2;0.4;0.4;0.2;1.5;1.9;2.9;1.7;1.3;0.7;1.8;3.3;0.2;3.1;9.8;1.1;0.1;0.5;0.6;5.2;1.1;1.6;0.1;1.0;0.9;0.6;2.8;1.7;1.1;0.4;0.5;0.3;3974;;;2587;688.0;48.0;13.0;7.0;21.0;191.0;408.0;651.0;44.0;68.0;28.0;255.0;256.0;436.0;226.0;210.0;93.0;267.0;452.0;33.0;418.0;1387;169.0;10.0;68.0;92.0;683.0;138.0;214.0;16.0;129.0;110.0;76.0;394.0;241.0;153.0;42.0;58.0;40.0;33.0;;;21.5;5.7;0.4;0.1;0.1;0.2;1.6;3.4;5.4;0.4;0.6;0.2;2.1;2.1;3.6;1.9;1.7;0.8;2.2;3.7;0.3;3.5;11.5;1.4;0.1;0.6;0.8;5.7;1.1;1.8;0.1;1.1;0.9;0.6;3.3;2.0;1.3;0.4;0.5;0.3
8;2000;24.5;17.6;6.9;17.1;5.0;0.3;0.1;0.0;0.2;1.6;2.8;4.7;0.4;0.6;0.4;1.5;2.0;2.9;1.5;1.5;0.9;1.9;3.4;0.2;3.2;9.7;1.0;0.0;0.4;0.5;6.2;1.0;1.6;0.2;1.4;1.2;1.0;2.0;1.3;0.7;0.4;0.4;0.3;4088;;;2696;669.0;34.0;20.0;5.0;21.0;209.0;380.0;736.0;49.0;107.0;49.0;266.0;266.0;445.0;227.0;218.0;122.0;254.0;470.0;25.0;445.0;1392;140.0;5.0;52.0;82.0;848.0;135.0;220.0;25.0;204.0;143.0;121.0;267.0;168.0;99.0;51.0;45.0;42.0;33.9;;;22.4;5.5;0.3;0.2;0.0;0.2;1.7;3.2;6.1;0.4;0.9;0.4;2.2;2.2;3.7;1.9;1.8;1.0;2.1;3.9;0.2;3.7;11.6;1.2;0.0;0.4;0.7;7.0;1.1;1.8;0.2;1.7;1.2;1.0;2.2;1.4;0.8;0.4;0.4;0.3
9;2001;22.2;16.2;6.0;15.2;4.2;0.4;0.2;0.1;0.3;0.9;2.3;4.1;0.2;0.4;0.3;1.5;1.9;3.1;1.7;1.5;0.8;1.7;2.8;0.1;2.7;9.0;1.0;0.1;0.4;0.5;5.1;0.8;1.3;0.1;1.4;0.9;0.6;2.3;1.5;0.8;0.5;0.5;0.2;3693;;;2433;593.0;50.0;29.0;16.0;57.0;113.0;327.0;645.0;30.0;51.0;41.0;236.0;286.0;460.0;224.0;236.0;116.0;231.0;389.0;11.0;377.0;1260;137.0;9.0;56.0;72.0;674.0;99.0;191.0;16.0;176.0;113.0;79.0;286.0;184.0;101.0;67.0;67.0;30.0;30.3;;;19.9;4.9;0.4;0.2;0.1;0.5;0.9;2.7;5.3;0.2;0.4;0.3;1.9;2.3;3.8;1.8;1.9;0.9;1.9;3.2;0.1;3.1;10.3;1.1;0.1;0.5;0.6;5.5;0.8;1.6;0.1;1.4;0.9;0.6;2.3;1.5;0.8;0.5;0.5;0.2
