ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2018 maart;                                        ;        ;NL00      ;;285370.0;455390.0;757750.0;3379990.0;;;;;;;
1;Totaal;2018 juni;                                        ;        ;NL00      ;;258030.0;447620.0;749860.0;3400420.0;;;;;;;
2;Totaal;2018 september;                                        ;        ;NL00      ;;242630.0;435800.0;748540.0;3425000.0;;;;;;;
3;Totaal;2018 december;                                        ;        ;NL00      ;;254480.0;432460.0;747230.0;3444450.0;;;;;;;
4;Nederland;2018 maart;                                        ;        ;NL01      ;;280280.0;455140.0;733600.0;3037060.0;2.0;3.0;5.0;21.0;14436240.0;11389900.0;3046340.0
5;Nederland;2018 juni;                                        ;        ;NL01      ;;253060.0;447390.0;725700.0;3058700.0;2.0;3.0;5.0;21.0;14461100.0;11392720.0;3068380.0
6;Nederland;2018 september;                                        ;        ;NL01      ;;238010.0;435560.0;724230.0;3082360.0;2.0;3.0;5.0;21.0;14512020.0;11419510.0;3092520.0
7;Nederland;2018 december;                                        ;        ;NL01      ;;248660.0;432250.0;722930.0;3099270.0;2.0;3.0;5.0;21.0;14539770.0;11430180.0;3109590.0
8;Buitenland;2018 maart;                                        ;        ;NL98      ;;5090.0;250.0;24150.0;342940.0;;;;;;;
9;Buitenland;2018 juni;                                        ;        ;NL98      ;;4970.0;230.0;24160.0;341720.0;;;;;;;
10;Buitenland;2018 september;                                        ;        ;NL98      ;;4620.0;250.0;24310.0;342640.0;;;;;;;
11;Buitenland;2018 december;                                        ;        ;NL98      ;;5820.0;210.0;24290.0;345180.0;;;;;;;
12;Aa en Hunze;2018 maart;Aa en Hunze                             ;Gemeente;GM1680    ;;470.0;410.0;1120.0;6090.0;2.0;2.0;5.0;28.0;21790.0;15700.0;6090.0
13;Aa en Hunze;2018 juni;Aa en Hunze                             ;Gemeente;GM1680    ;;390.0;400.0;1100.0;6140.0;2.0;2.0;5.0;28.0;21840.0;15690.0;6150.0
14;Aa en Hunze;2018 september;Aa en Hunze                             ;Gemeente;GM1680    ;;350.0;380.0;1090.0;6190.0;2.0;2.0;5.0;28.0;21850.0;15650.0;6190.0
15;Aa en Hunze;2018 december;Aa en Hunze                             ;Gemeente;GM1680    ;;410.0;390.0;1090.0;6230.0;2.0;2.0;5.0;28.0;21930.0;15690.0;6230.0
16;Wijk 00 Annen;2018 maart;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;70.0;40.0;100.0;810.0;2.0;1.0;3.0;27.0;2990.0;2180.0;810.0
17;Wijk 00 Annen;2018 juni;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;60.0;40.0;100.0;830.0;2.0;1.0;3.0;27.0;3010.0;2190.0;830.0
18;Wijk 00 Annen;2018 september;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;50.0;30.0;100.0;830.0;2.0;1.0;3.0;28.0;3010.0;2180.0;830.0
19;Wijk 00 Annen;2018 december;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;60.0;30.0;110.0;840.0;2.0;1.0;4.0;28.0;3020.0;2190.0;840.0
20;Annen;2018 maart;Aa en Hunze                             ;Buurt   ;BU16800000;1.0;70.0;30.0;100.0;780.0;2.0;1.0;3.0;27.0;2860.0;2080.0;780.0
21;Annen;2018 juni;Aa en Hunze                             ;Buurt   ;BU16800000;1.0;60.0;30.0;100.0;800.0;2.0;1.0;3.0;28.0;2880.0;2090.0;800.0
22;Annen;2018 september;Aa en Hunze                             ;Buurt   ;BU16800000;1.0;50.0;30.0;100.0;800.0;2.0;1.0;3.0;28.0;2880.0;2070.0;800.0
23;Annen;2018 december;Aa en Hunze                             ;Buurt   ;BU16800000;1.0;50.0;30.0;100.0;810.0;2.0;1.0;4.0;28.0;2890.0;2080.0;810.0
24;Verspreide huizen Annen;2018 maart;Aa en Hunze                             ;Buurt   ;BU16800009;1.0;0.0;0.0;0.0;30.0;3.0;2.0;3.0;23.0;130.0;100.0;30.0
25;Verspreide huizen Annen;2018 juni;Aa en Hunze                             ;Buurt   ;BU16800009;1.0;0.0;0.0;0.0;30.0;3.0;2.0;2.0;24.0;130.0;100.0;30.0
26;Verspreide huizen Annen;2018 september;Aa en Hunze                             ;Buurt   ;BU16800009;1.0;0.0;0.0;0.0;30.0;3.0;0.0;3.0;23.0;130.0;100.0;30.0
27;Verspreide huizen Annen;2018 december;Aa en Hunze                             ;Buurt   ;BU16800009;1.0;10.0;0.0;0.0;30.0;5.0;0.0;3.0;24.0;130.0;100.0;30.0
28;Wijk 01 Eext;2018 maart;Aa en Hunze                             ;Wijk    ;WK168001  ;1.0;30.0;30.0;50.0;270.0;3.0;2.0;4.0;23.0;1210.0;940.0;270.0
29;Wijk 01 Eext;2018 juni;Aa en Hunze                             ;Wijk    ;WK168001  ;1.0;30.0;30.0;50.0;270.0;2.0;2.0;4.0;23.0;1210.0;940.0;270.0
30;Wijk 01 Eext;2018 september;Aa en Hunze                             ;Wijk    ;WK168001  ;1.0;20.0;20.0;40.0;280.0;2.0;2.0;4.0;23.0;1210.0;940.0;280.0
31;Wijk 01 Eext;2018 december;Aa en Hunze                             ;Wijk    ;WK168001  ;1.0;20.0;20.0;40.0;280.0;2.0;2.0;4.0;23.0;1220.0;940.0;280.0
32;Eext;2018 maart;Aa en Hunze                             ;Buurt   ;BU16800100;1.0;30.0;20.0;40.0;220.0;3.0;2.0;4.0;22.0;1040.0;820.0;220.0
33;Eext;2018 juni;Aa en Hunze                             ;Buurt   ;BU16800100;1.0;20.0;20.0;40.0;230.0;2.0;2.0;4.0;22.0;1050.0;820.0;230.0
34;Eext;2018 september;Aa en Hunze                             ;Buurt   ;BU16800100;1.0;20.0;20.0;30.0;230.0;2.0;2.0;3.0;22.0;1050.0;810.0;230.0
35;Eext;2018 december;Aa en Hunze                             ;Buurt   ;BU16800100;1.0;20.0;20.0;40.0;240.0;2.0;2.0;3.0;22.0;1060.0;820.0;240.0
36;Verspreide huizen Eext;2018 maart;Aa en Hunze                             ;Buurt   ;BU16800109;1.0;0.0;0.0;10.0;50.0;2.0;1.0;5.0;28.0;170.0;120.0;50.0
37;Verspreide huizen Eext;2018 juni;Aa en Hunze                             ;Buurt   ;BU16800109;1.0;0.0;0.0;10.0;50.0;2.0;1.0;5.0;29.0;170.0;120.0;50.0
38;Verspreide huizen Eext;2018 september;Aa en Hunze                             ;Buurt   ;BU16800109;1.0;0.0;0.0;10.0;40.0;1.0;1.0;5.0;27.0;170.0;120.0;40.0
39;Verspreide huizen Eext;2018 december;Aa en Hunze                             ;Buurt   ;BU16800109;1.0;0.0;0.0;10.0;50.0;1.0;1.0;5.0;28.0;160.0;120.0;50.0
40;Wijk 02 Anloo;2018 maart;Aa en Hunze                             ;Wijk    ;WK168002  ;1.0;10.0;10.0;20.0;120.0;1.0;4.0;5.0;30.0;390.0;280.0;120.0
