ID;Achtergrondkenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Belgie_3;Frankrijk_4;Spanje_5;Oostenrijk_6;GrootBrittannie_7;Duitsland_8;Italie_9;Griekenland_10;Turkije_11;OverigeLanden_12;TotaalSeizoenrecreatieveLogiesvormen_13;TotaalToeristischeLogiesvormen_14;WoningVanFamilieVriendenOfKennissen_15;WoningVanAndereParticulier_16;HotelMotel_17;Appartement_18;ZomerhuisjeVakantiebungalow_19;TentBungalowtent_20;CaravanVouwwagenCamper_21;OverigeToeristischeLogiesvormen_22;GeboektBijEenReisbureau_23;GeboektBijEenBankBoekingscentraleEd_24;RechtstreeksBijEenReisorganisatie_25;LogiesGereserveerd_26;LogiesNietVoorafGeboekt_27;Auto_28;TreinAutoslaaptrein_29;Touringcar_30;Vliegtuig_31;OverigeVervoermiddelen_32;TotaalGemUitgavenPerVakantieganger_33;MetEigenVervoer_34;MetOverigVervoer_35
0;Totaal achtergrondkenmerken;2000;11505.0;13.5;719.0;2226.0;1416.0;898.0;347.0;1258.0;608.0;582.0;374.0;3076.0;483.0;11022.0;;;3888.0;2220.0;1493.0;1128.0;1451.0;382.0;5059.0;;1200.0;;2075.0;6114.0;280.0;1039.0;3842.0;230.0;675.0;442.0;942.0
1;Totaal achtergrondkenmerken;2001;11786.0;13.4;751.0;2170.0;1610.0;995.0;;1233.0;648.0;570.0;521.0;;496.0;11289.0;;;4089.0;2183.0;1757.0;1002.0;1364.0;375.0;5046.0;;1423.0;;2064.0;6130.0;316.0;1135.0;3993.0;212.0;687.0;446.0;949.0
2;Totaal achtergrondkenmerken;2002;13173.0;13.0;965.0;2647.0;1641.0;1032.0;457.0;1507.0;765.0;561.0;613.0;2986.0;600.0;12573.0;1275.0;550.0;3590.0;1935.0;1733.0;1267.0;1517.0;707.0;5319.0;1408.0;874.0;;;7617.0;352.0;838.0;3926.0;440.0;673.0;471.0;950.0
3;Totaal achtergrondkenmerken;2003;13007.0;13.0;1040.0;2316.0;1600.0;1080.0;399.0;1488.0;715.0;526.0;707.0;3137.0;466.0;12541.0;1086.0;601.0;3903.0;2091.0;1610.0;1041.0;1448.0;760.0;5461.0;1599.0;962.0;2028.0;2957.0;7253.0;307.0;844.0;4290.0;312.0;694.0;476.0;960.0
4;Totaal achtergrondkenmerken;2004;13610.0;13.1;1053.0;2283.0;1477.0;1059.0;430.0;1664.0;697.0;518.0;819.0;3609.0;435.0;13175.0;1209.0;513.0;4484.0;1986.0;1641.0;1041.0;1511.0;790.0;5893.0;1290.0;1003.0;2560.0;2864.0;7443.0;351.0;732.0;4768.0;316.0;688.0;472.0;949.0
5;Totaal achtergrondkenmerken;2005;13795.0;12.9;984.0;2169.0;1574.0;995.0;387.0;1610.0;698.0;543.0;965.0;3870.0;454.0;13341.0;1219.0;626.0;4841.0;1886.0;1613.0;888.0;1596.0;672.0;6192.0;1129.0;981.0;2655.0;2839.0;7280.0;342.0;727.0;5111.0;335.0;694.0;474.0;940.0
6;Totaal achtergrondkenmerken;2006;13523.0;12.8;896.0;2192.0;1454.0;1122.0;366.0;1634.0;824.0;642.0;634.0;3753.0;562.0;12961.0;1112.0;611.0;4682.0;1893.0;1568.0;870.0;1542.0;682.0;5976.0;866.0;1026.0;2796.0;2860.0;7295.0;283.0;699.0;4937.0;310.0;719.0;480.0;1000.0
7;Totaal achtergrondkenmerken;2007;13894.0;13.0;924.0;2094.0;1513.0;1127.0;357.0;1738.0;884.0;731.0;640.0;3884.0;601.0;13293.0;1162.0;635.0;4847.0;1810.0;1640.0;933.0;1541.0;724.0;6301.0;1009.0;1111.0;2690.0;2782.0;7242.0;321.0;778.0;5257.0;295.0;743.0;488.0;1020.0
8;Totaal achtergrondkenmerken;2008;15094.0;13.0;968.0;2373.0;1732.0;1069.0;365.0;1878.0;947.0;729.0;759.0;4275.0;696.0;14398.0;1272.0;738.0;5389.0;1940.0;1743.0;853.0;1711.0;753.0;6778.0;1342.0;1236.0;3102.0;2637.0;7671.0;429.0;808.0;5899.0;286.0;781.0;511.0;1059.0
9;Totaal achtergrondkenmerken;2009;14592.0;12.9;889.0;2290.0;1456.0;1181.0;433.0;2060.0;919.0;625.0;670.0;4069.0;825.0;13767.0;1113.0;719.0;4908.0;2012.0;1691.0;820.0;1750.0;753.0;6268.0;1437.0;1298.0;3225.0;2363.0;7791.0;353.0;698.0;5436.0;315.0;783.0;511.0;1093.0
