ID;Nationality;CaribbeanNetherlands;Periods;InboundTourismByAir_1
0;Dutch (Total);Bonaire;2012;62
1;Dutch (Total);Bonaire;2013;59
2;Dutch (Total);Bonaire;2014;56
3;Dutch (Total);Bonaire;2015;55
4;Dutch (Total);Bonaire;2016;58
5;Dutch (Total);Bonaire;2017;57
6;Dutch (Total);Bonaire;2018;56
7;Dutch (Total);Bonaire;2019;57
8;Dutch (Total);Bonaire;2020;69
9;Dutch (Total);Bonaire;2021;71
10;Dutch (Total);Bonaire;2022;64
11;Dutch (Total);Bonaire;2023;64
12;Dutch (Total);St. Eustatius;2012;56
13;Dutch (Total);St. Eustatius;2013;56
14;Dutch (Total);St. Eustatius;2014;53
15;Dutch (Total);St. Eustatius;2015;52
16;Dutch (Total);St. Eustatius;2016;50
17;Dutch (Total);St. Eustatius;2017;48
18;Dutch (Total);St. Eustatius;2018;51
19;Dutch (Total);St. Eustatius;2019;53
20;Dutch (Total);St. Eustatius;2020;54
21;Dutch (Total);St. Eustatius;2021;63
22;Dutch (Total);St. Eustatius;2022;60
23;Dutch (Total);St. Eustatius;2023;58
24;Dutch (Total);Saba;2012;48
25;Dutch (Total);Saba;2013;43
26;Dutch (Total);Saba;2014;40
27;Dutch (Total);Saba;2015;41
28;Dutch (Total);Saba;2016;41
29;Dutch (Total);Saba;2017;45
30;Dutch (Total);Saba;2018;44
31;Dutch (Total);Saba;2019;46
32;Dutch (Total);Saba;2020;40
33;Dutch (Total);Saba;2021;47
34;Dutch (Total);Saba;2022;48
35;Dutch (Total);Saba;2023;48
36;Dutch (Europe);Bonaire;2012;29
37;Dutch (Europe);Bonaire;2013;29
38;Dutch (Europe);Bonaire;2014;30
39;Dutch (Europe);Bonaire;2015;29
40;Dutch (Europe);Bonaire;2016;32
41;Dutch (Europe);Bonaire;2017;34
42;Dutch (Europe);Bonaire;2018;35
43;Dutch (Europe);Bonaire;2019;35
44;Dutch (Europe);Bonaire;2020;45
45;Dutch (Europe);Bonaire;2021;55
46;Dutch (Europe);Bonaire;2022;54
47;Dutch (Europe);Bonaire;2023;47
48;Dutch (Europe);St. Eustatius;2012;21
