ID;Periods;VolumeChanges_1;VolumeIndexFigures_2
0;1995 January;;78.9
1;1995 February;;82.0
2;1995 March;;84.7
3;1995 1st quarter;;81.9
4;1995 April;;66.8
5;1995 May;;104.2
6;1995 June;;104.7
7;1995 2nd quarter;;91.9
8;1995 July;;70.4
9;1995 August;;65.0
10;1995 September;;112.8
11;1995 3rd quarter;;82.7
12;1995 October;;112.1
13;1995 November;;112.5
14;1995 December;;60.1
15;1995 4th quarter;;94.9
16;1995;;87.8
17;1996 January;-14.6;67.3
18;1996 February;-27.0;59.9
19;1996 March;-2.9;82.3
20;1996 1st quarter;-14.7;69.8
21;1996 April;16.3;77.7
22;1996 May;0.9;105.1
23;1996 June;-1.7;102.9
24;1996 2nd quarter;3.6;95.3
25;1996 July;1.7;71.6
26;1996 August;2.2;66.4
27;1996 September;-0.1;112.7
28;1996 3rd quarter;1.0;83.6
29;1996 October;4.1;116.7
30;1996 November;0.0;112.5
31;1996 December;10.4;66.3
32;1996 4th quarter;3.8;98.5
33;1996;-1.2;86.8
34;1997 January;5.0;70.7
35;1997 February;39.5;83.5
36;1997 March;4.6;86.0
37;1997 1st quarter;14.7;80.1
38;1997 April;5.2;81.7
39;1997 May;-5.3;99.6
40;1997 June;-1.0;101.9
41;1997 2nd quarter;-0.9;94.4
42;1997 July;-2.7;69.7
43;1997 August;-2.3;64.9
44;1997 September;-0.3;112.3
45;1997 3rd quarter;-1.5;82.3
46;1997 October;-1.6;114.8
47;1997 November;-1.2;111.1
48;1997 December;-0.4;66.0
49;1997 4th quarter;-1.2;97.3
50;1997;2.0;88.5
51;1998 January;25.4;88.6
52;1998 February;6.4;88.9
53;1998 March;9.4;94.1
54;1998 1st quarter;13.1;90.6
55;1998 April;0.9;82.5
56;1998 May;0.8;100.4
57;1998 June;-0.2;101.7
58;1998 2nd quarter;0.5;94.9
59;1998 July;5.2;73.4
60;1998 August;-1.5;63.9
61;1998 September;1.6;114.1
62;1998 3rd quarter;1.8;83.8
63;1998 October;-2.0;112.5
64;1998 November;0.7;111.9
65;1998 December;-0.9;65.5
66;1998 4th quarter;-0.7;96.6
67;1998;3.3;91.4
68;1999 January;4.6;92.7
69;1999 February;0.9;89.7
70;1999 March;6.4;100.2
71;1999 1st quarter;4.0;94.2
72;1999 April;3.1;85.0
73;1999 May;3.6;104.0
74;1999 June;10.4;112.3
75;1999 2nd quarter;5.9;100.4
76;1999 July;6.7;78.3
77;1999 August;-1.9;62.6
78;1999 September;5.1;119.9
79;1999 3rd quarter;3.8;87.0
80;1999 October;2.8;115.7
81;1999 November;9.4;122.4
82;1999 December;18.1;77.3
83;1999 4th quarter;8.8;105.1
84;1999;5.7;96.7
85;2000 January;-3.2;89.7
86;2000 February;20.2;107.9
87;2000 March;5.2;105.4
88;2000 1st quarter;7.2;101.0
89;2000 April;3.7;88.2
90;2000 May;14.4;119.0
91;2000 June;-1.6;110.5
92;2000 2nd quarter;5.4;105.9
93;2000 July;-5.7;73.8
94;2000 August;12.2;70.3
95;2000 September;-1.5;118.1
96;2000 3rd quarter;0.5;87.4
97;2000 October;2.4;118.4
98;2000 November;0.5;123.0
99;2000 December;-1.8;75.9
100;2000 4th quarter;0.6;105.8
101;2000;3.5;100.0
102;2001 January;4.3;93.6
