ID;BedrijfstakkenBranchesSBI2008;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2017_2;Waardemutatie_3;Volumemutatie_4
0;A-U Alle economische activiteiten;2017;446.0;446.0;;
1;A-U Alle economische activiteiten;2018;469.0;464.0;5.1;3.9
2;A-U Alle economische activiteiten;2019;516.0;494.0;10.0;6.4
3;A-U Alle economische activiteiten;2020;487.0;449.0;-5.6;-8.5
4;A-U Alle economische activiteiten;2021;563.0;503.0;15.5;11.7
5;A-U Alle economische activiteiten;2022;640.0;545.0;13.6;8.8
6;A Landbouw, bosbouw en visserij;2017;;;;
7;A Landbouw, bosbouw en visserij;2018;;;;
8;A Landbouw, bosbouw en visserij;2019;;;;
9;A Landbouw, bosbouw en visserij;2020;;;;
10;A Landbouw, bosbouw en visserij;2021;;;;
11;A Landbouw, bosbouw en visserij;2022;;;;
12;B Delfstoffenwinning;2017;;;;
13;B Delfstoffenwinning;2018;;;;
14;B Delfstoffenwinning;2019;;;;
15;B Delfstoffenwinning;2020;;;;
16;B Delfstoffenwinning;2021;;;;
17;B Delfstoffenwinning;2022;;;;
18;C Industrie;2017;9.0;9.0;;
19;C Industrie;2018;10.0;10.0;6.4;7.0
20;C Industrie;2019;10.0;10.0;1.7;-2.3
21;C Industrie;2020;10.0;9.0;-1.1;-9.0
22;C Industrie;2021;12.0;10.0;21.1;15.6
23;C Industrie;2022;13.0;10.0;12.1;2.6
24;D-E Energie, water, afvalbeheer;2017;15.0;15.0;;
25;D-E Energie, water, afvalbeheer;2018;20.0;14.0;33.5;-4.9
26;D-E Energie, water, afvalbeheer;2019;26.0;16.0;31.4;10.8
27;D-E Energie, water, afvalbeheer;2020;23.0;15.0;-11.8;-3.2
28;D-E Energie, water, afvalbeheer;2021;24.0;17.0;1.3;9.8
29;D-E Energie, water, afvalbeheer;2022;33.0;17.0;38.5;3.2
30;F Bouwnijverheid;2017;24.0;24.0;;
31;F Bouwnijverheid;2018;27.0;27.0;13.4;13.0
32;F Bouwnijverheid;2019;37.0;34.0;35.6;23.3
33;F Bouwnijverheid;2020;44.0;37.0;17.6;8.5
34;F Bouwnijverheid;2021;47.0;40.0;6.7;10.2
35;F Bouwnijverheid;2022;52.0;37.0;12.0;-6.9
36;G Handel;2017;55.0;55.0;;
37;G Handel;2018;57.0;57.0;3.0;3.7
38;G Handel;2019;65.0;63.0;14.5;10.1
39;G Handel;2020;63.0;60.0;-3.3;-5.5
40;G Handel;2021;73.0;71.0;16.3;19.0
41;G Handel;2022;88.0;75.0;19.5;5.8
42;H+J Vervoer, informatie en communicatie;2017;46.0;46.0;;
