ID;Perioden;TotaalIngeschrevenUWVWerkbedrijf_1;GeregistreerdeWerklozen_2;WerkzameBeroepsbevolking_3;NietBeschikbaarVoorDeArbeidsmarkt_4;TotaalIngeschrevenUWVWerkbedrijf_5;GeregistreerdeWerklozen_6;WerkzameBeroepsbevolking_7;NietBeschikbaarVoorDeArbeidsmarkt_8
0;1988 1e kwartaal;885;493;252;140;100;56;28;16
1;1988 2e kwartaal;864;428;291;145;100;50;34;17
2;1988 3e kwartaal;891;450;290;152;100;51;33;17
3;1988 4e kwartaal;874;443;274;157;100;51;31;18
4;1988;879;454;277;149;100;52;32;17
5;1989 1e kwartaal;877;432;269;176;100;49;31;20
6;1989 2e kwartaal;848;395;286;166;100;47;34;20
7;1989 3e kwartaal;863;417;294;152;100;48;34;18
8;1989 4e kwartaal;836;383;290;162;100;46;35;19
9;1989;856;407;285;164;100;48;33;19
10;1990 1e kwartaal;825;377;288;159;100;46;35;19
11;1990 2e kwartaal;786;351;263;172;100;45;33;22
12;1990 3e kwartaal;789;355;261;173;100;45;33;22
13;1990 4e kwartaal;786;349;273;164;100;44;35;21
14;1990;797;358;271;167;100;45;34;21
15;1991 1e kwartaal;791;360;269;161;100;46;34;20
16;1991 2e kwartaal;759;323;264;172;100;43;35;23
17;1991 3e kwartaal;787;332;277;178;100;42;35;23
18;1991 4e kwartaal;780;323;291;166;100;41;37;21
19;1991;779;335;275;169;100;43;35;22
20;1992 1e kwartaal;797;329;279;189;100;41;35;24
21;1992 2e kwartaal;784;323;271;190;100;41;35;24
22;1992 3e kwartaal;818;341;295;182;100;42;36;22
23;1992 4e kwartaal;844;353;291;200;100;42;34;24
24;1992;811;337;284;190;100;42;35;23
25;1993 1e kwartaal;900;391;306;203;100;43;34;23
26;1993 2e kwartaal;911;394;313;203;100;43;34;22
27;1993 3e kwartaal;963;421;347;195;100;44;36;20
28;1993 4e kwartaal;1007;453;350;204;100;45;35;20
29;1993;945;415;329;201;100;44;35;21
30;1994 1e kwartaal;1062;520;355;188;100;49;33;18
31;1994 2e kwartaal;1044;461;374;209;100;44;36;20
32;1994 3e kwartaal;1061;484;371;206;100;46;35;19
33;1994 4e kwartaal;1069;480;383;207;100;45;36;19
34;1994;1059;486;371;203;100;46;35;19
35;1995 1e kwartaal;1087;497;384;206;100;46;35;19
36;1995 2e kwartaal;1057;446;402;208;100;42;38;20
37;1995 3e kwartaal;1058;453;406;199;100;43;38;19
38;1995 4e kwartaal;1060;459;400;202;100;43;38;19
39;1995;1066;464;398;204;100;44;37;19
40;1996 1e kwartaal;1077;469;405;202;100;44;38;19
41;1996 2e kwartaal;1051;418;411;222;100;40;39;21
42;1996 3e kwartaal;1058;441;392;226;100;42;37;21
43;1996 4e kwartaal;1069;432;411;225;100;40;38;21
44;1996;1064;440;405;219;100;41;38;21
45;1997 1e kwartaal;1077;415;422;240;100;39;39;22
46;1997 2e kwartaal;1021;376;411;234;100;37;40;23
47;1997 3e kwartaal;996;372;388;236;100;37;39;24
48;1997 4e kwartaal;977;336;398;243;100;34;41;25
49;1997;1018;375;405;238;100;37;40;23
50;1998 1e kwartaal;971;346;382;242;100;36;39;25
51;1998 2e kwartaal;905;270;379;256;100;30;42;28
52;1998 3e kwartaal;864;271;343;250;100;31;40;29
53;1998 4e kwartaal;853;260;346;248;100;30;41;29
54;1998;898;287;363;249;100;32;40;28
55;1999 1e kwartaal;843;265;323;255;100;31;38;30
56;1999 2e kwartaal;779;216;332;231;100;28;43;30
