ID;Wegvoertuigen;BrandstofsoortVoertuig;Perioden;TotaalVerkochteWegvoertuigen_1;NieuwVerkochteWegvoertuigen_2;TweedehandsVerkochteWegvoertuigen_3
0;Totaal wegvoertuigen;Totaal;2007 januari;363278;85005;278273
1;Totaal wegvoertuigen;Totaal;2007 februari;315749;53705;262044
2;Totaal wegvoertuigen;Totaal;2007 maart;359760;68577;291183
3;Totaal wegvoertuigen;Totaal;2007 1e kwartaal;1038787;207287;831500
4;Totaal wegvoertuigen;Totaal;2007 april;309028;55319;253709
5;Totaal wegvoertuigen;Totaal;2007 mei;330863;59825;271038
6;Totaal wegvoertuigen;Totaal;2007 juni;379197;71948;307249
7;Totaal wegvoertuigen;Totaal;2007 2e kwartaal;1019088;187092;831996
8;Totaal wegvoertuigen;Totaal;2007 juli;338428;55768;282660
9;Totaal wegvoertuigen;Totaal;2007 augustus;328374;58973;269401
10;Totaal wegvoertuigen;Totaal;2007 september;309146;56583;252563
11;Totaal wegvoertuigen;Totaal;2007 3e kwartaal;975948;171324;804624
12;Totaal wegvoertuigen;Totaal;2007 oktober;332864;58525;274339
13;Totaal wegvoertuigen;Totaal;2007 november;331462;52637;278825
14;Totaal wegvoertuigen;Totaal;2007 december;247949;15305;232644
15;Totaal wegvoertuigen;Totaal;2007 4e kwartaal;912275;126467;785808
16;Totaal wegvoertuigen;Totaal;2007;3946098;692170;3253928
17;Totaal wegvoertuigen;Totaal;2008 januari;380565;87087;293478
18;Totaal wegvoertuigen;Totaal;2008 februari;358850;67943;290907
19;Totaal wegvoertuigen;Totaal;2008 maart;357832;67098;290734
20;Totaal wegvoertuigen;Totaal;2008 1e kwartaal;1097247;222128;875119
21;Totaal wegvoertuigen;Totaal;2008 april;362766;60364;302402
22;Totaal wegvoertuigen;Totaal;2008 mei;360618;66925;293693
23;Totaal wegvoertuigen;Totaal;2008 juni;365089;70737;294352
24;Totaal wegvoertuigen;Totaal;2008 2e kwartaal;1088473;198026;890447
25;Totaal wegvoertuigen;Totaal;2008 juli;346345;60256;286089
26;Totaal wegvoertuigen;Totaal;2008 augustus;326432;58561;267871
27;Totaal wegvoertuigen;Totaal;2008 september;345929;60753;285176
28;Totaal wegvoertuigen;Totaal;2008 3e kwartaal;1018706;179570;839136
29;Totaal wegvoertuigen;Totaal;2008 oktober;357607;59715;297892
30;Totaal wegvoertuigen;Totaal;2008 november;297444;42787;254657
31;Totaal wegvoertuigen;Totaal;2008 december;255439;14348;241091
32;Totaal wegvoertuigen;Totaal;2008 4e kwartaal;910490;116850;793640
33;Totaal wegvoertuigen;Totaal;2008;4114916;716574;3398342
34;Totaal wegvoertuigen;Totaal;2009 januari;349460;74116;275344
35;Totaal wegvoertuigen;Totaal;2009 februari;306137;46548;259589
36;Totaal wegvoertuigen;Totaal;2009 maart;346014;50409;295605
37;Totaal wegvoertuigen;Totaal;2009 1e kwartaal;1001611;171073;830538
38;Totaal wegvoertuigen;Totaal;2009 april;328050;46510;281540
39;Totaal wegvoertuigen;Totaal;2009 mei;338008;46654;291354
40;Totaal wegvoertuigen;Totaal;2009 juni;360826;52852;307974
41;Totaal wegvoertuigen;Totaal;2009 2e kwartaal;1026884;146016;880868
42;Totaal wegvoertuigen;Totaal;2009 juli;346783;50994;295789
43;Totaal wegvoertuigen;Totaal;2009 augustus;299139;43355;255784
44;Totaal wegvoertuigen;Totaal;2009 september;326941;50581;276360
45;Totaal wegvoertuigen;Totaal;2009 3e kwartaal;972863;144930;827933
46;Totaal wegvoertuigen;Totaal;2009 oktober;337987;49073;288914
47;Totaal wegvoertuigen;Totaal;2009 november;292391;37922;254469
48;Totaal wegvoertuigen;Totaal;2009 december;251457;14516;236941
49;Totaal wegvoertuigen;Totaal;2009 4e kwartaal;881835;101511;780324
50;Totaal wegvoertuigen;Totaal;2009;3883193;563530;3319663
51;Totaal wegvoertuigen;Totaal;2010 januari;330679;75636;255043
52;Totaal wegvoertuigen;Totaal;2010 februari;306768;48166;258602
53;Totaal wegvoertuigen;Totaal;2010 maart;375425;61358;314067
54;Totaal wegvoertuigen;Totaal;2010 1e kwartaal;1012872;185160;827712
55;Totaal wegvoertuigen;Totaal;2010 april;350745;53687;297058
56;Totaal wegvoertuigen;Totaal;2010 mei;329567;51908;277659
57;Totaal wegvoertuigen;Totaal;2010 juni;375464;70535;304929
58;Totaal wegvoertuigen;Totaal;2010 2e kwartaal;1055776;176130;879646
59;Totaal wegvoertuigen;Totaal;2010 juli;343544;58947;284597
60;Totaal wegvoertuigen;Totaal;2010 augustus;326124;51095;275029
61;Totaal wegvoertuigen;Totaal;2010 september;355633;59564;296069
62;Totaal wegvoertuigen;Totaal;2010 3e kwartaal;1025301;169606;855695
63;Totaal wegvoertuigen;Totaal;2010 oktober;358844;56346;302498
64;Totaal wegvoertuigen;Totaal;2010 november;325328;47326;278002
65;Totaal wegvoertuigen;Totaal;2010 december;269277;16049;253228
66;Totaal wegvoertuigen;Totaal;2010 4e kwartaal;953449;119721;833728
67;Totaal wegvoertuigen;Totaal;2010;4047398;650617;3396781
68;Totaal wegvoertuigen;Totaal;2011 januari;368826;88730;280096
69;Totaal wegvoertuigen;Totaal;2011 februari;347487;60526;286961
70;Totaal wegvoertuigen;Totaal;2011 maart;388701;72975;315726
71;Totaal wegvoertuigen;Totaal;2011 1e kwartaal;1105014;222231;882783
72;Totaal wegvoertuigen;Totaal;2011 april;363441;65426;298015
73;Totaal wegvoertuigen;Totaal;2011 mei;378956;68745;310211
74;Totaal wegvoertuigen;Totaal;2011 juni;370248;68143;302105
75;Totaal wegvoertuigen;Totaal;2011 2e kwartaal;1112645;202314;910331
76;Totaal wegvoertuigen;Totaal;2011 juli;353185;57221;295964
77;Totaal wegvoertuigen;Totaal;2011 augustus;336892;52295;284597
78;Totaal wegvoertuigen;Totaal;2011 september;343712;57753;285959
79;Totaal wegvoertuigen;Totaal;2011 3e kwartaal;1033789;167269;866520
80;Totaal wegvoertuigen;Totaal;2011 oktober;339501;55933;283568
81;Totaal wegvoertuigen;Totaal;2011 november;329405;51966;277439
82;Totaal wegvoertuigen;Totaal;2011 december;282247;22745;259502
83;Totaal wegvoertuigen;Totaal;2011 4e kwartaal;951153;130644;820509
84;Totaal wegvoertuigen;Totaal;2011;4202601;722458;3480143
85;Totaal wegvoertuigen;Totaal;2012 januari;374083;84767;289316
86;Totaal wegvoertuigen;Totaal;2012 februari;323151;54001;269150
87;Totaal wegvoertuigen;Totaal;2012 maart;381098;68768;312330
88;Totaal wegvoertuigen;Totaal;2012 1e kwartaal;1078332;207536;870796
89;Totaal wegvoertuigen;Totaal;2012 april;332906;54283;278623
90;Totaal wegvoertuigen;Totaal;2012 mei;351404;61700;289704
91;Totaal wegvoertuigen;Totaal;2012 juni;406649;92465;314184
92;Totaal wegvoertuigen;Totaal;2012 2e kwartaal;1090959;208448;882511
93;Totaal wegvoertuigen;Totaal;2012 juli;354452;44065;310387
94;Totaal wegvoertuigen;Totaal;2012 augustus;327727;47504;280223
95;Totaal wegvoertuigen;Totaal;2012 september;315704;44146;271558
96;Totaal wegvoertuigen;Totaal;2012 3e kwartaal;997883;135715;862168
97;Totaal wegvoertuigen;Totaal;2012 oktober;321117;37070;284047
98;Totaal wegvoertuigen;Totaal;2012 november;301110;39083;262027
99;Totaal wegvoertuigen;Totaal;2012 december;249014;23705;225309
100;Totaal wegvoertuigen;Totaal;2012 4e kwartaal;871241;99858;771383
101;Totaal wegvoertuigen;Totaal;2012;4038415;651557;3386858
102;Totaal wegvoertuigen;Totaal;2013 januari;333449;59221;274228
103;Totaal wegvoertuigen;Totaal;2013 februari;304278;40511;263767
104;Totaal wegvoertuigen;Totaal;2013 maart;339966;47965;292001
105;Totaal wegvoertuigen;Totaal;2013 1e kwartaal;977693;147697;829996
106;Totaal wegvoertuigen;Totaal;2013 april;319194;42340;276854
107;Totaal wegvoertuigen;Totaal;2013 mei;333413;42804;290609
108;Totaal wegvoertuigen;Totaal;2013 juni;337609;48599;289010
109;Totaal wegvoertuigen;Totaal;2013 2e kwartaal;990216;133743;856473
110;Totaal wegvoertuigen;Totaal;2013 juli;328554;44060;284494
111;Totaal wegvoertuigen;Totaal;2013 augustus;307971;41096;266875
112;Totaal wegvoertuigen;Totaal;2013 september;298398;41795;256603
113;Totaal wegvoertuigen;Totaal;2013 3e kwartaal;934923;126951;807972
114;Totaal wegvoertuigen;Totaal;2013 oktober;322463;46296;276167
115;Totaal wegvoertuigen;Totaal;2013 november;316392;49157;267235
116;Totaal wegvoertuigen;Totaal;2013 december;300770;47070;253700
117;Totaal wegvoertuigen;Totaal;2013 4e kwartaal;939625;142523;797102
118;Totaal wegvoertuigen;Totaal;2013;3842457;550914;3291543
119;Totaal wegvoertuigen;Totaal;2014 januari;348318;55032;293286
120;Totaal wegvoertuigen;Totaal;2014 februari;304173;42306;261867
121;Totaal wegvoertuigen;Totaal;2014 maart;319813;42162;277651
122;Totaal wegvoertuigen;Totaal;2014 1e kwartaal;972304;139500;832804
123;Totaal wegvoertuigen;Totaal;2014 april;313097;41020;272077
124;Totaal wegvoertuigen;Totaal;2014 mei;336315;44558;291757
125;Totaal wegvoertuigen;Totaal;2014 juni;317232;46872;270360
126;Totaal wegvoertuigen;Totaal;2014 2e kwartaal;966644;132450;834194
127;Totaal wegvoertuigen;Totaal;2014 juli;325803;43066;282737
128;Totaal wegvoertuigen;Totaal;2014 augustus;294142;37061;257081
129;Totaal wegvoertuigen;Totaal;2014 september;310714;41611;269103
130;Totaal wegvoertuigen;Totaal;2014 3e kwartaal;930659;121738;808921
131;Totaal wegvoertuigen;Totaal;2014 oktober;329828;46192;283636
132;Totaal wegvoertuigen;Totaal;2014 november;296401;41556;254845
