ID;Geslacht;Leeftijd;Onderwijssoort;Migratieachtergrond;RegioS;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2000/'01;
1;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2001/'02;
2;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2002/'03;
3;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2003/'04;151631.0
4;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2004/'05;150813.0
5;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2005/'06;168309.0
6;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2006/'07;171358.0
7;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2007/'08;173150.0
8;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2008/'09;171217.0
9;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2009/'10;168389.0
10;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2010/'11;166582.0
11;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2011/'12;165473.0
12;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2012/'13;169302.0
13;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2013/'14;172708.0
14;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2014/'15;178907.0
15;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2015/'16;183645.0
16;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2016/'17;184744.0
