ID;Geslacht;Leeftijd;AOWetten;Perioden;TotaalInstroom_1;Werknemers_2;Overheidspersoneel_3;Zelfstandigen_4;Jonggehandicapten_5;OverigeInstromers_6;TotaalUitstroom_7;RedenHerstel_8;Bereiken65JarigeLeeftijd_9;OverigeUitstromers_10
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 januari;5910;2810;20;10;1680;1400;5120;660;2380;2090
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 februari;4760;2320;30;10;1300;1100;5240;700;2530;2010
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 maart;4240;2150;30;10;950;1110;5200;640;2600;1960
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 april;4830;2350;30;10;770;1680;6520;630;2580;3310
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 mei;4320;1920;10;10;510;1870;4600;540;2170;1890
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 juni;4380;1870;20;10;440;2050;4840;550;2540;1750
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 juli;5300;2330;20;10;420;2520;4800;570;2140;2080
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 augustus;4090;1940;20;10;340;1780;4080;470;2030;1580
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 september;4320;2100;20;10;280;1910;3810;500;1780;1530
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 oktober;5760;2690;10;10;1540;1510;3970;570;1780;1620
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 november;5000;2140;10;10;1540;1300;4520;580;1760;2190
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010 december;4950;2120;10;10;1640;1180;4030;520;2080;1430
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2010;57860;26730;220;110;11380;19420;56740;6940;26370;23430
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 januari;5500;2570;30;10;1460;1420;5240;640;2400;2200
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 februari;4910;2340;20;10;1290;1260;5180;480;2950;1750
