ID;RegioS;Perioden;UitgavenTotaal_1;DoorBedrijven_2;DoorHogerOnderwijsinstellingen_3;DoorResearchinstellingen_4;ArbeidsjarenTotaal_5;BijBedrijven_6;BijHogerOnderwijsinstellingen_7;BijResearchinstellingen_8
0;Nederland;1996;6344.0;3342.0;1816.0;1186.0;80823.0;39499.0;24398.0;16924.0
1;Nederland;1997;6807.0;3715.0;1860.0;1232.0;83967.0;42409.0;24410.0;17148.0
2;Nederland;1998;6868.0;3721.0;1865.0;1284.0;85485.0;43872.0;24165.0;17448.0
3;Nederland;1999;7646.0;4263.0;2245.0;1138.0;89671.0;45181.0;29588.0;14900.0
4;Nederland;2000;8089.0;4457.0;2583.0;1049.0;91313.0;47509.0;30078.0;13726.0
5;Nederland;2001;8655.0;4712.0;2764.0;1179.0;92906.0;48368.0;30685.0;13853.0
6;Noord-Nederland (LD);1996;;157.0;;;;2149.0;;
7;Noord-Nederland (LD);1997;385.0;192.0;;;5342.0;2755.0;;
8;Noord-Nederland (LD);1998;385.0;182.0;;;4787.0;2224.0;;
9;Noord-Nederland (LD);1999;433.0;209.0;;;5158.0;2270.0;;
10;Noord-Nederland (LD);2000;;195.0;;;;2586.0;;
11;Noord-Nederland (LD);2001;506.0;217.0;;;6109.0;2889.0;;
12;Oost-Nederland (LD);1996;;532.0;;;;6572.0;;
13;Oost-Nederland (LD);1997;1229.0;585.0;;;16152.0;7235.0;;
14;Oost-Nederland (LD);1998;1283.0;628.0;;;16552.0;7732.0;;
15;Oost-Nederland (LD);1999;1435.0;753.0;;;17589.0;8128.0;;
16;Oost-Nederland (LD);2000;;647.0;;;;8176.0;;
17;Oost-Nederland (LD);2001;1638.0;752.0;;;19226.0;9163.0;;
18;West-Nederland (LD);1996;;1277.0;;;;16044.0;;
19;West-Nederland (LD);1997;3464.0;1451.0;;;43189.0;16487.0;;
20;West-Nederland (LD);1998;3490.0;1424.0;;;44570.0;17690.0;;
21;West-Nederland (LD);1999;3742.0;1551.0;;;46297.0;17611.0;;
22;West-Nederland (LD);2000;;1593.0;;;;17644.0;;
23;West-Nederland (LD);2001;3970.0;1600.0;;;44974.0;17733.0;;
24;Zuid-Nederland (LD);1996;;1375.0;;;;14734.0;;
25;Zuid-Nederland (LD);1997;1729.0;1486.0;;;19285.0;15932.0;;
26;Zuid-Nederland (LD);1998;1711.0;1485.0;;;19597.0;16245.0;;
27;Zuid-Nederland (LD);1999;2038.0;1751.0;;;20627.0;17171.0;;
28;Zuid-Nederland (LD);2000;;2023.0;;;;19104.0;;
29;Zuid-Nederland (LD);2001;2540.0;2142.0;;;22598.0;18583.0;;
30;Groningen (PV);1996;;74.0;;;;835.0;;
31;Groningen (PV);1997;279.0;91.0;;;3609.0;1101.0;;
32;Groningen (PV);1998;275.0;77.0;;;3404.0;921.0;;
33;Groningen (PV);1999;308.0;;;;3714.0;;;
34;Groningen (PV);2000;;;;;;;;
35;Groningen (PV);2001;343.0;68.0;;;4079.0;1040.0;;
36;Friesland (PV);1996;;42.0;;;;797.0;;
37;Friesland (PV);1997;56.0;;;;1015.0;947.0;;
38;Friesland (PV);1998;67.0;;;;858.0;;;
39;Friesland (PV);1999;71.0;64.0;;;863.0;755.0;;
40;Friesland (PV);2000;;89.0;;;;1162.0;;
41;Friesland (PV);2001;97.0;90.0;;;1160.0;1070.0;;
42;Drenthe (PV);1996;;42.0;;;;516.0;;
43;Drenthe (PV);1997;49.0;;;;719.0;707.0;;
44;Drenthe (PV);1998;44.0;;;;525.0;;;
45;Drenthe (PV);1999;54.0;;;;582.0;;;
46;Drenthe (PV);2000;;;;;;;;
47;Drenthe (PV);2001;66.0;60.0;;;870.0;779.0;;
48;Overijssel (PV);1996;;170.0;;;;2387.0;;
49;Overijssel (PV);1997;281.0;183.0;;;3973.0;2657.0;;
50;Overijssel (PV);1998;291.0;193.0;;;4241.0;2940.0;;
51;Overijssel (PV);1999;370.0;273.0;;;4790.0;3314.0;;
52;Overijssel (PV);2000;;244.0;;;;3377.0;;
53;Overijssel (PV);2001;449.0;286.0;;;5805.0;4056.0;;
54;Flevoland (PV);1996;;14.0;;;;237.0;;
55;Flevoland (PV);1997;118.0;19.0;;;1579.0;333.0;;
56;Flevoland (PV);1998;117.0;17.0;;;1519.0;263.0;;
57;Flevoland (PV);1999;102.0;15.0;;;1367.0;242.0;;
58;Flevoland (PV);2000;;25.0;;;;392.0;;
59;Flevoland (PV);2001;124.0;31.0;;;1561.0;423.0;;
60;Gelderland (PV);1996;;349.0;;;;3948.0;;
61;Gelderland (PV);1997;830.0;383.0;;;10600.0;4245.0;;
62;Gelderland (PV);1998;874.0;418.0;;;10791.0;4529.0;;
63;Gelderland (PV);1999;964.0;465.0;;;11433.0;4572.0;;
64;Gelderland (PV);2000;;378.0;;;;4407.0;;
65;Gelderland (PV);2001;1066.0;435.0;;;11861.0;4684.0;;
66;Utrecht (PV);1996;;261.0;;;;3375.0;;
67;Utrecht (PV);1997;724.0;321.0;;;9215.0;3516.0;;
68;Utrecht (PV);1998;609.0;198.0;;;9169.0;3395.0;;
69;Utrecht (PV);1999;732.0;277.0;;;10477.0;3515.0;;
70;Utrecht (PV);2000;;176.0;;;;2216.0;;
71;Utrecht (PV);2001;710.0;171.0;;;7934.0;1915.0;;
72;Noord-Holland (PV);1996;;453.0;;;;5936.0;;
73;Noord-Holland (PV);1997;1078.0;502.0;;;13652.0;6333.0;;
74;Noord-Holland (PV);1998;1119.0;523.0;;;14062.0;6520.0;;
75;Noord-Holland (PV);1999;1318.0;600.0;;;16294.0;7053.0;;
76;Noord-Holland (PV);2000;;771.0;;;;7775.0;;
77;Noord-Holland (PV);2001;1493.0;725.0;;;16957.0;7679.0;;
78;Zuid-Holland (PV);1996;;550.0;;;;6545.0;;
79;Zuid-Holland (PV);1997;1638.0;611.0;;;20009.0;6444.0;;
80;Zuid-Holland (PV);1998;1710.0;658.0;;;20818.0;7377.0;;
81;Zuid-Holland (PV);1999;1635.0;624.0;;;18915.0;6544.0;;
82;Zuid-Holland (PV);2000;;645.0;;;;7654.0;;
83;Zuid-Holland (PV);2001;1690.0;635.0;;;19201.0;7322.0;;
84;Zeeland (PV);1996;;13.0;;;;188.0;;
85;Zeeland (PV);1997;24.0;17.0;;;312.0;193.0;;
86;Zeeland (PV);1998;51.0;45.0;;;521.0;398.0;;
87;Zeeland (PV);1999;57.0;50.0;;;612.0;500.0;;
88;Zeeland (PV);2000;;;;;;;;
89;Zeeland (PV);2001;76.0;69.0;;;882.0;817.0;;
90;Noord-Brabant (PV);1996;;1046.0;;;;10615.0;;
91;Noord-Brabant (PV);1997;1244.0;1082.0;;;13342.0;11403.0;;
92;Noord-Brabant (PV);1998;1231.0;1097.0;;;13789.0;11908.0;;
93;Noord-Brabant (PV);1999;1452.0;1307.0;;;14740.0;12828.0;;
94;Noord-Brabant (PV);2000;;1610.0;;;;14519.0;;
95;Noord-Brabant (PV);2001;2002.0;1769.0;;;16179.0;13958.0;;
96;Limburg (PV);1996;;329.0;;;;4119.0;;
97;Limburg (PV);1997;485.0;404.0;;;5943.0;4529.0;;
98;Limburg (PV);1998;480.0;388.0;;;5808.0;4337.0;;
99;Limburg (PV);1999;586.0;444.0;;;5886.0;4343.0;;
100;Limburg (PV);2000;;413.0;;;;4585.0;;
101;Limburg (PV);2001;538.0;373.0;;;6420.0;4626.0;;
