ID;Persoonskenmerken;Land;Perioden;AndereMensen_1;Rechtssysteem_2;Politie_3;Politici_4;Parlement_5;PolitiekePartijen_6;EuropeesParlement_7;VerenigdeNaties_8;AndereMensen_9;Rechtssysteem_10;Politie_11;Politici_12;Parlement_13;PolitiekePartijen_14;EuropeesParlement_15;VerenigdeNaties_16
0;Totaal personen;België;2002;4.8;4.4;5.6;4.3;5.0;;4.9;5.1;40.0;36.0;57.0;31.0;43.0;;42.0;48.0
1;Totaal personen;België;2004;4.8;4.8;5.8;4.2;4.7;4.3;5.0;5.1;40.0;42.0;59.0;30.0;37.0;31.0;42.0;46.0
2;Totaal personen;België;2006;5.0;4.9;5.9;4.4;5.0;4.4;5.1;5.3;42.0;43.0;63.0;30.0;42.0;32.0;47.0;50.0
3;Totaal personen;België;2008;5.1;4.9;6.0;4.0;4.6;4.0;5.1;5.3;46.0;43.0;63.0;26.0;34.0;24.0;46.0;51.0
4;Totaal personen;België;2010;5.0;4.9;6.0;3.9;4.5;3.9;5.0;5.3;43.0;43.0;64.0;24.0;34.0;23.0;45.0;48.0
5;Totaal personen;België;2012;5.1;4.9;6.1;4.3;5.0;4.2;5.1;5.5;46.0;44.0;66.0;31.0;44.0;30.0;47.0;53.0
6;Totaal personen;België;2014;5.0;5.0;6.0;4.1;4.8;4.1;4.8;5.2;43.0;47.0;66.0;29.0;43.0;28.0;42.0;47.0
7;Totaal personen;België;2016;5.2;5.3;6.4;4.1;4.8;4.0;4.6;5.3;48.0;52.0;73.0;28.0;42.0;27.0;39.0;50.0
8;Totaal personen;België;2018;5.1;5.3;6.5;4.2;4.8;4.2;4.9;5.3;44.0;52.0;75.0;29.0;39.0;28.0;42.0;49.0
9;Totaal personen;België;2020;5.4;5.4;6.3;4.0;4.7;3.9;4.8;5.3;52.0;52.0;71.0;28.0;41.0;26.0;44.0;49.0
10;Totaal personen;Bulgarije;2002;;;;;;;;;;;;;;;;
11;Totaal personen;Bulgarije;2004;;;;;;;;;;;;;;;;
12;Totaal personen;Bulgarije;2006;;;;;;;;;;;;;;;;
13;Totaal personen;Bulgarije;2008;3.5;2.3;3.3;1.6;1.9;1.7;4.6;4.8;19.0;11.0;20.0;5.0;7.0;5.0;36.0;38.0
14;Totaal personen;Bulgarije;2010;3.5;2.5;3.9;2.0;2.4;2.0;4.8;4.9;20.0;11.0;25.0;7.0;9.0;6.0;40.0;40.0
15;Totaal personen;Bulgarije;2012;3.4;2.3;3.6;1.8;2.1;1.8;4.3;4.6;18.0;10.0;23.0;4.0;7.0;4.0;32.0;39.0
16;Totaal personen;Bulgarije;2014;;;;;;;;;;;;;;;;
17;Totaal personen;Bulgarije;2016;;;;;;;;;;;;;;;;
18;Totaal personen;Bulgarije;2018;3.5;3.0;3.8;2.1;2.5;2.1;3.3;3.3;18.0;14.0;24.0;6.0;7.0;7.0;21.0;22.0
19;Totaal personen;Bulgarije;2020;3.6;2.9;4.6;2.0;2.3;2.1;4.2;4.4;21.0;16.0;39.0;7.0;8.0;6.0;31.0;33.0
20;Totaal personen;Cyprus;2002;;;;;;;;;;;;;;;;
21;Totaal personen;Cyprus;2004;;;;;;;;;;;;;;;;
22;Totaal personen;Cyprus;2006;;;;;;;;;;;;;;;;
23;Totaal personen;Cyprus;2008;4.5;6.4;5.9;4.5;5.6;4.4;6.0;4.8;34.0;64.0;57.0;33.0;51.0;29.0;60.0;37.0
24;Totaal personen;Cyprus;2010;3.8;5.6;5.5;3.6;4.6;3.5;5.0;4.4;23.0;53.0;51.0;19.0;33.0;18.0;43.0;32.0
25;Totaal personen;Cyprus;2012;3.6;4.7;4.9;2.5;3.4;2.4;4.3;3.7;21.0;40.0;44.0;9.0;18.0;9.0;32.0;27.0
