ID;BouwactiviteitenSBI93;Grootteklasse;Perioden;TotaalMateriaalverbruik_1;TBVBouwEnBouwinstallatieAct_2;TBVHandelsactiviteiten_3;TBVOverigeActiviteiten_4;MateriaalverbruikNietTeSpecificeren_5;TotaalBetalingen_6;Constructiewerkplaatsen_7;Loodgietersbedrijven_8;ElectrotechnischeInstallBedrijven_9;CentraleVerwarmingsbedrijven_10;TimmerSchilderGlaszettersBehangbedr_11;SteengaasMuurbewerkingsbedrijven_12;AndereOnderaannemers_13;OnderaannemersNietTeSpecificeren_14
0;SBI 45 Totaal bouw incl.bouwinstallatie;1 of meer werknemers;1996;13246.0;9048.0;393.0;74.0;3731.0;10185.0;341.0;398.0;516.0;360.0;635.0;170.0;5379.0;2386.0
1;SBI 45 Totaal bouw incl.bouwinstallatie;1 of meer werknemers;1997;13825.0;9582.0;413.0;49.0;3781.0;10584.0;419.0;437.0;553.0;430.0;655.0;217.0;5875.0;1999.0
2;SBI 45 Totaal bouw incl.bouwinstallatie;1 of meer werknemers;1998;14801.0;10429.0;518.0;63.0;3791.0;11337.0;446.0;481.0;624.0;469.0;730.0;259.0;6481.0;1847.0
3;SBI 45 Totaal bouw incl.bouwinstallatie;1 of meer werknemers;1999;16728.0;11672.0;987.0;87.0;3982.0;12510.0;491.0;488.0;659.0;464.0;710.0;266.0;8133.0;1299.0
4;SBI 45 Totaal bouw incl.bouwinstallatie;1 tot 10 werknemers;1996;2624.0;;;;2624.0;1155.0;;;;;;;;1155.0
5;SBI 45 Totaal bouw incl.bouwinstallatie;1 tot 10 werknemers;1997;2563.0;;;;2563.0;1119.0;;;;;;;;1119.0
6;SBI 45 Totaal bouw incl.bouwinstallatie;1 tot 10 werknemers;1998;2511.0;;;;2511.0;1068.0;;;;;;;;1068.0
7;SBI 45 Totaal bouw incl.bouwinstallatie;1 tot 10 werknemers;1999;2601.0;;;;2601.0;995.0;;;;;;;;995.0
8;SBI 45 Totaal bouw incl.bouwinstallatie;10 of meer werknemers;1996;10622.0;;;;1107.0;9030.0;;;;;;;;1231.0
9;SBI 45 Totaal bouw incl.bouwinstallatie;10 of meer werknemers;1997;11262.0;;;;1218.0;9465.0;;;;;;;;880.0
10;SBI 45 Totaal bouw incl.bouwinstallatie;10 of meer werknemers;1998;12290.0;;;;1280.0;10269.0;;;;;;;;779.0
11;SBI 45 Totaal bouw incl.bouwinstallatie;10 of meer werknemers;1999;14127.0;;;;1381.0;11515.0;;;;;;;;304.0
12;SBI 45 Totaal bouw incl.bouwinstallatie;10 tot 100 werknemers;1996;5501.0;4246.0;118.0;31.0;1107.0;4365.0;174.0;209.0;202.0;139.0;360.0;94.0;2830.0;358.0
13;SBI 45 Totaal bouw incl.bouwinstallatie;10 tot 100 werknemers;1997;5829.0;4497.0;96.0;19.0;1218.0;4586.0;200.0;244.0;248.0;165.0;373.0;108.0;3007.0;241.0
14;SBI 45 Totaal bouw incl.bouwinstallatie;10 tot 100 werknemers;1998;6165.0;4751.0;110.0;25.0;1280.0;4830.0;191.0;260.0;288.0;210.0;411.0;142.0;3152.0;177.0
