ID;Perioden;TijdelijkNietBeschikbaar_1;TijdelijkNietBeschikbaar_2
0;0;Tijdelijk niet beschikbaar;Tijdelijk niet beschikbaar
1;1;Tijdelijk niet beschikbaar;Tijdelijk niet beschikbaar
