ID;KenmerkenHuurwoningen;Jaar;TotaalAantalHuurwoningen_1;MinderDan18151Euro_2;k_18151EuroTot22689Euro_3;k_22689EuroTot27227Euro_4;k_27227EuroTot31765Euro_5;k_31765EuroTot36302Euro_6;k_36302EuroTot40840Euro_7;k_40840EuroTot45378Euro_8;k_45378EuroOfMeer_9;GemiddeldeBasishuur_10;MinderDan8_11;k_8Tot12_12;k_12Tot16_13;k_16Tot20_14;k_20Tot24_15;k_24Tot28_16;k_28Tot32_17;k_32Tot36_18;k_36OfMeer_19;GemiddeldBesteedbaarJaarinkomen_20;GemiddeldeNettoWoonuitgaven_21
0;1;1998;3126;226;331;510;569;604;424;214;249;317;106;201;430;529;552;437;271;173;385;16946;24
1;1;1999;3096;224;239;480;560;619;478;239;258;322;92;197;404;567;552;470;261;159;349;17090;24
2;1;2000;3111;195;231;451;567;620;464;277;307;331;69;221;432;549;532;456;263;166;341;17980;24
3;2;1998;1493;87;116;222;267;317;237;116;130;324;59;93;218;282;284;199;117;66;157;18080;23
4;2;1999;1358;78;62;166;225;311;255;130;131;337;55;77;193;281;236;195;97;63;139;18356;23
5;2;2000;1444;78;78;174;227;325;252;170;141;340;42;95;218;285;255;186;110;64;136;19655;23
6;3;1998;1634;139;215;288;302;287;186;98;119;311;47;109;212;246;267;238;154;107;227;15905;25
7;3;1999;1738;146;176;314;336;307;223;109;127;311;37;119;211;286;316;275;165;96;209;16102;24
8;3;2000;1666;117;153;277;340;295;212;108;165;322;27;126;214;264;278;271;153;102;205;16528;25
9;4;1998;1120;32;94;180;226;276;190;80;42;318;20;67;167;226;231;156;93;49;99;17349;23
10;4;1999;1055;27;52;137;193;275;217;101;54;335;20;52;158;225;193;155;78;54;104;17604;23
11;4;2000;1090;16;60;144;196;281;214;123;56;338;27;69;172;233;206;148;87;49;86;19064;22
12;5;1998;1156;91;160;226;237;221;129;53;38;299;27;77;158;180;202;176;109;75;136;15212;24
13;5;1999;1239;86;119;263;263;246;153;67;43;300;21;86;150;210;235;203;113;65;134;15643;24
14;5;2000;1184;65;116;215;256;246;158;63;65;314;13;87;158;205;205;206;109;64;120;15996;24
15;6;1998;264;45;16;27;25;22;29;28;72;344;31;19;35;40;36;31;16;11;42;20602;24
16;6;1999;175;39;6;12;16;16;22;18;46;335;25;16;18;26;25;19;13;3;26;20533;23
17;6;2000;190;35;10;16;13;21;16;24;55;368;9;13;27;26;26;26;10;7;26;22484;25
18;7;1998;382;40;44;48;49;50;43;39;69;343;17;26;44;54;52;48;37;24;71;18126;27
19;7;1999;303;40;38;36;44;30;39;26;51;328;10;24;32;50;43;44;33;12;51;17223;26
20;7;2000;286;33;25;39;41;28;29;29;62;344;8;25;39;37;40;36;27;20;46;19111;26
21;8;1998;108;10;7;15;16;19;18;8;16;334;8;7;16;16;17;12;8;5;16;19505;24
22;8;1999;128;12;4;17;16;20;17;11;31;354;10;10;18;29;19;21;5;7;9;21582;21
23;8;2000;164;27;8;14;18;24;22;23;30;327;5;13;19;26;22;12;13;8;24;20310;27
24;9;1998;96;7;10;14;15;16;15;6;12;331;3;6;10;12;13;13;9;8;20;15465;27
25;9;1999;197;21;20;15;29;31;31;16;33;350;5;9;28;26;38;28;19;19;24;17227;25
26;9;2000;196;19;12;22;43;22;25;16;38;342;6;14;17;22;33;28;17;18;38;15971;29
