ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;BbpVolumemutaties_1;BrutoToegevoegdeWaardeVolumemutaties_2
0;A-U Alle economische activiteiten;Nederland;1996;3.5;3.2
1;A-U Alle economische activiteiten;Nederland;1997;4.3;4.5
2;A-U Alle economische activiteiten;Nederland;1998;4.7;4.6
3;A-U Alle economische activiteiten;Nederland;1999;5.0;4.8
4;A-U Alle economische activiteiten;Nederland;2000;4.2;4.4
5;A-U Alle economische activiteiten;Nederland;2001;2.3;2.4
6;A-U Alle economische activiteiten;Nederland;2002;0.2;0.2
7;A-U Alle economische activiteiten;Nederland;2003;0.2;0.1
8;A-U Alle economische activiteiten;Nederland;2004;2.0;2.1
9;A-U Alle economische activiteiten;Nederland;2005;2.1;2.1
10;A-U Alle economische activiteiten;Nederland;2006;3.5;3.3
11;A-U Alle economische activiteiten;Nederland;2007;3.8;3.9
12;A-U Alle economische activiteiten;Nederland;2008;2.2;2.5
13;A-U Alle economische activiteiten;Nederland;2009;-3.7;-3.3
14;A-U Alle economische activiteiten;Nederland;2010;1.3;1.5
15;A-U Alle economische activiteiten;Nederland;2011;1.6;1.9
16;A-U Alle economische activiteiten;Nederland;2012;-1.0;-0.8
17;A-U Alle economische activiteiten;Nederland;2013;-0.1;0.3
18;A-U Alle economische activiteiten;Nederland;2014;1.4;1.4
19;A-U Alle economische activiteiten;Nederland;2015;2.0;1.7
20;A-U Alle economische activiteiten;Nederland;2016;2.2;2.0
21;A-U Alle economische activiteiten;Nederland;2017;2.9;2.9
22;A-U Alle economische activiteiten;Nederland;2018;2.4;2.3
23;A-U Alle economische activiteiten;Nederland;2019;2.0;2.0
24;A-U Alle economische activiteiten;Nederland;2020;-3.9;-4.1
25;A-U Alle economische activiteiten;Nederland;2021;6.2;6.6
26;A-U Alle economische activiteiten;Nederland;2022;4.3;4.8
27;A-U Alle economische activiteiten;Nederland;2023;0.1;0.1
28;A-U Alle economische activiteiten;Noord-Nederland (LD);1996;4.9;4.6
29;A-U Alle economische activiteiten;Noord-Nederland (LD);1997;1.7;1.8
30;A-U Alle economische activiteiten;Noord-Nederland (LD);1998;2.7;2.7
31;A-U Alle economische activiteiten;Noord-Nederland (LD);1999;3.2;2.9
32;A-U Alle economische activiteiten;Noord-Nederland (LD);2000;2.2;2.4
33;A-U Alle economische activiteiten;Noord-Nederland (LD);2001;2.8;2.8
34;A-U Alle economische activiteiten;Noord-Nederland (LD);2002;0.5;0.5
