ID;Persoonskenmerken;Perioden;PersonenMetEenBetalingsachterstand_1;TOVBevolkingNederland_2;TOVTotaalWanbetalers_3
0;Totaal;2022;98870;2.2;62.2
1;Totaal;2023;105640;2.3;63.6
2;Herkomst: geboren in Nederland;2022;69420;1.9;63.4
3;Herkomst: geboren in Nederland;2023;73440;2.0;65.0
4;Herkomst: geb. in NL, ouders in NL;2022;42730;1.4;58.6
5;Herkomst: geb. in NL, ouders in NL;2023;44320;1.4;60.2
6;Herkomst: geb. in NL, ouder(s) buiten NL;2022;26690;4.6;73.0
7;Herkomst: geb. in NL, ouder(s) buiten NL;2023;29120;4.8;74.2
8;Herkomst: geb. in NL, 1 ouder geboren NL;2022;7100;2.5;68.4
9;Herkomst: geb. in NL, 1 ouder geboren NL;2023;7770;2.6;70.9
10;Herkomst: geb. in NL, 2 ouders buiten NL;2022;19590;6.7;74.8
11;Herkomst: geb. in NL, 2 ouders buiten NL;2023;21350;7.1;75.5
12;Herkomst: geboren buiten Nederland;2022;29450;3.5;59.6
13;Herkomst: geboren buiten Nederland;2023;32200;3.6;60.6
14;Herkomstland: Nederland;2022;42730;1.4;58.6
15;Herkomstland: Nederland;2023;44320;1.4;60.2
16;Herkomstland: buiten Nederland;2022;56140;3.9;65.3
17;Herkomstland: buiten Nederland;2023;61320;4.1;66.4
18;Herkomstland: Europa (excl. Nederland);2022;10960;2.8;52.5
19;Herkomstland: Europa (excl. Nederland);2023;12510;3.0;53.8
20;Herkomstland: buiten Europa;2022;45190;4.4;69.3
21;Herkomstland: buiten Europa;2023;48810;4.5;70.6
22;Herkomstland: Marokko;2022;8900;5.7;74.3
23;Herkomstland: Marokko;2023;9720;6.0;75.2
24;Herkomstland: Turkije;2022;5820;4.0;62.1
25;Herkomstland: Turkije;2023;6170;4.1;63.2
26;Herkomstland: Suriname;2022;8530;6.2;67.4
27;Herkomstland: Suriname;2023;8790;6.2;68.1
28;Herkomstland: Nederlandse Cariben;2022;6640;9.0;71.9
29;Herkomstland: Nederlandse Cariben;2023;7150;9.1;73.5
30;Herkomstland: Indonesië;2022;2120;2.6;53.4
31;Herkomstland: Indonesië;2023;2210;2.6;56.1
32;Herkomstland: Buiten Europa (excl. 5 ...;2022;13180;3.0;73.4
33;Herkomstland: Buiten Europa (excl. 5 ...;2023;14760;3.1;74.2
34;Leeftijd: 18 jaar of ouder;2022;98870;2.2;62.2
35;Leeftijd: 18 jaar of ouder;2023;105640;2.3;63.6
36;Leeftijd: 18 tot 35 jaar;2022;48840;2.3;75.7
37;Leeftijd: 18 tot 35 jaar;2023;52900;2.4;77.0
38;Leeftijd: 35 tot 50 jaar;2022;27970;5.0;52.7
39;Leeftijd: 35 tot 50 jaar;2023;30080;5.0;53.9
40;Leeftijd: 50 tot 65 jaar;2022;17180;2.7;51.6
41;Leeftijd: 50 tot 65 jaar;2023;17530;2.7;52.7
42;Leeftijd: 65 jaar of ouder;2022;4880;0.4;60.2
43;Leeftijd: 65 jaar of ouder;2023;5140;0.4;61.7
