ID;WoonlandVanGasten;Sterklassen;Perioden;Gasten_1;Overnachtingen_2
0;18;Totaal Nederlandse hotels;2012 januari;1299;2099
1;18;Totaal Nederlandse hotels;2012 februari;1332;2174
2;18;Totaal Nederlandse hotels;2012 maart;1624;2691
3;18;Totaal Nederlandse hotels;2012 1e kwartaal;4255;6964
4;18;Totaal Nederlandse hotels;2012 april;1943;3474
5;18;Totaal Nederlandse hotels;2012 mei;2013;3556
6;18;Totaal Nederlandse hotels;2012 juni;1934;3389
7;18;Totaal Nederlandse hotels;2012 2e kwartaal;5890;10419
8;18;Totaal Nederlandse hotels;2012 juli;1958;3690
9;18;Totaal Nederlandse hotels;2012 augustus;2090;4001
10;18;Totaal Nederlandse hotels;2012 september;1955;3379
11;18;Totaal Nederlandse hotels;2012 3e kwartaal;6003;11070
12;18;Totaal Nederlandse hotels;2012 oktober;1866;3150
13;18;Totaal Nederlandse hotels;2012 november;1602;2591
14;18;Totaal Nederlandse hotels;2012 december;1397;2342
15;18;Totaal Nederlandse hotels;2012 4e kwartaal;4866;8082
16;18;Totaal Nederlandse hotels;2012;21014;36536
17;18;Totaal Nederlandse hotels;2013 januari;1274;2091
18;18;Totaal Nederlandse hotels;2013 februari;1311;2151
19;18;Totaal Nederlandse hotels;2013 maart;1666;2814
20;18;Totaal Nederlandse hotels;2013 1e kwartaal;4251;7055
21;18;Totaal Nederlandse hotels;2013 april;1878;3273
22;18;Totaal Nederlandse hotels;2013 mei;2091;3685
23;18;Totaal Nederlandse hotels;2013 juni;2010;3472
24;18;Totaal Nederlandse hotels;2013 2e kwartaal;5980;10431
25;18;Totaal Nederlandse hotels;2013 juli;2056;3845
26;18;Totaal Nederlandse hotels;2013 augustus;2179;4166
27;18;Totaal Nederlandse hotels;2013 september;1970;3387
28;18;Totaal Nederlandse hotels;2013 3e kwartaal;6205;11398
29;18;Totaal Nederlandse hotels;2013 oktober;1936;3309
30;18;Totaal Nederlandse hotels;2013 november;1672;2720
31;18;Totaal Nederlandse hotels;2013 december;1478;2477
32;18;Totaal Nederlandse hotels;2013 4e kwartaal;5086;8506
33;18;Totaal Nederlandse hotels;2013;21521;37390
34;18;Totaal Nederlandse hotels;2014 januari;1376;2214
35;18;Totaal Nederlandse hotels;2014 februari;1433;2313
36;18;Totaal Nederlandse hotels;2014 maart;1810;3005
37;18;Totaal Nederlandse hotels;2014 1e kwartaal;4618;7532
38;18;Totaal Nederlandse hotels;2014 april;2029;3556
39;18;Totaal Nederlandse hotels;2014 mei;2202;3831
