ID;Geslacht;Leeftijd;TypeZorg;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;0;0;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;0;0;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;0;0;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;0;0;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;0;0;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;0;0;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;0;0;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;0;1;2004;169795;1.33;16552;97;1.3
8;Totaal mannen en vrouwen;0;1;2005;219245;1.71;24001;109;1.88
9;Totaal mannen en vrouwen;0;1;2006;234270;1.83;26167;112;2.04
10;Totaal mannen en vrouwen;0;1;2007;237020;1.85;26770;113;2.09
11;Totaal mannen en vrouwen;0;1;2008;240110;1.85;27481;114;2.12
12;Totaal mannen en vrouwen;0;1;2009;243535;1.87;28900;119;2.21
13;Totaal mannen en vrouwen;0;1;2010;242320;1.84;29442;122;2.24
14;Totaal mannen en vrouwen;0;2;2004;39710;0.31;6533;165;0.51
15;Totaal mannen en vrouwen;0;2;2005;29425;0.23;4735;161;0.37
16;Totaal mannen en vrouwen;0;2;2006;31910;0.25;4035;126;0.31
17;Totaal mannen en vrouwen;0;2;2007;48000;0.37;4672;97;0.36
18;Totaal mannen en vrouwen;0;2;2008;67705;0.52;5904;87;0.46
19;Totaal mannen en vrouwen;0;2;2009;80775;0.62;7040;87;0.54
20;Totaal mannen en vrouwen;0;2;2010;94740;0.72;7909;83;0.6
21;Totaal mannen en vrouwen;0;3;2004;66325;0.52;1629;25;0.13
22;Totaal mannen en vrouwen;0;3;2005;58795;0.46;976;17;0.08
23;Totaal mannen en vrouwen;0;3;2006;59755;0.47;974;16;0.08
24;Totaal mannen en vrouwen;0;3;2007;55040;0.43;951;17;0.07
25;Totaal mannen en vrouwen;0;3;2008;50005;0.39;873;17;0.07
26;Totaal mannen en vrouwen;0;3;2009;41205;0.32;719;17;0.06
27;Totaal mannen en vrouwen;0;3;2010;37405;0.28;638;17;0.05
28;Totaal mannen en vrouwen;0;4;2004;119180;0.94;17583;148;1.38
29;Totaal mannen en vrouwen;0;4;2005;66675;0.52;11314;170;0.89
30;Totaal mannen en vrouwen;0;4;2006;56665;0.44;10637;188;0.83
31;Totaal mannen en vrouwen;0;4;2007;59540;0.46;12262;206;0.96
32;Totaal mannen en vrouwen;0;4;2008;80850;0.62;18501;229;1.43
33;Totaal mannen en vrouwen;0;4;2009;98100;0.75;24419;249;1.87
34;Totaal mannen en vrouwen;0;4;2010;107350;0.82;28174;262;2.14
