ID;Landen;GN;Perioden;TotaleInvoerwaarde_1;TotaleInvoerhoeveelheid_2;TotaleUitvoerwaarde_3;TotaleUitvoerhoeveelheid_4;EenheidHoeveelheid_5
0;Totaal landen;25010010 Zeewater en moederloog;2015;2.0;2.0;1.0;1.0;mln kg                   
1;Totaal landen;25010010 Zeewater en moederloog;2016;10.0;1.0;4.0;1.0;mln kg                   
2;Totaal landen;25010010 Zeewater en moederloog;2017;2.0;0.0;3.0;5.0;mln kg                   
3;Totaal landen;25010010 Zeewater en moederloog;2018;2.0;0.0;1.0;2.0;mln kg                   
4;Totaal landen;25010010 Zeewater en moederloog;2019;3.0;1.0;1.0;1.0;mln kg                   
5;Totaal landen;25010010 Zeewater en moederloog;2020;3.0;2.0;1.0;1.0;mln kg                   
6;Totaal landen;25010010 Zeewater en moederloog;2021;;;;;mln kg                   
7;Totaal landen;25010010 Zeewater en moederloog;2022;2.0;4.0;1.0;1.0;mln kg                   
8;Totaal landen;25010010 Zeewater en moederloog;2023;4.0;3.0;1.0;1.0;mln kg                   
9;Totaal landen;25010031 Zout bestemd om chemisch te ...;2015;1.0;3.0;86.0;2058.0;mln kg                   
10;Totaal landen;25010031 Zout bestemd om chemisch te ...;2016;2.0;4.0;78.0;2047.0;mln kg                   
11;Totaal landen;25010031 Zout bestemd om chemisch te ...;2017;1.0;4.0;94.0;2285.0;mln kg                   
12;Totaal landen;25010031 Zout bestemd om chemisch te ...;2018;4.0;13.0;159.0;3443.0;mln kg                   
13;Totaal landen;25010031 Zout bestemd om chemisch te ...;2019;2.0;8.0;170.0;3626.0;mln kg                   
14;Totaal landen;25010031 Zout bestemd om chemisch te ...;2020;3.0;22.0;156.0;3369.0;mln kg                   
15;Totaal landen;25010031 Zout bestemd om chemisch te ...;2021;;;;;mln kg                   
16;Totaal landen;25010031 Zout bestemd om chemisch te ...;2022;1.0;4.0;302.0;3170.0;mln kg                   
17;Totaal landen;25010031 Zout bestemd om chemisch te ...;2023;1.0;6.0;240.0;2914.0;mln kg                   
