ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;TotaalBedrijfslasten_5;Inkoopwaarde_6;Personeelskosten_7;OverigeBedrijfslasten_8;Bedrijfsresultaat_9;ResultaatVoorBelasting_10
0;521/526  Totaal detailhandel;1993;86.7;597.1;52.0;31.2;94.1;68.8;12.3;13.0;6.4;5.5
1;521/526  Totaal detailhandel;1994;86.5;602.5;53.0;31.3;94.7;68.7;12.5;13.5;5.8;5.1
2;521/526  Totaal detailhandel;1995;86.9;619.5;54.0;31.3;94.9;68.7;12.4;13.8;5.9;5.3
3;521/526  Totaal detailhandel;1996;85.3;638.7;56.0;31.6;94.8;68.4;12.3;14.1;6.0;5.3
4;521/526  Totaal detailhandel;1997;83.7;662.4;58.5;31.7;94.8;68.3;12.2;14.3;5.8;5.3
5;521/526  Totaal detailhandel;1998;81.4;682.0;61.7;32.1;94.6;67.9;12.3;14.4;6.0;5.5
6;521/526  Totaal detailhandel;1999;78.0;693.6;63.8;32.5;94.7;67.5;12.6;14.6;5.9;5.4
7;521/525  Detailhandel in winkel;1993;71.0;567.6;49.0;31.2;94.3;68.8;12.7;12.8;6.1;5.1
8;521/525  Detailhandel in winkel;1994;71.3;572.8;50.5;31.3;94.7;68.7;12.9;13.1;5.7;4.7
9;521/525  Detailhandel in winkel;1995;70.2;585.5;51.2;31.2;95.1;68.8;12.7;13.6;5.6;4.8
10;521/525  Detailhandel in winkel;1996;69.7;604.9;53.0;31.5;94.9;68.5;12.6;13.8;5.6;5.0
11;521/525  Detailhandel in winkel;1997;68.4;626.2;55.5;31.4;95.1;68.6;12.5;14.0;5.5;5.0
12;521/525  Detailhandel in winkel;1998;66.8;645.8;58.7;31.8;94.9;68.2;12.6;14.1;5.7;5.3
13;521/525  Detailhandel in winkel;1999;64.7;667.9;61.2;32.2;94.9;67.8;12.8;14.3;5.8;5.3
14;5211/522 Food in winkel;1993;19.3;232.2;20.5;24.1;96.2;75.9;10.8;9.5;4.2;3.8
15;5211/522 Food in winkel;1994;19.1;235.3;21.4;23.9;96.2;76.1;10.8;9.3;4.1;3.5
16;5211/522 Food in winkel;1995;18.4;239.8;21.9;23.9;96.6;76.1;10.6;9.9;4.0;3.6
17;5211/522 Food in winkel;1996;17.7;248.7;22.3;24.1;96.5;75.9;10.5;10.1;4.0;3.7
18;5211/522 Food in winkel;1997;17.2;254.7;23.0;24.2;96.8;75.8;10.6;10.4;3.7;3.5
19;5211/522 Food in winkel;1998;16.3;259.4;23.7;24.6;96.7;75.4;10.7;10.6;3.8;3.6
20;5211/522 Food in winkel;1999;15.2;269.6;24.2;24.9;96.8;75.1;11.0;10.7;3.7;3.4
21;5211   Food alg. ass. (Supermarkten);1993;4.6;163.0;15.2;21.8;97.2;78.2;10.9;8.1;3.1;2.5
22;5211   Food alg. ass. (Supermarkten);1994;4.6;168.3;16.2;21.7;97.5;78.3;10.8;8.4;2.9;2.4
23;5211   Food alg. ass. (Supermarkten);1995;4.3;174.0;16.8;21.8;97.9;78.2;10.5;9.2;2.8;2.5
24;5211   Food alg. ass. (Supermarkten);1996;4.0;182.7;17.4;22.2;97.6;77.8;10.5;9.3;2.9;2.7
25;5211   Food alg. ass. (Supermarkten);1997;3.7;188.7;18.0;22.4;98.0;77.6;10.7;9.7;2.7;2.6
26;5211   Food alg. ass. (Supermarkten);1998;3.5;195.3;19.0;22.9;97.8;77.1;10.8;9.9;2.8;2.7
27;5211   Food alg. ass. (Supermarkten);1999;3.1;205.0;19.5;23.2;98.0;76.8;11.2;10.0;2.6;2.4
28;5221   Aardappelen, groenten en fruit;1993;2.7;12.1;0.7;35.2;91.0;64.8;11.3;14.9;9.7;8.4
29;5221   Aardappelen, groenten en fruit;1994;2.6;12.4;0.7;34.8;91.0;65.2;11.2;14.6;9.5;8.5
30;5221   Aardappelen, groenten en fruit;1995;2.5;12.2;0.7;34.6;90.8;65.4;11.1;14.3;9.8;8.9
31;5221   Aardappelen, groenten en fruit;1996;2.5;12.1;0.6;34.6;90.4;65.4;10.4;14.6;10.1;9.2
32;5221   Aardappelen, groenten en fruit;1997;2.3;12.1;0.6;34.5;91.0;65.5;10.4;15.1;9.5;8.6
33;5221   Aardappelen, groenten en fruit;1998;2.2;11.4;0.6;35.2;91.1;64.8;10.7;15.6;9.2;8.9
34;5221   Aardappelen, groenten en fruit;1999;2.1;11.5;0.6;35.8;90.2;64.2;10.7;15.3;10.0;9.3
35;5222.1 Vlees en vleeswaren (Slagers);1993;4.7;25.5;1.6;39.8;90.4;60.2;15.7;14.5;10.0;9.6
36;5222.1 Vlees en vleeswaren (Slagers);1994;4.6;25.1;1.5;39.6;91.2;60.4;15.5;15.3;9.3;8.5
37;5222.1 Vlees en vleeswaren (Slagers);1995;4.4;23.8;1.4;39.7;91.8;60.3;15.7;15.8;8.9;8.3
38;5222.1 Vlees en vleeswaren (Slagers);1996;4.1;23.3;1.4;39.4;91.6;60.6;15.1;15.9;8.9;8.3
39;5222.1 Vlees en vleeswaren (Slagers);1997;4.0;21.8;1.4;38.5;91.4;61.5;14.0;15.9;9.0;8.4
40;5222.1 Vlees en vleeswaren (Slagers);1998;3.7;21.3;1.3;39.1;90.0;60.9;13.8;15.3;10.3;9.7
41;5222.1 Vlees en vleeswaren (Slagers);1999;3.4;20.8;1.3;40.2;89.9;59.8;14.3;15.8;10.5;10.2
42;5222.2 Wild en gevogelte (Poeliers);1993;0.4;1.9;0.1;35.2;89.6;64.8;9.5;15.3;10.8;8.9
43;5222.2 Wild en gevogelte (Poeliers);1994;0.4;1.8;0.1;34.7;90.2;65.3;9.3;15.6;10.2;9.0
44;5222.2 Wild en gevogelte (Poeliers);1995;0.4;1.7;0.1;34.8;90.5;65.2;9.7;15.6;10.1;9.0
45;5222.2 Wild en gevogelte (Poeliers);1996;0.4;1.6;0.1;34.9;89.6;65.1;9.1;15.4;10.9;10.6
46;5222.2 Wild en gevogelte (Poeliers);1997;0.4;1.6;0.1;35.8;89.5;64.2;9.4;15.9;10.9;10.1
47;5222.2 Wild en gevogelte (Poeliers);1998;0.3;1.4;0.1;36.6;90.1;63.4;9.7;17.0;10.2;9.6
48;5222.2 Wild en gevogelte (Poeliers);1999;0.3;1.4;0.1;38.7;88.8;61.3;9.6;17.9;11.4;11.3
49;5223   Vis;1993;0.8;3.0;0.2;41.7;85.1;58.3;10.0;16.8;15.4;13.8
