ID;Geslacht;HerkomstVan;DoorstroomNaar;Perioden;LeerlingenStudenten_1
0;Totaal mannen en vrouwen;0;1;1995/'96;
1;Totaal mannen en vrouwen;0;1;1996/'97;
2;Totaal mannen en vrouwen;0;1;1997/'98;
3;Totaal mannen en vrouwen;0;1;1998/'99;
4;Totaal mannen en vrouwen;0;1;1999/'00;
5;Totaal mannen en vrouwen;0;1;2000/'01;
6;Totaal mannen en vrouwen;0;1;2001/'02;
7;Totaal mannen en vrouwen;0;1;2002/'03;
8;Totaal mannen en vrouwen;0;1;2003/'04;
9;Totaal mannen en vrouwen;0;1;2004/'05;
10;Totaal mannen en vrouwen;0;1;2005/'06;
11;Totaal mannen en vrouwen;0;1;2006/'07;
12;Totaal mannen en vrouwen;0;1;2007/'08;
13;Totaal mannen en vrouwen;0;1;2008/'09;
14;Totaal mannen en vrouwen;0;3;1995/'96;3379747.0
15;Totaal mannen en vrouwen;0;3;1996/'97;3400585.0
16;Totaal mannen en vrouwen;0;3;1997/'98;3415775.0
17;Totaal mannen en vrouwen;0;3;1998/'99;3451301.0
18;Totaal mannen en vrouwen;0;3;1999/'00;3488365.0
19;Totaal mannen en vrouwen;0;3;2000/'01;3524834.0
20;Totaal mannen en vrouwen;0;3;2001/'02;3554144.0
21;Totaal mannen en vrouwen;0;3;2002/'03;3591457.0
22;Totaal mannen en vrouwen;0;3;2003/'04;3620200.0
23;Totaal mannen en vrouwen;0;3;2004/'05;3648814.0
24;Totaal mannen en vrouwen;0;3;2005/'06;3675019.0
25;Totaal mannen en vrouwen;0;3;2006/'07;3705193.0
26;Totaal mannen en vrouwen;0;3;2007/'08;3722132.0
27;Totaal mannen en vrouwen;0;3;2008/'09;3760569.0
28;Totaal mannen en vrouwen;0;4;1995/'96;1501618.0
29;Totaal mannen en vrouwen;0;4;1996/'97;1520066.0
30;Totaal mannen en vrouwen;0;4;1997/'98;1533974.0
31;Totaal mannen en vrouwen;0;4;1998/'99;1543383.0
32;Totaal mannen en vrouwen;0;4;1999/'00;1546681.0
33;Totaal mannen en vrouwen;0;4;2000/'01;1552459.0
34;Totaal mannen en vrouwen;0;4;2001/'02;1550085.0
35;Totaal mannen en vrouwen;0;4;2002/'03;1547725.0
36;Totaal mannen en vrouwen;0;4;2003/'04;1548880.0
37;Totaal mannen en vrouwen;0;4;2004/'05;1549472.0
38;Totaal mannen en vrouwen;0;4;2005/'06;1548774.0
39;Totaal mannen en vrouwen;0;4;2006/'07;1552204.0
40;Totaal mannen en vrouwen;0;4;2007/'08;1553050.0
41;Totaal mannen en vrouwen;0;4;2008/'09;1547966.0
42;Totaal mannen en vrouwen;0;5;1995/'96;55578.0
43;Totaal mannen en vrouwen;0;5;1996/'97;54673.0
44;Totaal mannen en vrouwen;0;5;1997/'98;53606.0
45;Totaal mannen en vrouwen;0;5;1998/'99;52047.0
46;Totaal mannen en vrouwen;0;5;1999/'00;51557.0
47;Totaal mannen en vrouwen;0;5;2000/'01;51784.0
48;Totaal mannen en vrouwen;0;5;2001/'02;52077.0
49;Totaal mannen en vrouwen;0;5;2002/'03;51368.0
50;Totaal mannen en vrouwen;0;5;2003/'04;50070.0
51;Totaal mannen en vrouwen;0;5;2004/'05;48300.0
52;Totaal mannen en vrouwen;0;5;2005/'06;46307.0
53;Totaal mannen en vrouwen;0;5;2006/'07;44931.0
54;Totaal mannen en vrouwen;0;5;2007/'08;44054.0
55;Totaal mannen en vrouwen;0;5;2008/'09;43326.0
56;Totaal mannen en vrouwen;0;6;1995/'96;36801.0
57;Totaal mannen en vrouwen;0;6;1996/'97;38804.0
58;Totaal mannen en vrouwen;0;6;1997/'98;41048.0
59;Totaal mannen en vrouwen;0;6;1998/'99;43502.0
60;Totaal mannen en vrouwen;0;6;1999/'00;45817.0
61;Totaal mannen en vrouwen;0;6;2000/'01;48169.0
62;Totaal mannen en vrouwen;0;6;2001/'02;51683.0
63;Totaal mannen en vrouwen;0;6;2002/'03;54012.0
64;Totaal mannen en vrouwen;0;6;2003/'04;55606.0
65;Totaal mannen en vrouwen;0;6;2004/'05;59027.0
66;Totaal mannen en vrouwen;0;6;2005/'06;61870.0
67;Totaal mannen en vrouwen;0;6;2006/'07;64624.0
68;Totaal mannen en vrouwen;0;6;2007/'08;66271.0
69;Totaal mannen en vrouwen;0;6;2008/'09;67653.0
70;Totaal mannen en vrouwen;0;7;1995/'96;360086.0
71;Totaal mannen en vrouwen;0;7;1996/'97;366279.0
72;Totaal mannen en vrouwen;0;7;1997/'98;378186.0
73;Totaal mannen en vrouwen;0;7;1998/'99;388580.0
74;Totaal mannen en vrouwen;0;7;1999/'00;396324.0
75;Totaal mannen en vrouwen;0;7;2000/'01;395082.0
76;Totaal mannen en vrouwen;0;7;2001/'02;404321.0
77;Totaal mannen en vrouwen;0;7;2002/'03;408137.0
78;Totaal mannen en vrouwen;0;7;2003/'04;406666.0
79;Totaal mannen en vrouwen;0;7;2004/'05;399300.0
80;Totaal mannen en vrouwen;0;7;2005/'06;394332.0
81;Totaal mannen en vrouwen;0;7;2006/'07;390046.0
82;Totaal mannen en vrouwen;0;7;2007/'08;385392.0
83;Totaal mannen en vrouwen;0;7;2008/'09;387596.0
84;Totaal mannen en vrouwen;0;8;1995/'96;27224.0
85;Totaal mannen en vrouwen;0;8;1996/'97;27856.0
86;Totaal mannen en vrouwen;0;8;1997/'98;28626.0
87;Totaal mannen en vrouwen;0;8;1998/'99;22496.0
88;Totaal mannen en vrouwen;0;8;1999/'00;16933.0
89;Totaal mannen en vrouwen;0;8;2000/'01;13800.0
90;Totaal mannen en vrouwen;0;8;2001/'02;
91;Totaal mannen en vrouwen;0;8;2002/'03;
92;Totaal mannen en vrouwen;0;8;2003/'04;
93;Totaal mannen en vrouwen;0;8;2004/'05;
94;Totaal mannen en vrouwen;0;8;2005/'06;
95;Totaal mannen en vrouwen;0;8;2006/'07;
96;Totaal mannen en vrouwen;0;8;2007/'08;
97;Totaal mannen en vrouwen;0;8;2008/'09;
98;Totaal mannen en vrouwen;0;9;1995/'96;
99;Totaal mannen en vrouwen;0;9;1996/'97;
100;Totaal mannen en vrouwen;0;9;1997/'98;
101;Totaal mannen en vrouwen;0;9;1998/'99;6963.0
102;Totaal mannen en vrouwen;0;9;1999/'00;13406.0
103;Totaal mannen en vrouwen;0;9;2000/'01;16992.0
104;Totaal mannen en vrouwen;0;9;2001/'02;22770.0
105;Totaal mannen en vrouwen;0;9;2002/'03;24661.0
106;Totaal mannen en vrouwen;0;9;2003/'04;26378.0
107;Totaal mannen en vrouwen;0;9;2004/'05;27382.0
108;Totaal mannen en vrouwen;0;9;2005/'06;27320.0
109;Totaal mannen en vrouwen;0;9;2006/'07;27178.0
110;Totaal mannen en vrouwen;0;9;2007/'08;26868.0
111;Totaal mannen en vrouwen;0;9;2008/'09;26759.0
112;Totaal mannen en vrouwen;0;10;1995/'96;240312.0
113;Totaal mannen en vrouwen;0;10;1996/'97;228769.0
114;Totaal mannen en vrouwen;0;10;1997/'98;221440.0
115;Totaal mannen en vrouwen;0;10;1998/'99;219803.0
116;Totaal mannen en vrouwen;0;10;1999/'00;222707.0
117;Totaal mannen en vrouwen;0;10;2000/'01;229016.0
118;Totaal mannen en vrouwen;0;10;2001/'02;230244.0
119;Totaal mannen en vrouwen;0;10;2002/'03;228501.0
120;Totaal mannen en vrouwen;0;10;2003/'04;226337.0
121;Totaal mannen en vrouwen;0;10;2004/'05;226164.0
122;Totaal mannen en vrouwen;0;10;2005/'06;223371.0
123;Totaal mannen en vrouwen;0;10;2006/'07;217458.0
