ID;Afzet;Producten;Perioden;Indexcijfers_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3;Indexcijfers_4;MaandOpMaandOntwikkeling_5;JaarOpJaarOntwikkeling_6
0;Totale Nederlandse afzet;C DELFSTOFFEN;2000 januari;81.0;;;81.0;;
1;Totale Nederlandse afzet;C DELFSTOFFEN;2000 februari;82.8;2.3;;82.8;2.3;
2;Totale Nederlandse afzet;C DELFSTOFFEN;2000 maart;84.1;1.6;;84.1;1.6;
3;Totale Nederlandse afzet;C DELFSTOFFEN;2000 april;93.2;10.9;;93.2;10.9;
4;Totale Nederlandse afzet;C DELFSTOFFEN;2000 mei;97.3;4.3;;97.3;4.3;
5;Totale Nederlandse afzet;C DELFSTOFFEN;2000 juni;98.5;1.3;;98.5;1.3;
6;Totale Nederlandse afzet;C DELFSTOFFEN;2000 juli;105.7;7.3;;105.7;7.3;
7;Totale Nederlandse afzet;C DELFSTOFFEN;2000 augustus;107.2;1.3;;107.2;1.3;
8;Totale Nederlandse afzet;C DELFSTOFFEN;2000 september;108.9;1.6;;108.9;1.6;
9;Totale Nederlandse afzet;C DELFSTOFFEN;2000 oktober;113.0;3.8;;113.0;3.8;
10;Totale Nederlandse afzet;C DELFSTOFFEN;2000 november;113.7;0.6;;113.7;0.6;
11;Totale Nederlandse afzet;C DELFSTOFFEN;2000 december;114.6;0.7;;114.6;0.7;
12;Totale Nederlandse afzet;C DELFSTOFFEN;2000;100.0;;;100.0;;
13;Totale Nederlandse afzet;C DELFSTOFFEN;2001 januari;118.6;3.5;46.5;118.6;3.5;46.5
14;Totale Nederlandse afzet;C DELFSTOFFEN;2001 februari;122.5;3.3;47.9;122.5;3.3;47.9
15;Totale Nederlandse afzet;C DELFSTOFFEN;2001 maart;122.4;-0.1;45.5;122.4;-0.1;45.5
16;Totale Nederlandse afzet;C DELFSTOFFEN;2001 april;117.1;-4.3;25.6;117.1;-4.3;25.6
17;Totale Nederlandse afzet;C DELFSTOFFEN;2001 mei;118.4;1.0;21.7;118.4;1.0;21.7
18;Totale Nederlandse afzet;C DELFSTOFFEN;2001 juni;119.9;1.3;21.7;119.9;1.3;21.7
19;Totale Nederlandse afzet;C DELFSTOFFEN;2001 juli;117.4;-2.1;11.0;117.4;-2.1;11.0
20;Totale Nederlandse afzet;C DELFSTOFFEN;2001 augustus;113.1;-3.7;5.6;113.1;-3.7;5.6
21;Totale Nederlandse afzet;C DELFSTOFFEN;2001 september;110.8;-2.1;1.7;110.8;-2.1;1.7
22;Totale Nederlandse afzet;C DELFSTOFFEN;2001 oktober;107.2;-3.2;-5.2;107.2;-3.2;-5.2
23;Totale Nederlandse afzet;C DELFSTOFFEN;2001 november;105.2;-1.9;-7.5;105.2;-1.9;-7.5
24;Totale Nederlandse afzet;C DELFSTOFFEN;2001 december;103.8;-1.3;-9.4;103.8;-1.3;-9.4
25;Totale Nederlandse afzet;C DELFSTOFFEN;2001;114.7;;14.7;114.7;;14.7
26;Totale Nederlandse afzet;C DELFSTOFFEN;2002 januari;101.2;-2.6;-14.7;101.2;-2.6;-14.7
27;Totale Nederlandse afzet;C DELFSTOFFEN;2002 februari;103.2;2.0;-15.8;103.2;2.0;-15.8
28;Totale Nederlandse afzet;C DELFSTOFFEN;2002 maart;102.6;-0.6;-16.2;102.6;-0.6;-16.2
29;Totale Nederlandse afzet;C DELFSTOFFEN;2002 april;103.7;1.1;-11.5;103.7;1.1;-11.5
30;Totale Nederlandse afzet;C DELFSTOFFEN;2002 mei;102.5;-1.2;-13.4;102.5;-1.2;-13.4
31;Totale Nederlandse afzet;C DELFSTOFFEN;2002 juni;99.9;-2.5;-16.7;99.9;-2.5;-16.7
32;Totale Nederlandse afzet;C DELFSTOFFEN;2002 juli;104.5;4.6;-11.0;104.5;4.6;-11.0
33;Totale Nederlandse afzet;C DELFSTOFFEN;2002 augustus;104.2;-0.3;-7.9;104.2;-0.3;-7.9
34;Totale Nederlandse afzet;C DELFSTOFFEN;2002 september;103.8;-0.4;-6.3;103.8;-0.4;-6.3
35;Totale Nederlandse afzet;C DELFSTOFFEN;2002 oktober;108.3;4.3;1.0;108.3;4.3;1.0
36;Totale Nederlandse afzet;C DELFSTOFFEN;2002 november;109.8;1.5;4.4;109.8;1.5;4.4
37;Totale Nederlandse afzet;C DELFSTOFFEN;2002 december;113.2;3.1;9.0;113.2;3.1;9.0
38;Totale Nederlandse afzet;C DELFSTOFFEN;2002;104.7;;-8.7;104.7;;-8.7
39;Totale Nederlandse afzet;C DELFSTOFFEN;2003 januari;117.6;3.9;16.2;117.6;3.9;16.2
40;Totale Nederlandse afzet;C DELFSTOFFEN;2003 februari;117.5;0.0;13.9;117.5;0.0;13.9
41;Totale Nederlandse afzet;C DELFSTOFFEN;2003 maart;116.4;-0.9;13.5;116.4;-0.9;13.5
42;Totale Nederlandse afzet;C DELFSTOFFEN;2003 april;116.9;0.4;12.8;116.9;0.4;12.8
43;Totale Nederlandse afzet;C DELFSTOFFEN;2003 mei;117.6;0.6;14.7;117.6;0.6;14.7
44;Totale Nederlandse afzet;C DELFSTOFFEN;2003 juni;118.2;0.5;18.3;118.2;0.5;18.3
45;Totale Nederlandse afzet;C DELFSTOFFEN;2003 juli;106.8;-9.6;2.2;106.8;-9.6;2.2
46;Totale Nederlandse afzet;C DELFSTOFFEN;2003 augustus;105.9;-0.8;1.7;105.9;-0.8;1.7
47;Totale Nederlandse afzet;C DELFSTOFFEN;2003 september;104.1;-1.7;0.4;104.1;-1.7;0.4
48;Totale Nederlandse afzet;C DELFSTOFFEN;2003 oktober;104.6;0.5;-3.4;104.6;0.5;-3.4
49;Totale Nederlandse afzet;C DELFSTOFFEN;2003 november;105.8;1.2;-3.6;105.8;1.2;-3.6
50;Totale Nederlandse afzet;C DELFSTOFFEN;2003 december;109.5;3.5;-3.2;109.5;3.5;-3.2
51;Totale Nederlandse afzet;C DELFSTOFFEN;2003;111.7;;6.7;111.7;;6.7
52;Totale Nederlandse afzet;C DELFSTOFFEN;2004 januari;107.7;-1.7;-8.4;107.7;-1.7;-8.4
53;Totale Nederlandse afzet;C DELFSTOFFEN;2004 februari;108.2;0.5;-8.0;108.2;0.5;-8.0
54;Totale Nederlandse afzet;C DELFSTOFFEN;2004 maart;107.8;-0.4;-7.4;107.8;-0.4;-7.4
55;Totale Nederlandse afzet;C DELFSTOFFEN;2004 april;106.0;-1.6;-9.3;106.0;-1.6;-9.3
56;Totale Nederlandse afzet;C DELFSTOFFEN;2004 mei;105.4;-0.6;-10.4;105.4;-0.6;-10.4
57;Totale Nederlandse afzet;C DELFSTOFFEN;2004 juni;105.9;0.5;-10.4;105.9;0.5;-10.4
58;Totale Nederlandse afzet;C DELFSTOFFEN;2004 juli;107.7;1.7;0.9;107.7;1.7;0.9
59;Totale Nederlandse afzet;C DELFSTOFFEN;2004 augustus;107.9;0.1;1.9;107.9;0.1;1.9
60;Totale Nederlandse afzet;C DELFSTOFFEN;2004 september;109.7;1.7;5.3;109.7;1.7;5.3
61;Totale Nederlandse afzet;C DELFSTOFFEN;2004 oktober;118.0;7.6;12.8;118.0;7.6;12.8
62;Totale Nederlandse afzet;C DELFSTOFFEN;2004 november;119.4;1.2;12.8;119.4;1.2;12.8
63;Totale Nederlandse afzet;C DELFSTOFFEN;2004 december;118.8;-0.5;8.5;118.8;-0.5;8.5
64;Totale Nederlandse afzet;C DELFSTOFFEN;2004;110.2;;-1.4;110.2;;-1.4
65;Totale Nederlandse afzet;C DELFSTOFFEN;2005 januari;127.2;7.0;18.1;127.2;7.0;18.1
66;Totale Nederlandse afzet;C DELFSTOFFEN;2005 februari;127.9;0.6;18.2;127.9;0.6;18.2
67;Totale Nederlandse afzet;C DELFSTOFFEN;2005 maart;129.6;1.3;20.2;129.6;1.3;20.2
68;Totale Nederlandse afzet;C DELFSTOFFEN;2005 april;135.2;4.4;27.5;135.2;4.4;27.5
69;Totale Nederlandse afzet;C DELFSTOFFEN;2005 mei;134.0;-0.9;27.2;134.0;-0.9;27.2
70;Totale Nederlandse afzet;C DELFSTOFFEN;2005 juni;137.8;2.8;30.1;137.8;2.8;30.1
71;Totale Nederlandse afzet;C DELFSTOFFEN;2005 juli;143.9;4.4;33.6;143.9;4.4;33.6
72;Totale Nederlandse afzet;C DELFSTOFFEN;2005 augustus;148.4;3.1;37.6;148.4;3.1;37.6
73;Totale Nederlandse afzet;C DELFSTOFFEN;2005 september;151.7;2.2;38.3;151.7;2.2;38.3
74;Totale Nederlandse afzet;C DELFSTOFFEN;2005 oktober;162.2;6.9;37.5;162.2;6.9;37.5
75;Totale Nederlandse afzet;C DELFSTOFFEN;2005 november;162.2;0.0;35.9;162.2;0.0;35.9
76;Totale Nederlandse afzet;C DELFSTOFFEN;2005 december;171.1;5.5;44.0;171.1;5.5;44.0
77;Totale Nederlandse afzet;C DELFSTOFFEN;2005;144.3;;30.9;144.3;;30.9
78;Totale Nederlandse afzet;C DELFSTOFFEN;2006 januari;178.0;4.1;40.0;178.0;4.1;40.0
79;Totale Nederlandse afzet;C DELFSTOFFEN;2006 februari;178.0;0.0;39.2;178.0;0.0;39.2
80;Totale Nederlandse afzet;C DELFSTOFFEN;2006 maart;180.0;1.1;38.9;180.0;1.1;38.9
81;Totale Nederlandse afzet;C DELFSTOFFEN;2006 april;185.7;3.1;37.3;185.7;3.1;37.3
82;Totale Nederlandse afzet;C DELFSTOFFEN;2006 mei;192.4;3.6;43.6;192.4;3.6;43.6
83;Totale Nederlandse afzet;C DELFSTOFFEN;2006 juni;192.3;-0.1;39.5;192.3;-0.1;39.5
84;Totale Nederlandse afzet;C DELFSTOFFEN;2006 juli;193.4;0.6;34.3;193.4;0.6;34.3
85;Totale Nederlandse afzet;C DELFSTOFFEN;2006 augustus;188.3;-2.6;26.9;188.3;-2.6;26.9
86;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 januari;79.7;;;79.7;;
87;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 februari;81.6;2.4;;81.6;2.4;
88;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 maart;83.0;1.7;;83.0;1.7;
89;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 april;92.7;11.7;;92.7;11.7;
90;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 mei;97.0;4.6;;97.0;4.6;
91;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 juni;98.4;1.4;;98.4;1.4;
92;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 juli;106.1;7.8;;106.1;7.8;
93;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 augustus;107.7;1.6;;107.7;1.6;
94;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 september;109.6;1.7;;109.6;1.7;
95;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 oktober;114.0;4.1;;114.0;4.1;
96;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 november;114.7;0.6;;114.7;0.6;
97;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 december;115.6;0.8;;115.6;0.8;
98;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000;100.0;;;100.0;;
99;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 januari;120.1;3.9;50.7;120.1;3.9;50.7
100;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 februari;124.3;3.5;52.3;124.3;3.5;52.3
101;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 maart;124.2;-0.1;49.7;124.2;-0.1;49.7
102;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 april;118.4;-4.7;27.7;118.4;-4.7;27.7
103;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 mei;119.2;0.7;22.9;119.2;0.7;22.9
104;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 juni;120.9;1.4;22.9;120.9;1.4;22.9
105;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 juli;118.1;-2.2;11.4;118.1;-2.2;11.4
106;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 augustus;113.8;-3.7;5.6;113.8;-3.7;5.6
107;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 september;111.2;-2.3;1.5;111.2;-2.3;1.5
108;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 oktober;107.3;-3.5;-5.9;107.3;-3.5;-5.9
109;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 november;104.9;-2.2;-8.5;104.9;-2.2;-8.5
110;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 december;103.4;-1.4;-10.5;103.4;-1.4;-10.5
111;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001;115.5;;15.5;115.5;;15.5
112;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 januari;100.4;-2.9;-16.4;100.4;-2.9;-16.4
113;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 februari;102.1;1.6;-17.9;102.1;1.6;-17.9
114;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 maart;101.4;-0.7;-18.4;101.4;-0.7;-18.4
