ID;Vervoersland;LandVanLaden;LandVanLossen;Perioden;VervoerdLadinggewicht_1
0;België;België;België;2020;220356
1;België;België;België;2021;225011
2;België;België;België;2022;222182
3;België;België;België;2023;226623
4;België;België;Bulgarije;2020;15
5;België;België;Bulgarije;2021;42
6;België;België;Bulgarije;2022;20
7;België;België;Bulgarije;2023;165
8;België;België;Cyprus;2020;0
9;België;België;Cyprus;2021;0
10;België;België;Cyprus;2022;49
11;België;België;Cyprus;2023;0
12;België;België;Denemarken;2020;52
13;België;België;Denemarken;2021;8
14;België;België;Denemarken;2022;68
15;België;België;Denemarken;2023;72
16;België;België;Duitsland;2020;3292
17;België;België;Duitsland;2021;4210
18;België;België;Duitsland;2022;3826
19;België;België;Duitsland;2023;2704
20;België;België;Estland;2020;10
21;België;België;Estland;2021;0
22;België;België;Estland;2022;0
23;België;België;Estland;2023;0
24;België;België;Finland;2020;0
25;België;België;Finland;2021;0
26;België;België;Finland;2022;0
27;België;België;Finland;2023;0
28;België;België;Frankrijk;2020;13359
29;België;België;Frankrijk;2021;13478
30;België;België;Frankrijk;2022;13769
31;België;België;Frankrijk;2023;11958
32;België;België;Griekenland;2020;0
33;België;België;Griekenland;2021;105
34;België;België;Griekenland;2022;10
35;België;België;Griekenland;2023;0
36;België;België;Hongarije;2020;16
37;België;België;Hongarije;2021;208
38;België;België;Hongarije;2022;101
39;België;België;Hongarije;2023;213
40;België;België;Ierland;2020;9
41;België;België;Ierland;2021;0
42;België;België;Ierland;2022;0
43;België;België;Ierland;2023;0
44;België;België;Italië;2020;103
45;België;België;Italië;2021;110
46;België;België;Italië;2022;218
47;België;België;Italië;2023;81
48;België;België;Kroatië;2020;0
49;België;België;Kroatië;2021;7
50;België;België;Kroatië;2022;47
51;België;België;Kroatië;2023;59
52;België;België;Letland;2020;0
53;België;België;Letland;2021;0
54;België;België;Letland;2022;0
55;België;België;Letland;2023;0
56;België;België;Litouwen;2020;0
57;België;België;Litouwen;2021;0
58;België;België;Litouwen;2022;0
59;België;België;Litouwen;2023;0
60;België;België;Luxemburg;2020;929
61;België;België;Luxemburg;2021;872
62;België;België;Luxemburg;2022;539
63;België;België;Luxemburg;2023;596
64;België;België;Malta;2020;0
65;België;België;Malta;2021;0
66;België;België;Malta;2022;0
67;België;België;Malta;2023;0
68;België;België;Nederland;2020;7044
69;België;België;Nederland;2021;5943
70;België;België;Nederland;2022;4891
71;België;België;Nederland;2023;4353
72;België;België;Oostenrijk;2020;91
73;België;België;Oostenrijk;2021;95
74;België;België;Oostenrijk;2022;96
75;België;België;Oostenrijk;2023;137
76;België;België;Polen;2020;13
77;België;België;Polen;2021;6
78;België;België;Polen;2022;92
79;België;België;Polen;2023;47
80;België;België;Portugal;2020;9
81;België;België;Portugal;2021;0
82;België;België;Portugal;2022;111
83;België;België;Portugal;2023;0
84;België;België;Roemenië;2020;0
85;België;België;Roemenië;2021;0
86;België;België;Roemenië;2022;7
87;België;België;Roemenië;2023;9
88;België;België;Slovenië;2020;70
89;België;België;Slovenië;2021;35
90;België;België;Slovenië;2022;0
91;België;België;Slovenië;2023;0
92;België;België;Slowakije;2020;0
93;België;België;Slowakije;2021;0
94;België;België;Slowakije;2022;52
95;België;België;Slowakije;2023;5
96;België;België;Spanje;2020;112
97;België;België;Spanje;2021;84
98;België;België;Spanje;2022;170
99;België;België;Spanje;2023;240
100;België;België;Tsjechië;2020;19
101;België;België;Tsjechië;2021;7
102;België;België;Tsjechië;2022;203
103;België;België;Tsjechië;2023;149
104;België;België;Zweden;2020;0
105;België;België;Zweden;2021;0
106;België;België;Zweden;2022;10
107;België;België;Zweden;2023;5
108;België;België;Overige landen (Niet-EU);2020;659
109;België;België;Overige landen (Niet-EU);2021;222
110;België;België;Overige landen (Niet-EU);2022;129
111;België;België;Overige landen (Niet-EU);2023;258
112;België;Bulgarije;België;2020;0
113;België;Bulgarije;België;2021;10
114;België;Bulgarije;België;2022;63
115;België;Bulgarije;België;2023;5
116;België;Bulgarije;Bulgarije;2020;0
117;België;Bulgarije;Bulgarije;2021;0
118;België;Bulgarije;Bulgarije;2022;0
119;België;Bulgarije;Bulgarije;2023;0
120;België;Bulgarije;Cyprus;2020;0
121;België;Bulgarije;Cyprus;2021;0
122;België;Bulgarije;Cyprus;2022;0
123;België;Bulgarije;Cyprus;2023;0
124;België;Bulgarije;Denemarken;2020;0
125;België;Bulgarije;Denemarken;2021;0
126;België;Bulgarije;Denemarken;2022;0
127;België;Bulgarije;Denemarken;2023;0
128;België;Bulgarije;Duitsland;2020;0
129;België;Bulgarije;Duitsland;2021;0
130;België;Bulgarije;Duitsland;2022;0
131;België;Bulgarije;Duitsland;2023;0
132;België;Bulgarije;Estland;2020;0
133;België;Bulgarije;Estland;2021;0
134;België;Bulgarije;Estland;2022;0
135;België;Bulgarije;Estland;2023;0
136;België;Bulgarije;Finland;2020;0
137;België;Bulgarije;Finland;2021;0
138;België;Bulgarije;Finland;2022;0
139;België;Bulgarije;Finland;2023;0
140;België;Bulgarije;Frankrijk;2020;0
141;België;Bulgarije;Frankrijk;2021;7
142;België;Bulgarije;Frankrijk;2022;0
143;België;Bulgarije;Frankrijk;2023;49
144;België;Bulgarije;Griekenland;2020;0
145;België;Bulgarije;Griekenland;2021;0
146;België;Bulgarije;Griekenland;2022;0
147;België;Bulgarije;Griekenland;2023;0
148;België;Bulgarije;Hongarije;2020;0
149;België;Bulgarije;Hongarije;2021;0
150;België;Bulgarije;Hongarije;2022;0
151;België;Bulgarije;Hongarije;2023;0
152;België;Bulgarije;Ierland;2020;0
153;België;Bulgarije;Ierland;2021;0
154;België;Bulgarije;Ierland;2022;0
155;België;Bulgarije;Ierland;2023;0
156;België;Bulgarije;Italië;2020;0
157;België;Bulgarije;Italië;2021;0
158;België;Bulgarije;Italië;2022;0
159;België;Bulgarije;Italië;2023;0
160;België;Bulgarije;Kroatië;2020;0
161;België;Bulgarije;Kroatië;2021;0
162;België;Bulgarije;Kroatië;2022;0
163;België;Bulgarije;Kroatië;2023;0
164;België;Bulgarije;Letland;2020;0
165;België;Bulgarije;Letland;2021;0
166;België;Bulgarije;Letland;2022;0
167;België;Bulgarije;Letland;2023;0
168;België;Bulgarije;Litouwen;2020;0
169;België;Bulgarije;Litouwen;2021;0
170;België;Bulgarije;Litouwen;2022;0
171;België;Bulgarije;Litouwen;2023;0
172;België;Bulgarije;Luxemburg;2020;0
173;België;Bulgarije;Luxemburg;2021;0
174;België;Bulgarije;Luxemburg;2022;0
175;België;Bulgarije;Luxemburg;2023;0
176;België;Bulgarije;Malta;2020;0
177;België;Bulgarije;Malta;2021;0
178;België;Bulgarije;Malta;2022;0
179;België;Bulgarije;Malta;2023;0
180;België;Bulgarije;Nederland;2020;0
181;België;Bulgarije;Nederland;2021;0
182;België;Bulgarije;Nederland;2022;0
183;België;Bulgarije;Nederland;2023;8
184;België;Bulgarije;Oostenrijk;2020;0
185;België;Bulgarije;Oostenrijk;2021;0
186;België;Bulgarije;Oostenrijk;2022;0
187;België;Bulgarije;Oostenrijk;2023;0
188;België;Bulgarije;Polen;2020;0
189;België;Bulgarije;Polen;2021;0
190;België;Bulgarije;Polen;2022;0
191;België;Bulgarije;Polen;2023;0
192;België;Bulgarije;Portugal;2020;0
193;België;Bulgarije;Portugal;2021;0
194;België;Bulgarije;Portugal;2022;0
195;België;Bulgarije;Portugal;2023;0
196;België;Bulgarije;Roemenië;2020;0
197;België;Bulgarije;Roemenië;2021;0
198;België;Bulgarije;Roemenië;2022;0
199;België;Bulgarije;Roemenië;2023;0
200;België;Bulgarije;Slovenië;2020;0
201;België;Bulgarije;Slovenië;2021;0
202;België;Bulgarije;Slovenië;2022;0
203;België;Bulgarije;Slovenië;2023;0
204;België;Bulgarije;Slowakije;2020;0
205;België;Bulgarije;Slowakije;2021;0
206;België;Bulgarije;Slowakije;2022;0
207;België;Bulgarije;Slowakije;2023;0
208;België;Bulgarije;Spanje;2020;0
209;België;Bulgarije;Spanje;2021;0
210;België;Bulgarije;Spanje;2022;0
211;België;Bulgarije;Spanje;2023;0
212;België;Bulgarije;Tsjechië;2020;0
213;België;Bulgarije;Tsjechië;2021;0
214;België;Bulgarije;Tsjechië;2022;0
215;België;Bulgarije;Tsjechië;2023;0
216;België;Bulgarije;Zweden;2020;0
217;België;Bulgarije;Zweden;2021;0
218;België;Bulgarije;Zweden;2022;0
219;België;Bulgarije;Zweden;2023;0
220;België;Bulgarije;Overige landen (Niet-EU);2020;0
221;België;Bulgarije;Overige landen (Niet-EU);2021;0
222;België;Bulgarije;Overige landen (Niet-EU);2022;0
223;België;Bulgarije;Overige landen (Niet-EU);2023;0
224;België;Cyprus;België;2020;0
