ID;Leeftijd;Perioden;TotaalAantalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
0;Totaal over alle leeftijden;2003;7001384;2402927;4598457;2282742;899159;968460;448096
1;Totaal over alle leeftijden;2004;7061120;2447664;4613456;2291913;894148;978323;449072
2;Totaal over alle leeftijden;2005;7117670;2490564;4627106;2299698;889908;988219;449281
3;Totaal over alle leeftijden;2006;7172903;2533200;4639703;2307344;886529;997232;448598
4;Totaal over alle leeftijden;2007;7227827;2575700;4652127;2315887;884578;1004866;446796
5;Totaal over alle leeftijden;2008;7283343;2618406;4664937;2326136;883139;1011490;444172
6;Totaal over alle leeftijden;2009;7340047;2661605;4678442;2337371;882953;1017101;441017
7;Totaal over alle leeftijden;2010;7397851;2705143;4692708;2350827;883652;1021299;436930
8;Totaal over alle leeftijden;2011;7456046;2748484;4707562;2365978;884857;1024236;432491
9;Totaal over alle leeftijden;2012;7514111;2791375;4722736;2382773;885887;1026292;427784
10;Totaal over alle leeftijden;2013;7571417;2833542;4737875;2400828;886469;1027444;423134
11;Totaal over alle leeftijden;2014;7627416;2874681;4752735;2420176;886511;1027868;418180
12;Totaal over alle leeftijden;2015;7681773;2914591;4767182;2439904;885974;1027918;413386
13;Totaal over alle leeftijden;2016;7734574;2953434;4781140;2459396;884972;1027971;408801
14;Totaal over alle leeftijden;2017;7785879;2991418;4794461;2477768;883512;1028521;404660
15;Totaal over alle leeftijden;2018;7835664;3028544;4807120;2495080;882078;1029216;400746
16;Totaal over alle leeftijden;2019;7883934;3064866;4819068;2510898;880580;1030244;397346
17;Totaal over alle leeftijden;2020;7930283;3099911;4830372;2526629;879113;1030553;394077
18;Totaal over alle leeftijden;2021;7974799;3133699;4841100;2541824;877463;1030570;391243
19;Totaal over alle leeftijden;2022;8017648;3166328;4851320;2556599;875269;1030392;389060
20;Totaal over alle leeftijden;2023;8058553;3197483;4861070;2571827;872176;1029748;387319
21;Totaal over alle leeftijden;2024;8097083;3226851;4870232;2587248;868013;1028895;386076
22;Totaal over alle leeftijden;2025;8132961;3254219;4878742;2602549;862758;1028071;385364
23;Totaal over alle leeftijden;2026;8165768;3279364;4886404;2617058;856677;1027523;385146
24;Totaal over alle leeftijden;2027;8195406;3302263;4893143;2630299;849959;1027536;385349
25;Totaal over alle leeftijden;2028;8221626;3322899;4898727;2641701;842856;1028254;385916
26;Totaal over alle leeftijden;2029;8244296;3341105;4903191;2650998;835626;1029766;386801
27;Totaal over alle leeftijden;2030;8263454;3357023;4906431;2657961;828500;1032068;387902
28;Totaal over alle leeftijden;2031;8279191;3370847;4908344;2662433;821709;1035074;389128
29;Totaal over alle leeftijden;2032;8291763;3382692;4909071;2664658;815350;1038646;390417
30;Totaal over alle leeftijden;2033;8301458;3392738;4908720;2664913;809559;1042564;391684
31;Totaal over alle leeftijden;2034;8308454;3401085;4907369;2663449;804425;1046616;392879
32;Totaal over alle leeftijden;2035;8313089;3407859;4905230;2660692;800021;1050561;393956
33;Totaal over alle leeftijden;2036;8315671;3413201;4902470;2657001;796407;1054176;394886
34;Totaal over alle leeftijden;2037;8316408;3417106;4899302;2652716;793631;1057314;395641
35;Totaal over alle leeftijden;2038;8315668;3419812;4895856;2648188;791584;1059896;396188
36;Totaal over alle leeftijden;2039;8313647;3421335;4892312;2643653;790337;1061796;396526
37;Totaal over alle leeftijden;2040;8310588;3421736;4888852;2639437;789728;1063063;396624
38;Totaal over alle leeftijden;2041;8306787;3421192;4885595;2635766;789638;1063711;396480
39;Totaal over alle leeftijden;2042;8302239;3419663;4882576;2632663;790010;1063798;396105
40;Totaal over alle leeftijden;2043;8297116;3417227;4879889;2630283;790691;1063378;395537
41;Totaal over alle leeftijden;2044;8291470;3413882;4877588;2628645;791618;1062539;394786
42;Totaal over alle leeftijden;2045;8285311;3409600;4875711;2627792;792644;1061372;393903
43;Totaal over alle leeftijden;2046;8278729;3404452;4874277;2627660;793745;1059968;392904
44;Totaal over alle leeftijden;2047;8271767;3398434;4873333;2628228;794871;1058412;391822
45;Totaal over alle leeftijden;2048;8264339;3391416;4872923;2629489;795950;1056774;390710
46;Totaal over alle leeftijden;2049;8256647;3383579;4873068;2631415;796970;1055101;389582
47;Totaal over alle leeftijden;2050;8248697;3374906;4873791;2633956;797916;1053427;388492
