ID;Bedrijfstypen;RegioS;Perioden;TotaalAantalLandbouwbedrijven_1;VerkoopAanHuisTotaal_2;RechtstreekseVerkoopAanDeConsument_3;VerkoopVia1Tussenschakel_4;StallingVanGoederenOfDieren_5;Agrotoerisme_6;VerwerkingLandbouwproducten_7;Zorglandbouw_8;Aquacultuur_9;LoonwerkVoorDerden_10;AgrarischNatuurEnLandschapsbeheer_11;AgrarischeKinderopvang_12;BoerderijEducatie_13;EnergieproductieLeveringAanDerden_14;OpbrengstMinderDan10_15;Opbrengst1050_16;OpbrengstMeerDan50_17
0;Totaal alle bedrijfstypen;Nederland;1998;104873;4101;;;;2955;1261;318;;;3454;;;;;;
1;Totaal alle bedrijfstypen;Nederland;1999;101545;3369;;;1830.0;2241;1169;474;;;4715;;;;;;
2;Totaal alle bedrijfstypen;Nederland;2003;85408;5374;;;3829.0;2533;1104;372;154.0;4979.0;22766;;;;;;
3;Totaal alle bedrijfstypen;Nederland;2005;81750;4529;;;2929.0;2893;1057;541;50.0;3617.0;13210;;;;;;
4;Totaal alle bedrijfstypen;Nederland;2007;76741;2851;;;2321.0;2455;686;605;27.0;2145.0;8115;;;;;;
5;Totaal alle bedrijfstypen;Nederland;2008;75151;2188;;;2105.0;2147;696;638;18.0;2075.0;5249;;;;55.0;33.0;12.0
6;Totaal alle bedrijfstypen;Nederland;2009;73008;2252;;;2193.0;2237;731;707;18.0;2180.0;5773;64.0;108.0;;54.0;36.0;10.0
7;Totaal alle bedrijfstypen;Nederland;2010;72324;3043;;;2924.0;2832;1123;865;24.0;4050.0;7922;184.0;646.0;897.0;58.0;30.0;12.0
8;Totaal alle bedrijfstypen;Nederland;2011;70392;3300;;;3349.0;2884;1211;931;27.0;4357.0;8280;209.0;791.0;1187.0;57.0;30.0;13.0
9;Totaal alle bedrijfstypen;Nederland;2013;67481;3127;;;2809.0;2777;1041;874;25.0;4071.0;7404;219.0;798.0;1222.0;61.0;28.0;11.0
10;Totaal alle bedrijfstypen;Nederland;2016;55688;2641;;;1955.0;1836;734;614;9.0;3586.0;5268;142.0;686.0;994.0;62.0;30.0;8.0
11;Totaal alle bedrijfstypen;Nederland;2020;52695;7234;5127.0;3833.0;2990.0;1995;1167;701;11.0;5437.0;8190;179.0;1004.0;3508.0;56.0;25.0;19.0
12;Totaal alle bedrijfstypen;Nederland;2023;50634;7857;5592.0;4101.0;3410.0;2200;1445;706;10.0;6125.0;9167;153.0;1304.0;6110.0;56.0;25.0;19.0
13;Totaal alle bedrijfstypen;Noord-Nederland (LD);1998;17110;373;;;;465;151;45;;;861;;;;;;
14;Totaal alle bedrijfstypen;Noord-Nederland (LD);1999;16810;315;;;200.0;340;147;63;;;1193;;;;;;
15;Totaal alle bedrijfstypen;Noord-Nederland (LD);2003;14561;524;;;437.0;369;143;53;10.0;999.0;5252;;;;;;
16;Totaal alle bedrijfstypen;Noord-Nederland (LD);2005;14106;503;;;369.0;456;133;90;4.0;770.0;3683;;;;;;
17;Totaal alle bedrijfstypen;Noord-Nederland (LD);2007;13378;347;;;318.0;375;74;106;5.0;465.0;2460;;;;;;
18;Totaal alle bedrijfstypen;Noord-Nederland (LD);2008;13343;278;;;277.0;323;93;101;2.0;464.0;1799;;;;67.0;26.0;7.0
19;Totaal alle bedrijfstypen;Noord-Nederland (LD);2009;12995;290;;;275.0;339;104;125;3.0;499.0;1981;14.0;20.0;;65.0;28.0;7.0
20;Totaal alle bedrijfstypen;Noord-Nederland (LD);2010;12880;387;;;354.0;431;162;139;3.0;886.0;2751;43.0;99.0;242.0;68.0;25.0;7.0
21;Totaal alle bedrijfstypen;Noord-Nederland (LD);2011;12608;411;;;434.0;441;176;152;1.0;952.0;2786;48.0;118.0;325.0;66.0;26.0;8.0
22;Totaal alle bedrijfstypen;Noord-Nederland (LD);2013;12295;392;;;349.0;399;124;146;4.0;868.0;2526;55.0;117.0;366.0;70.0;23.0;7.0
23;Totaal alle bedrijfstypen;Noord-Nederland (LD);2016;9926;321;;;206.0;231;109;93;1.0;749.0;1774;25.0;120.0;289.0;73.0;22.0;5.0
24;Totaal alle bedrijfstypen;Noord-Nederland (LD);2020;9490;915;646.0;485.0;344.0;266;159;99;0.0;1165.0;2322;33.0;180.0;770.0;68.0;20.0;12.0
