ID;BedrijfstakBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenJaarEerder_4;TotaleOmzet_5;Verkoopprijzen_6;Personeelssterkte_7;OnvoldoendeVraag_8;Financieel_9;NederlandseMarkt_10;BuitenlandseMarktBinnenEU_11;BuitenlandseMarktBuitenEU_12;AantalFaillissementen_13;OntwikkelingTOVEenJaarEerder_14;AantalWerkzamePersonen_15;Totaal_16;NettoOmzet_17;OverigeBedrijfsopbrengsten_18;Totaal_19;InkoopwaardeOmzet_20;PersoneleKosten_21;OverigeBedrijfskosten_22;AfschrijvingenOpVasteActiva_23;Bedrijfsresultaat_24
0;B Delfstoffenwinning;2008 1e kwartaal;152.5;30.3;112.0;8.2;;;;;;;;;0.0;;;;;;;;;;;
1;B Delfstoffenwinning;2008 2e kwartaal;93.4;60.4;127.8;14.0;;;;;;;;;0.0;;;;;;;;;;;
2;B Delfstoffenwinning;2008 3e kwartaal;88.5;47.0;147.8;15.7;;;;;;;;;0.0;;;;;;;;;;;
3;B Delfstoffenwinning;2008 4e kwartaal;172.4;22.9;145.3;-1.7;10.8;21.7;14.3;3.2;0.0;22.1;13.2;-2.7;0.0;;;;;;;;;;;
4;B Delfstoffenwinning;2008;126.7;34.9;133.3;29.9;;;;;;;;;0.0;;;;;;;;;;;
5;B Delfstoffenwinning;2009 1e kwartaal;158.8;4.1;124.5;-14.4;-26.4;-11.4;-8.8;7.3;8.2;-4.6;-7.6;-13.3;0.0;;;;;;;;;;;
6;B Delfstoffenwinning;2009 2e kwartaal;63.6;-31.9;96.7;-22.3;-47.1;-38.7;-27.8;20.2;5.7;2.8;0.5;0.0;0.0;;;;;;;;;;;
7;B Delfstoffenwinning;2009 3e kwartaal;55.9;-36.8;84.2;-12.8;-42.2;-9.8;4.0;17.4;12.3;3.8;-3.5;0.0;0.0;;;;;;;;;;;
8;B Delfstoffenwinning;2009 4e kwartaal;110.2;-36.1;89.5;6.2;-3.6;-5.7;-3.1;15.3;30.0;0.2;0.7;-0.3;0.0;;;;;;;;;;;
9;B Delfstoffenwinning;2009;97.1;-23.4;98.6;-26.1;;;;;;;;;0.0;;13.3;38394.0;37939.0;455.0;30829.0;21319.0;1023.0;7071.0;1417.0;7565.0
10;B Delfstoffenwinning;2010 1e kwartaal;127.5;-19.7;90.2;0.8;-28.0;-9.5;8.5;16.9;10.5;4.8;-8.9;-4.4;0.0;;;;;;;;;;;
11;B Delfstoffenwinning;2010 2e kwartaal;72.4;13.9;96.2;6.6;-7.3;5.2;1.8;10.7;9.7;11.9;12.7;6.3;0.0;;;;;;;;;;;
