ID;Landbouwdieren;Perioden;Veestapel_1
0;Rundvee (totaal);2018 april;3897
1;Rundvee (totaal);2018 december;3690
2;Rundvee (totaal);2019 april;3750
3;Rundvee (totaal);2019 december;3721
4;Rundvee (totaal);2020 april;3766
5;Rundvee (totaal);2020 december;3691
6;Rundvee (totaal);2021 april;3732
7;Rundvee (totaal);2021 december;3705
8;Rundvee (totaal);2022 april;3766
9;Rundvee (totaal);2022 december;3751
10;Rundvee (totaal);2023 april;3749
11;Rundvee (totaal);2023 december;3739
12;Rundvee (totaal);2024 april;3693
13;Rundvee (totaal);2024 december;3542
14;Jongvee melkveehouderij (totaal);2018 april;1032
15;Jongvee melkveehouderij (totaal);2018 december;951
16;Jongvee melkveehouderij (totaal);2019 april;924
17;Jongvee melkveehouderij (totaal);2019 december;954
18;Jongvee melkveehouderij (totaal);2020 april;935
19;Jongvee melkveehouderij (totaal);2020 december;985
20;Jongvee melkveehouderij (totaal);2021 april;966
21;Jongvee melkveehouderij (totaal);2021 december;984
22;Jongvee melkveehouderij (totaal);2022 april;982
23;Jongvee melkveehouderij (totaal);2022 december;1006
24;Jongvee melkveehouderij (totaal);2023 april;992
25;Jongvee melkveehouderij (totaal);2023 december;1000
26;Jongvee melkveehouderij (totaal);2024 april;967
27;Jongvee melkveehouderij (totaal);2024 december;940
28;Jongvee melkveehouderij, < 1 jaar, vrouw;2018 april;438
29;Jongvee melkveehouderij, < 1 jaar, vrouw;2018 december;407
30;Jongvee melkveehouderij, < 1 jaar, vrouw;2019 april;410
31;Jongvee melkveehouderij, < 1 jaar, vrouw;2019 december;434
32;Jongvee melkveehouderij, < 1 jaar, vrouw;2020 april;439
33;Jongvee melkveehouderij, < 1 jaar, vrouw;2020 december;455
34;Jongvee melkveehouderij, < 1 jaar, vrouw;2021 april;451
35;Jongvee melkveehouderij, < 1 jaar, vrouw;2021 december;449
36;Jongvee melkveehouderij, < 1 jaar, vrouw;2022 april;453
37;Jongvee melkveehouderij, < 1 jaar, vrouw;2022 december;463
38;Jongvee melkveehouderij, < 1 jaar, vrouw;2023 april;456
39;Jongvee melkveehouderij, < 1 jaar, vrouw;2023 december;442
40;Jongvee melkveehouderij, < 1 jaar, vrouw;2024 april;430
41;Jongvee melkveehouderij, < 1 jaar, vrouw;2024 december;413
42;Jongvee melkveehouderij, < 1 jaar, man;2018 april;45
43;Jongvee melkveehouderij, < 1 jaar, man;2018 december;47
44;Jongvee melkveehouderij, < 1 jaar, man;2019 april;43
45;Jongvee melkveehouderij, < 1 jaar, man;2019 december;52
46;Jongvee melkveehouderij, < 1 jaar, man;2020 april;41
47;Jongvee melkveehouderij, < 1 jaar, man;2020 december;54
48;Jongvee melkveehouderij, < 1 jaar, man;2021 april;41
49;Jongvee melkveehouderij, < 1 jaar, man;2021 december;48
50;Jongvee melkveehouderij, < 1 jaar, man;2022 april;40
51;Jongvee melkveehouderij, < 1 jaar, man;2022 december;51
52;Jongvee melkveehouderij, < 1 jaar, man;2023 april;43
53;Jongvee melkveehouderij, < 1 jaar, man;2023 december;49
54;Jongvee melkveehouderij, < 1 jaar, man;2024 april;44
55;Jongvee melkveehouderij, < 1 jaar, man;2024 december;51
56;Jongvee melkveehouderij, 1-2 jaar, vrouw;2018 april;447
57;Jongvee melkveehouderij, 1-2 jaar, vrouw;2018 december;399
58;Jongvee melkveehouderij, 1-2 jaar, vrouw;2019 april;388
59;Jongvee melkveehouderij, 1-2 jaar, vrouw;2019 december;373
60;Jongvee melkveehouderij, 1-2 jaar, vrouw;2020 april;373
61;Jongvee melkveehouderij, 1-2 jaar, vrouw;2020 december;394
62;Jongvee melkveehouderij, 1-2 jaar, vrouw;2021 april;399
63;Jongvee melkveehouderij, 1-2 jaar, vrouw;2021 december;405
64;Jongvee melkveehouderij, 1-2 jaar, vrouw;2022 april;413
65;Jongvee melkveehouderij, 1-2 jaar, vrouw;2022 december;412
66;Jongvee melkveehouderij, 1-2 jaar, vrouw;2023 april;415
67;Jongvee melkveehouderij, 1-2 jaar, vrouw;2023 december;423
68;Jongvee melkveehouderij, 1-2 jaar, vrouw;2024 april;414
69;Jongvee melkveehouderij, 1-2 jaar, vrouw;2024 december;395
70;Jongvee melkveehouderij, 1-2 jaar, man;2018 april;8
71;Jongvee melkveehouderij, 1-2 jaar, man;2018 december;10
72;Jongvee melkveehouderij, 1-2 jaar, man;2019 april;8
73;Jongvee melkveehouderij, 1-2 jaar, man;2019 december;9
74;Jongvee melkveehouderij, 1-2 jaar, man;2020 april;8
75;Jongvee melkveehouderij, 1-2 jaar, man;2020 december;10
76;Jongvee melkveehouderij, 1-2 jaar, man;2021 april;10
77;Jongvee melkveehouderij, 1-2 jaar, man;2021 december;10
78;Jongvee melkveehouderij, 1-2 jaar, man;2022 april;9
79;Jongvee melkveehouderij, 1-2 jaar, man;2022 december;10
80;Jongvee melkveehouderij, 1-2 jaar, man;2023 april;9
81;Jongvee melkveehouderij, 1-2 jaar, man;2023 december;11
82;Jongvee melkveehouderij, 1-2 jaar, man;2024 april;9
83;Jongvee melkveehouderij, 1-2 jaar, man;2024 december;10
84;Jongvee melkveehouderij, >= 2 jaar, vr..;2018 april;93
85;Jongvee melkveehouderij, >= 2 jaar, vr..;2018 december;88
86;Jongvee melkveehouderij, >= 2 jaar, vr..;2019 april;74
87;Jongvee melkveehouderij, >= 2 jaar, vr..;2019 december;86
88;Jongvee melkveehouderij, >= 2 jaar, vr..;2020 april;74
89;Jongvee melkveehouderij, >= 2 jaar, vr..;2020 december;72
90;Jongvee melkveehouderij, >= 2 jaar, vr..;2021 april;65
91;Jongvee melkveehouderij, >= 2 jaar, vr..;2021 december;72
92;Jongvee melkveehouderij, >= 2 jaar, vr..;2022 april;67
93;Jongvee melkveehouderij, >= 2 jaar, vr..;2022 december;71
94;Jongvee melkveehouderij, >= 2 jaar, vr..;2023 april;70
95;Jongvee melkveehouderij, >= 2 jaar, vr..;2023 december;76
96;Jongvee melkveehouderij, >= 2 jaar, vr..;2024 april;70
97;Jongvee melkveehouderij, >= 2 jaar, vr..;2024 december;72
98;Melk- en kalfkoeien (>= 2 jaar);2018 april;1622
99;Melk- en kalfkoeien (>= 2 jaar);2018 december;1552
100;Melk- en kalfkoeien (>= 2 jaar);2019 april;1578
101;Melk- en kalfkoeien (>= 2 jaar);2019 december;1590
102;Melk- en kalfkoeien (>= 2 jaar);2020 april;1593
103;Melk- en kalfkoeien (>= 2 jaar);2020 december;1569
104;Melk- en kalfkoeien (>= 2 jaar);2021 april;1571
105;Melk- en kalfkoeien (>= 2 jaar);2021 december;1554
106;Melk- en kalfkoeien (>= 2 jaar);2022 april;1571
107;Melk- en kalfkoeien (>= 2 jaar);2022 december;1570
108;Melk- en kalfkoeien (>= 2 jaar);2023 april;1574
109;Melk- en kalfkoeien (>= 2 jaar);2023 december;1552
110;Melk- en kalfkoeien (>= 2 jaar);2024 april;1544
111;Melk- en kalfkoeien (>= 2 jaar);2024 december;1521
112;Vleeskalveren (totaal);2018 april;995
113;Vleeskalveren (totaal);2018 december;988
114;Vleeskalveren (totaal);2019 april;1005
115;Vleeskalveren (totaal);2019 december;978
116;Vleeskalveren (totaal);2020 april;1000
117;Vleeskalveren (totaal);2020 december;939
118;Vleeskalveren (totaal);2021 april;958
119;Vleeskalveren (totaal);2021 december;960
120;Vleeskalveren (totaal);2022 april;974
121;Vleeskalveren (totaal);2022 december;953
122;Vleeskalveren (totaal);2023 april;927
123;Vleeskalveren (totaal);2023 december;957
124;Vleeskalveren (totaal);2024 april;925
125;Vleeskalveren (totaal);2024 december;858
126;Vleeskalveren voor rosé-vlees (< 1 jaar);2018 april;366
127;Vleeskalveren voor rosé-vlees (< 1 jaar);2018 december;355
128;Vleeskalveren voor rosé-vlees (< 1 jaar);2019 april;373
129;Vleeskalveren voor rosé-vlees (< 1 jaar);2019 december;364
130;Vleeskalveren voor rosé-vlees (< 1 jaar);2020 april;371
131;Vleeskalveren voor rosé-vlees (< 1 jaar);2020 december;325
132;Vleeskalveren voor rosé-vlees (< 1 jaar);2021 april;339
133;Vleeskalveren voor rosé-vlees (< 1 jaar);2021 december;328
134;Vleeskalveren voor rosé-vlees (< 1 jaar);2022 april;351
135;Vleeskalveren voor rosé-vlees (< 1 jaar);2022 december;339
136;Vleeskalveren voor rosé-vlees (< 1 jaar);2023 april;336
137;Vleeskalveren voor rosé-vlees (< 1 jaar);2023 december;331
138;Vleeskalveren voor rosé-vlees (< 1 jaar);2024 april;324
139;Vleeskalveren voor rosé-vlees (< 1 jaar);2024 december;312
140;Vleeskalveren voor witvlees (< 1 jaar);2018 april;629
141;Vleeskalveren voor witvlees (< 1 jaar);2018 december;633
142;Vleeskalveren voor witvlees (< 1 jaar);2019 april;632
143;Vleeskalveren voor witvlees (< 1 jaar);2019 december;614
144;Vleeskalveren voor witvlees (< 1 jaar);2020 april;628
145;Vleeskalveren voor witvlees (< 1 jaar);2020 december;614
146;Vleeskalveren voor witvlees (< 1 jaar);2021 april;619
147;Vleeskalveren voor witvlees (< 1 jaar);2021 december;632
148;Vleeskalveren voor witvlees (< 1 jaar);2022 april;623
149;Vleeskalveren voor witvlees (< 1 jaar);2022 december;614
150;Vleeskalveren voor witvlees (< 1 jaar);2023 april;591
151;Vleeskalveren voor witvlees (< 1 jaar);2023 december;626
152;Vleeskalveren voor witvlees (< 1 jaar);2024 april;601
153;Vleeskalveren voor witvlees (< 1 jaar);2024 december;547
154;Jongvee vleesproductie (totaal);2018 april;170
155;Jongvee vleesproductie (totaal);2018 december;144
156;Jongvee vleesproductie (totaal);2019 april;166
157;Jongvee vleesproductie (totaal);2019 december;143
158;Jongvee vleesproductie (totaal);2020 april;166
159;Jongvee vleesproductie (totaal);2020 december;144
160;Jongvee vleesproductie (totaal);2021 april;168
161;Jongvee vleesproductie (totaal);2021 december;150
162;Jongvee vleesproductie (totaal);2022 april;174
163;Jongvee vleesproductie (totaal);2022 december;166
164;Jongvee vleesproductie (totaal);2023 april;191
165;Jongvee vleesproductie (totaal);2023 december;171
166;Jongvee vleesproductie (totaal);2024 april;192
167;Jongvee vleesproductie (totaal);2024 december;167
168;Jongvee vleesproductie, < 1 jaar, vrl.;2018 april;31
169;Jongvee vleesproductie, < 1 jaar, vrl.;2018 december;22
170;Jongvee vleesproductie, < 1 jaar, vrl.;2019 april;31
171;Jongvee vleesproductie, < 1 jaar, vrl.;2019 december;23
172;Jongvee vleesproductie, < 1 jaar, vrl.;2020 april;32
173;Jongvee vleesproductie, < 1 jaar, vrl.;2020 december;24
174;Jongvee vleesproductie, < 1 jaar, vrl.;2021 april;32
175;Jongvee vleesproductie, < 1 jaar, vrl.;2021 december;26
176;Jongvee vleesproductie, < 1 jaar, vrl.;2022 april;35
177;Jongvee vleesproductie, < 1 jaar, vrl.;2022 december;31
178;Jongvee vleesproductie, < 1 jaar, vrl.;2023 april;39
179;Jongvee vleesproductie, < 1 jaar, vrl.;2023 december;32
180;Jongvee vleesproductie, < 1 jaar, vrl.;2024 april;42
181;Jongvee vleesproductie, < 1 jaar, vrl.;2024 december;34
182;Jongvee vleesproductie, < 1 jaar, mnl.;2018 april;51
183;Jongvee vleesproductie, < 1 jaar, mnl.;2018 december;46
184;Jongvee vleesproductie, < 1 jaar, mnl.;2019 april;47
185;Jongvee vleesproductie, < 1 jaar, mnl.;2019 december;41
186;Jongvee vleesproductie, < 1 jaar, mnl.;2020 april;46
187;Jongvee vleesproductie, < 1 jaar, mnl.;2020 december;39
188;Jongvee vleesproductie, < 1 jaar, mnl.;2021 april;42
189;Jongvee vleesproductie, < 1 jaar, mnl.;2021 december;35
190;Jongvee vleesproductie, < 1 jaar, mnl.;2022 april;44
191;Jongvee vleesproductie, < 1 jaar, mnl.;2022 december;39
192;Jongvee vleesproductie, < 1 jaar, mnl.;2023 april;44
193;Jongvee vleesproductie, < 1 jaar, mnl.;2023 december;38
194;Jongvee vleesproductie, < 1 jaar, mnl.;2024 april;43
195;Jongvee vleesproductie, < 1 jaar, mnl.;2024 december;37
196;Jongvee vleesproductie, 1-2 jaar, vrl.;2018 april;27
197;Jongvee vleesproductie, 1-2 jaar, vrl.;2018 december;21
198;Jongvee vleesproductie, 1-2 jaar, vrl.;2019 april;27
199;Jongvee vleesproductie, 1-2 jaar, vrl.;2019 december;22
200;Jongvee vleesproductie, 1-2 jaar, vrl.;2020 april;28
201;Jongvee vleesproductie, 1-2 jaar, vrl.;2020 december;26
202;Jongvee vleesproductie, 1-2 jaar, vrl.;2021 april;32
203;Jongvee vleesproductie, 1-2 jaar, vrl.;2021 december;28
204;Jongvee vleesproductie, 1-2 jaar, vrl.;2022 april;33
205;Jongvee vleesproductie, 1-2 jaar, vrl.;2022 december;36
206;Jongvee vleesproductie, 1-2 jaar, vrl.;2023 april;42
207;Jongvee vleesproductie, 1-2 jaar, vrl.;2023 december;39
208;Jongvee vleesproductie, 1-2 jaar, vrl.;2024 april;43
209;Jongvee vleesproductie, 1-2 jaar, vrl.;2024 december;38
210;Jongvee vleesproductie, 1-2 jaar, mnl.;2018 april;37
211;Jongvee vleesproductie, 1-2 jaar, mnl.;2018 december;35
212;Jongvee vleesproductie, 1-2 jaar, mnl.;2019 april;36
213;Jongvee vleesproductie, 1-2 jaar, mnl.;2019 december;37
214;Jongvee vleesproductie, 1-2 jaar, mnl.;2020 april;36
215;Jongvee vleesproductie, 1-2 jaar, mnl.;2020 december;35
216;Jongvee vleesproductie, 1-2 jaar, mnl.;2021 april;38
217;Jongvee vleesproductie, 1-2 jaar, mnl.;2021 december;38
218;Jongvee vleesproductie, 1-2 jaar, mnl.;2022 april;39
219;Jongvee vleesproductie, 1-2 jaar, mnl.;2022 december;39
220;Jongvee vleesproductie, 1-2 jaar, mnl.;2023 april;40
221;Jongvee vleesproductie, 1-2 jaar, mnl.;2023 december;38
222;Jongvee vleesproductie, 1-2 jaar, mnl.;2024 april;36
223;Jongvee vleesproductie, 1-2 jaar, mnl.;2024 december;33
224;Jongvee vleesproductie, > = 2 jaar, vrl.;2018 april;24
225;Jongvee vleesproductie, > = 2 jaar, vrl.;2018 december;20
226;Jongvee vleesproductie, > = 2 jaar, vrl.;2019 april;25
227;Jongvee vleesproductie, > = 2 jaar, vrl.;2019 december;21
228;Jongvee vleesproductie, > = 2 jaar, vrl.;2020 april;24
229;Jongvee vleesproductie, > = 2 jaar, vrl.;2020 december;21
230;Jongvee vleesproductie, > = 2 jaar, vrl.;2021 april;23
231;Jongvee vleesproductie, > = 2 jaar, vrl.;2021 december;21
232;Jongvee vleesproductie, > = 2 jaar, vrl.;2022 april;23
233;Jongvee vleesproductie, > = 2 jaar, vrl.;2022 december;22
234;Jongvee vleesproductie, > = 2 jaar, vrl.;2023 april;25
235;Jongvee vleesproductie, > = 2 jaar, vrl.;2023 december;25
236;Jongvee vleesproductie, > = 2 jaar, vrl.;2024 april;27
237;Jongvee vleesproductie, > = 2 jaar, vrl.;2024 december;25
238;Overige runderen (totaal);2018 april;63
239;Overige runderen (totaal);2018 december;42
240;Overige runderen (totaal);2019 april;63
241;Overige runderen (totaal);2019 december;43
242;Overige runderen (totaal);2020 april;58
243;Overige runderen (totaal);2020 december;43
244;Overige runderen (totaal);2021 april;56
245;Overige runderen (totaal);2021 december;45
246;Overige runderen (totaal);2022 april;53
247;Overige runderen (totaal);2022 december;44
248;Overige runderen (totaal);2023 april;52
249;Overige runderen (totaal);2023 december;45
250;Overige runderen (totaal);2024 april;51
251;Overige runderen (totaal);2024 december;43
252;Stieren (>= 2 jaar) (totaal);2018 april;15
253;Stieren (>= 2 jaar) (totaal);2018 december;13
254;Stieren (>= 2 jaar) (totaal);2019 april;14
255;Stieren (>= 2 jaar) (totaal);2019 december;13
256;Stieren (>= 2 jaar) (totaal);2020 april;14
257;Stieren (>= 2 jaar) (totaal);2020 december;11
258;Stieren (>= 2 jaar) (totaal);2021 april;13
259;Stieren (>= 2 jaar) (totaal);2021 december;12
260;Stieren (>= 2 jaar) (totaal);2022 april;12
261;Stieren (>= 2 jaar) (totaal);2022 december;12
262;Stieren (>= 2 jaar) (totaal);2023 april;14
263;Stieren (>= 2 jaar) (totaal);2023 december;13
264;Stieren (>= 2 jaar) (totaal);2024 april;15
265;Stieren (>= 2 jaar) (totaal);2024 december;13
266;Schapen (totaal);2018 april;866
267;Schapen (totaal);2018 december;743
268;Schapen (totaal);2019 april;918
269;Schapen (totaal);2019 december;758
270;Schapen (totaal);2020 april;890
271;Schapen (totaal);2020 december;710
272;Schapen (totaal);2021 april;860
273;Schapen (totaal);2021 december;729
274;Schapen (totaal);2022 april;854
275;Schapen (totaal);2022 december;723
276;Schapen (totaal);2023 april;839
277;Schapen (totaal);2023 december;665
278;Schapen (totaal);2024 april;733
279;Schapen (totaal);2024 december;604
280;Schapen, 0-7 maanden;2018 april;327
281;Schapen, 0-7 maanden;2018 december;88
282;Schapen, 0-7 maanden;2019 april;335
283;Schapen, 0-7 maanden;2019 december;88
284;Schapen, 0-7 maanden;2020 april;341
285;Schapen, 0-7 maanden;2020 december;88
286;Schapen, 0-7 maanden;2021 april;338
287;Schapen, 0-7 maanden;2021 december;93
288;Schapen, 0-7 maanden;2022 april;313
289;Schapen, 0-7 maanden;2022 december;88
290;Schapen, 0-7 maanden;2023 april;289
291;Schapen, 0-7 maanden;2023 december;90
292;Schapen, 0-7 maanden;2024 april;237
293;Schapen, 0-7 maanden;2024 december;94
294;Schapen voor de melk, 7 mnd - 1 jaar;2018 april;1
295;Schapen voor de melk, 7 mnd - 1 jaar;2018 december;4
296;Schapen voor de melk, 7 mnd - 1 jaar;2019 april;2
297;Schapen voor de melk, 7 mnd - 1 jaar;2019 december;4
298;Schapen voor de melk, 7 mnd - 1 jaar;2020 april;1
299;Schapen voor de melk, 7 mnd - 1 jaar;2020 december;3
300;Schapen voor de melk, 7 mnd - 1 jaar;2021 april;1
301;Schapen voor de melk, 7 mnd - 1 jaar;2021 december;4
302;Schapen voor de melk, 7 mnd - 1 jaar;2022 april;1
303;Schapen voor de melk, 7 mnd - 1 jaar;2022 december;3
304;Schapen voor de melk, 7 mnd - 1 jaar;2023 april;2
305;Schapen voor de melk, 7 mnd - 1 jaar;2023 december;3
306;Schapen voor de melk, 7 mnd - 1 jaar;2024 april;1
307;Schapen voor de melk, 7 mnd - 1 jaar;2024 december;3
308;Schapen voor de melk, ouder dan 1 jaar;2018 april;11
309;Schapen voor de melk, ouder dan 1 jaar;2018 december;10
310;Schapen voor de melk, ouder dan 1 jaar;2019 april;14
311;Schapen voor de melk, ouder dan 1 jaar;2019 december;12
312;Schapen voor de melk, ouder dan 1 jaar;2020 april;14
313;Schapen voor de melk, ouder dan 1 jaar;2020 december;12
314;Schapen voor de melk, ouder dan 1 jaar;2021 april;14
315;Schapen voor de melk, ouder dan 1 jaar;2021 december;13
316;Schapen voor de melk, ouder dan 1 jaar;2022 april;13
317;Schapen voor de melk, ouder dan 1 jaar;2022 december;12
318;Schapen voor de melk, ouder dan 1 jaar;2023 april;14
319;Schapen voor de melk, ouder dan 1 jaar;2023 december;12
320;Schapen voor de melk, ouder dan 1 jaar;2024 april;11
321;Schapen voor de melk, ouder dan 1 jaar;2024 december;10
322;Overige schapen, 7 mnd - 1 jaar;2018 april;84
323;Overige schapen, 7 mnd - 1 jaar;2018 december;245
324;Overige schapen, 7 mnd - 1 jaar;2019 april;103
325;Overige schapen, 7 mnd - 1 jaar;2019 december;239
326;Overige schapen, 7 mnd - 1 jaar;2020 april;79
327;Overige schapen, 7 mnd - 1 jaar;2020 december;210
328;Overige schapen, 7 mnd - 1 jaar;2021 april;72
329;Overige schapen, 7 mnd - 1 jaar;2021 december;234
330;Overige schapen, 7 mnd - 1 jaar;2022 april;85
331;Overige schapen, 7 mnd - 1 jaar;2022 december;224
332;Overige schapen, 7 mnd - 1 jaar;2023 april;84
333;Overige schapen, 7 mnd - 1 jaar;2023 december;190
334;Overige schapen, 7 mnd - 1 jaar;2024 april;76
335;Overige schapen, 7 mnd - 1 jaar;2024 december;160
336;Overige schapen, ouder dan 1 jaar;2018 april;421
337;Overige schapen, ouder dan 1 jaar;2018 december;369
338;Overige schapen, ouder dan 1 jaar;2019 april;437
339;Overige schapen, ouder dan 1 jaar;2019 december;382
340;Overige schapen, ouder dan 1 jaar;2020 april;432
341;Overige schapen, ouder dan 1 jaar;2020 december;369
342;Overige schapen, ouder dan 1 jaar;2021 april;413
343;Overige schapen, ouder dan 1 jaar;2021 december;358
344;Overige schapen, ouder dan 1 jaar;2022 april;419
345;Overige schapen, ouder dan 1 jaar;2022 december;369
346;Overige schapen, ouder dan 1 jaar;2023 april;425
347;Overige schapen, ouder dan 1 jaar;2023 december;346
348;Overige schapen, ouder dan 1 jaar;2024 april;386
349;Overige schapen, ouder dan 1 jaar;2024 december;315
350;Rammen, >= 7 maanden;2018 april;22
351;Rammen, >= 7 maanden;2018 december;27
352;Rammen, >= 7 maanden;2019 april;27
353;Rammen, >= 7 maanden;2019 december;32
354;Rammen, >= 7 maanden;2020 april;24
355;Rammen, >= 7 maanden;2020 december;27
356;Rammen, >= 7 maanden;2021 april;22
357;Rammen, >= 7 maanden;2021 december;27
358;Rammen, >= 7 maanden;2022 april;23
359;Rammen, >= 7 maanden;2022 december;27
360;Rammen, >= 7 maanden;2023 april;25
361;Rammen, >= 7 maanden;2023 december;25
362;Rammen, >= 7 maanden;2024 april;20
363;Rammen, >= 7 maanden;2024 december;22
364;Geiten (totaal);2018 april;588
365;Geiten (totaal);2018 december;518
366;Geiten (totaal);2019 april;615
367;Geiten (totaal);2019 december;551
368;Geiten (totaal);2020 april;633
369;Geiten (totaal);2020 december;557
370;Geiten (totaal);2021 april;643
371;Geiten (totaal);2021 december;575
372;Geiten (totaal);2022 april;645
373;Geiten (totaal);2022 december;570
374;Geiten (totaal);2023 april;647
375;Geiten (totaal);2023 december;566
376;Geiten (totaal);2024 april;631
377;Geiten (totaal);2024 december;546
378;Geiten, 0-7 maanden;2018 april;137
379;Geiten, 0-7 maanden;2018 december;25
380;Geiten, 0-7 maanden;2019 april;133
381;Geiten, 0-7 maanden;2019 december;31
382;Geiten, 0-7 maanden;2020 april;132
383;Geiten, 0-7 maanden;2020 december;34
384;Geiten, 0-7 maanden;2021 april;137
385;Geiten, 0-7 maanden;2021 december;33
386;Geiten, 0-7 maanden;2022 april;133
387;Geiten, 0-7 maanden;2022 december;32
388;Geiten, 0-7 maanden;2023 april;134
389;Geiten, 0-7 maanden;2023 december;31
390;Geiten, 0-7 maanden;2024 april;133
391;Geiten, 0-7 maanden;2024 december;30
392;Melkgeiten, 7 mnd - 1 jaar;2018 april;45
393;Melkgeiten, 7 mnd - 1 jaar;2018 december;103
394;Melkgeiten, 7 mnd - 1 jaar;2019 april;37
395;Melkgeiten, 7 mnd - 1 jaar;2019 december;96
396;Melkgeiten, 7 mnd - 1 jaar;2020 april;35
397;Melkgeiten, 7 mnd - 1 jaar;2020 december;96
398;Melkgeiten, 7 mnd - 1 jaar;2021 april;32
399;Melkgeiten, 7 mnd - 1 jaar;2021 december;103
400;Melkgeiten, 7 mnd - 1 jaar;2022 april;33
401;Melkgeiten, 7 mnd - 1 jaar;2022 december;98
402;Melkgeiten, 7 mnd - 1 jaar;2023 april;32
403;Melkgeiten, 7 mnd - 1 jaar;2023 december;95
404;Melkgeiten, 7 mnd - 1 jaar;2024 april;29
405;Melkgeiten, 7 mnd - 1 jaar;2024 december;94
406;Melkgeiten, 1 jaar of ouder;2018 april;387
407;Melkgeiten, 1 jaar of ouder;2018 december;366
408;Melkgeiten, 1 jaar of ouder;2019 april;420
409;Melkgeiten, 1 jaar of ouder;2019 december;396
410;Melkgeiten, 1 jaar of ouder;2020 april;441
411;Melkgeiten, 1 jaar of ouder;2020 december;401
412;Melkgeiten, 1 jaar of ouder;2021 april;451
413;Melkgeiten, 1 jaar of ouder;2021 december;416
414;Melkgeiten, 1 jaar of ouder;2022 april;456
415;Melkgeiten, 1 jaar of ouder;2022 december;417
416;Melkgeiten, 1 jaar of ouder;2023 april;458
417;Melkgeiten, 1 jaar of ouder;2023 december;417
418;Melkgeiten, 1 jaar of ouder;2024 april;446
419;Melkgeiten, 1 jaar of ouder;2024 december;398
420;Overige geiten, 7 mnd - 1 jaar;2018 april;2
421;Overige geiten, 7 mnd - 1 jaar;2018 december;5
422;Overige geiten, 7 mnd - 1 jaar;2019 april;2
