ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;Groothandel_3;Detailhandel_4;Handelsbemiddeling_5;ReparatieOnderhoudEnHerstellen_6;VerhuurEnOperationalLease_7;OverigeDienstverlening_8;TotaalNettoOmzetHandel_9;NieuwePersonenautoS_10;NieuweVrachtautoS_11;NieuweAanhangersEnOpleggers_12;AccessoiresEnOnderdelen_13;MotorbrandstoffenEnOlie_14;Banden_15;GebruiktePersonenautoS_16;GebruikteVrachtautoS_17;GebruikteAanhangersEnOpleggers_18;OverigeHandelsgoederen_19;Bedrijven_20;TotaalNettoOmzetUitHoofdactiviteit_21;HandelLeveringEnMontage_22;ReparatieAutoOnderdelen_23;Autowasserij_24;Carrosserieherstel_25;CleanenReinigenOntvetten_26;SlepenEnBergen_27;OverigeDienstverlening_28;TotaalNettoOmzetHandel_29;AccuS_30;Autoruiten_31;BandenInclusiefUitlijnenBalanceren_32;Schokbrekers_33;RadiateursStartmotorenDynamoS_34;Uitlaten_35;OverigeHandelsgoederen_36;TotaalNettoOmzetOverigeActiviteiten_37;UitbesteedWerk_38;Handel_39;OverigeDienstverlening_40;Bedrijven_41;TotaalNettoOmzetUitHoofdactiviteit_42;Groothandel_43;Detailhandel_44;Handelsbemiddeling_45;OverigeDienstverlening_46;TotaalNettoOmzetHandel_47;AccessoiresEnOnderdelen_48;BandenVoorPersonenBedrijfsautoS_49;BandenVoorVliegtuigenLandbouwEn_50;OverigeHandelsgoederen_51;TotaalNettoOmzetOverigeActiviteiten_52;ReparatieOnderhoudEnHerstellen_53;UitbesteedWerk_54;Handel_55;OverigeDienstverlening_56;Bedrijven_57;TotaalNettoOmzetUitHoofdactiviteit_58;Groothandel_59;Detailhandel_60;OverigeDienstverlening_61;Handelsbemiddeling_62;TotaalNettoOmzetHandel_63;NieuweMotorfietsen_64;GebruikteMotorfietsen_65;Bromfietsen_66;MotorkledingEnHelmen_67;AccessoiresEnOnderdelen_68;OverigeHandelsgoederen_69;TotaalNettoOmzetOverigeActiviteiten_70;Verhuur_71;UitbesteedWerk_72;Handel_73;ReparatieOnderhoudEnHerstellen_74;OverigeDienstverlening_75;Bedrijven_76;TotaalNettoOmzetUitHoofdactiviteit_77;HandelMotorbrandstoffenEnDergelijke_78;OverigeDienstverlening_79;TotaalNettoOmzetHandel_80;SuperLoodvrij_81;Superbenzine_82;EuroLoodvrij_83;Mengbenzine_84;Diesel_85;AutogasLpg_86;Motorolie_87;Zoetwaren_88;IJs_89;DrankenWarmEnKoud_90;Snacks_91;TabaksartikelenEnRookgerei_92;OverigeVoedingsEnGenotmiddelen_93;TijdschriftenEnKranten_94;AudiovisueleProducten_95;Bloemen_96;AccessoiresOnderdelenEnBanden_97;OverigeHandelsgoederenNietEerder_98;TotaalNettoOmzetOverigeActiviteiten_99;ReparatieOnderhoudEnHerstellen_100;Verhuur_101;Autowassen_102;Handel_103;OverigeDienstverleningNietEerder_104
0;50102 Import van nieuwe personenauto's;2002;75.0;13161.0;13061.0;81.0;0.0;17.0;0.0;1.0;13142.0;10883.0;853.0;0.0;1145.0;3.0;6.0;180.0;20.0;0.0;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50102 Import van nieuwe personenauto's;2003;35.0;12941.0;12903.0;25.0;0.0;11.0;0.0;2.0;12927.0;10849.0;790.0;0.0;1065.0;3.0;8.0;133.0;21.0;0.0;59.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;50102 Import van nieuwe personenauto's;2004;45.0;13115.0;13032.0;57.0;3.0;21.0;0.0;1.0;13092.0;10680.0;916.0;0.0;1248.0;0.0;5.0;153.0;30.0;0.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;50102 Import van nieuwe personenauto's;2005;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;50104 Handel/reparatie personenauto's;2002;13400.0;29134.0;1292.0;22966.0;902.0;3288.0;304.0;383.0;25162.0;12558.0;400.0;4.0;2035.0;732.0;120.0;8813.0;265.0;34.0;201.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;50104 Handel/reparatie personenauto's;2003;12305.0;28703.0;1206.0;22905.0;746.0;3358.0;370.0;118.0;24857.0;12361.0;300.0;5.0;2006.0;697.0;99.0;9004.0;116.0;3.0;267.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;50104 Handel/reparatie personenauto's;2004;12625.0;29298.0;;;462.0;3478.0;313.0;148.0;25359.0;12304.0;397.0;1.0;2037.0;822.0;135.0;9109.0;230.0;4.0;321.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;50104 Handel/reparatie personenauto's;2005;12695.0;28098.0;1549.0;22273.0;408.0;3447.0;298.0;124.0;24229.0;11496.0;433.0;0.0;1741.0;700.0;150.0;9288.0;206.0;1.0;215.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;502 Handel in en reparatie van auto's ..;2002;;;;;;;;;;;;;;;;;;;;3765.0;1856.0;578.0;120.0;14.0;892.0;81.0;71.0;99.0;578.0;13.0;111.0;293.0;3.0;6.0;27.0;123.0;13.0;1.0;4.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;502 Handel in en reparatie van auto's ..;2003;;;;;;;;;;;;;;;;;;;;3515.0;1884.0;650.0;93.0;45.0;913.0;60.0;42.0;81.0;650.0;10.0;96.0;337.0;7.0;13.0;32.0;154.0;0.0;1.0;1.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;502 Handel in en reparatie van auto's ..;2004;;;;;;;;;;;;;;;;;;;;3660.0;1925.0;696.0;96.0;51.0;864.0;49.0;73.0;96.0;696.0;8.0;95.0;318.0;5.0;38.0;29.0;204.0;22.0;6.0;8.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;502 Handel in en reparatie van auto's ..;2005;;;;;;;;;;;;;;;;;;;;3760.0;1951.0;606.0;113.0;48.0;995.0;44.0;63.0;82.0;606.0;9.0;107.0;264.0;5.0;14.0;32.0;175.0;57.0;10.0;8.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
