ID;Periods;TotalRegisteredUnemployed_1;k_1625Years_2;k_2535Years_3;k_3565Years_4;Registered1Year_5;Registered1Year_6;UnknownRegistered_7;TotalMen_8;Men1625Years_9;Men2565Years_10;MenRegistered1Year_11;MenRegistered1Year_12;MenDurationUnknown_13;TotalWomen_14;Women1625Years_15;Women2565Years_16;WomenRegistered1Year_17;WomenRegistered1Year_18;WomenDurationUnknown_19;ChangeOnSamePeriodPreviousYear_20;TotalRegisteredUnemployment_21;k_1625Years_22;k_2535Years_23;k_3565Years_24;TotalMen_25;Men1625Years_26;Men2565Years_27;TotalWomen_28;Women1625Years_29;Women25654Years_30
0;2001 1st quarter;175;21;50;104;89;65;21;93;11;83;47;34;12;82;10;72;42;31;9;-42;2.5;2.4;2.5;2.5;2.2;2.3;2.2;2.9;2.4;2.9
1;2001 2nd quarter;130;14;32;83;63;49;17;66;6;60;31;27;8;64;8;55;32;22;9;-43;1.8;1.5;1.6;2.0;1.5;1.1;1.6;2.2;2.0;2.3
2;2001 3rd quarter;148;18;36;94;78;51;19;76;9;66;37;28;11;72;8;64;40;23;9;-28;2.0;1.8;1.8;2.2;1.7;1.8;1.7;2.4;1.8;2.6
3;2001 4th quarter;148;20;42;85;78;50;20;72;9;63;38;24;10;76;11;65;40;26;10;-38;2.1;2.3;2.1;2.0;1.7;2.0;1.7;2.6;2.6;2.6
4;2001;150;18;40;92;77;54;19;77;9;68;38;28;10;73;9;64;39;26;9;0;2.1;2.0;2.0;2.2;1.8;1.8;1.8;2.5;2.2;2.6
5;2002 1st quarter;173;20;50;103;103;53;18;90;12;78;53;30;7;84;8;75;50;23;10;-2;2.4;2.3;2.6;2.4;2.1;2.5;2.0;2.9;2.0;3.0
6;2002 2nd quarter;168;15;44;109;93;62;14;92;8;83;52;34;6;76;7;69;40;28;8;38;2.3;1.7;2.2;2.5;2.1;1.7;2.2;2.6;1.6;2.7
7;2002 3rd quarter;181;18;48;116;106;62;13;103;12;91;62;35;7;78;5;73;44;27;7;33;2.4;1.7;2.4;2.6;2.4;2.3;2.4;2.6;1.1;2.8
8;2002 4th quarter;196;22;54;120;121;61;14;113;14;99;74;32;8;83;8;75;48;29;6;48;2.7;2.5;2.7;2.7;2.6;3.0;2.6;2.7;1.9;2.9
9;2002;180;19;49;112;106;59;15;99;12;88;60;32;7;80;7;73;46;27;8;30;2.5;2.0;2.5;2.5;2.3;2.4;2.3;2.7;1.6;2.9
10;2003 1st quarter;253;34;69;150;160;73;20;149;19;130;93;44;12;104;15;89;67;29;8;80;3.5;3.9;3.5;3.3;3.5;4.0;3.4;3.5;3.8;3.4
11;2003 2nd quarter;258;30;70;158;164;76;18;157;17;141;99;46;12;101;13;88;65;30;5;90;3.5;3.3;3.6;3.5;3.6;3.5;3.7;3.3;3.1;3.4
12;2003 3rd quarter;275;26;77;172;173;85;18;159;13;146;101;48;10;117;13;103;72;36;8;94;3.7;2.7;4.0;3.8;3.7;2.5;3.8;3.8;2.9;3.9
13;2003 4th quarter;299;33;78;187;179;98;22;173;16;157;104;57;13;126;17;108;76;41;9;103;4.1;3.8;4.1;4.1;4.0;3.4;4.1;4.1;4.3;4.1
14;2003;271;31;74;167;169;83;19;159;16;143;99;49;12;112;15;97;70;34;8;91;3.7;3.4;3.8;3.7;3.7;3.3;3.7;3.7;3.5;3.7
15;2004 1st quarter;345;43;93;209;208;115;22;205;22;183;127;67;12;140;20;119;82;48;10;92;4.7;5.0;4.9;4.5;4.8;4.8;4.8;4.6;5.2;4.5
16;2004 2nd quarter;329;40;84;205;190;119;21;194;22;172;114;69;11;135;18;117;76;50;9;71;4.4;4.5;4.4;4.4;4.5;4.7;4.5;4.4;4.4;4.4
17;2004 3rd quarter;331;38;87;206;183;130;18;186;19;167;103;74;9;144;18;126;80;56;9;56;4.4;4.0;4.7;4.4;4.3;3.9;4.3;4.6;4.1;4.7
18;2004 4th quarter;326;42;81;203;180;122;24;186;23;163;103;68;15;140;19;121;77;54;9;27;4.4;5.0;4.4;4.3;4.3;5.1;4.2;4.5;4.9;4.5
19;2004;333;41;86;206;190;121;21;193;22;171;112;70;12;140;19;121;79;52;9;62;4.5;4.6;4.6;4.4;4.5;4.6;4.5;4.5;4.6;4.5
20;2005 1st quarter;356;40;93;224;201;136;20;200;22;177;110;78;11;157;17;139;91;57;9;11;4.8;4.8;5.0;4.7;4.7;5.0;4.6;5.1;4.6;5.1
21;2005 2nd quarter;335;33;80;223;181;137;17;182;18;164;94;78;9;153;14;139;86;59;8;6;4.5;3.8;4.4;4.7;4.2;3.9;4.2;4.9;3.7;5.1
22;2005 3 rd quarter;322;32;73;217;174;131;18;167;15;152;85;73;10;155;17;138;89;58;9;-9;4.3;3.5;4.0;4.6;3.9;3.1;4.0;4.9;3.9;5.0
23;2005 4th quarter;308;28;65;215;163;128;16;164;14;149;82;72;9;144;14;130;81;56;7;-18;4.1;3.4;3.6;4.5;3.8;3.3;3.9;4.5;3.5;4.7
24;2005;330;33;78;220;180;133;18;178;17;161;93;75;10;152;16;137;87;58;8;-3;4.4;3.9;4.2;4.6;4.1;3.8;4.2;4.8;3.9;5.0
25;2006 1st quarter;316;28;65;223;173;130;13;173;16;157;92;72;8;144;13;131;80;58;5;-40;4.2;3.5;3.6;4.6;4.0;3.6;4.1;4.5;3.3;4.7
26;2006 2nd quarter;289;20;55;214;149;126;15;153;10;143;78;67;8;136;10;126;71;59;6;-46;3.9;2.4;3.1;4.4;3.6;2.3;3.7;4.3;2.5;4.5
27;2006 3rd quarter;250;14;49;187;118;113;19;125;6;119;56;57;11;126;8;117;62;56;8;-72;3.3;1.5;2.7;3.9;2.9;1.2;3.1;3.9;1.9;4.2
28;2006 4th quarter;230;13;39;177;109;101;20;117;6;111;53;52;12;112;7;105;56;48;8;-78;3.0;1.6;2.2;3.6;2.7;1.4;2.9;3.5;1.8;3.7
29;2006;271;19;52;201;137;117;17;142;9;133;70;62;10;129;9;120;67;55;7;-59;3.6;2.2;2.9;4.1;3.3;2.1;3.5;4.0;2.4;4.3
30;2007 1st quarter;229;13;42;174;112;106;11;118;5;112;55;56;7;111;8;103;57;50;4;-87;3.0;1.6;2.4;3.5;2.7;1.2;2.9;3.4;2.0;3.6
31;2007 2nd quarter;196;11;29;156;91;94;11;104;6;98;44;53;7;92;5;87;47;41;4;-93;2.6;1.3;1.6;3.1;2.4;1.4;2.5;2.8;1.2;3.0
32;2007 3rd quarter;174;11;27;136;81;83;10;90;5;85;38;46;5;84;6;78;42;37;4;-76;2.2;1.2;1.5;2.7;2.1;1.1;2.2;2.5;1.3;2.7
33;2007 4th quarter;165;9;23;133;80;75;9;87;4;83;36;45;6;78;5;74;44;30;4;-65;2.1;1.0;1.3;2.6;2.0;0.9;2.1;2.3;1.1;2.5
34;2007;191;11;30;150;91;90;10;100;5;94;44;50;6;91;6;85;48;40;4;-80;2.5;1.3;1.7;3.0;2.3;1.1;2.4;2.8;1.4;2.9
35;2008 1st quarter;171;9;24;137;87;75;8;95;6;90;46;44;5;76;4;72;41;31;3;-58;2.2;1.1;1.4;2.7;2.2;1.2;2.3;2.3;0.9;2.4
36;2008 2nd quarter;155;10;25;121;82;67;6;83;4;78;42;37;3;72;5;67;39;30;2;-41;2.0;1.0;1.4;2.4;1.9;0.9;2.0;2.1;1.2;2.3
37;2008 3rd quarter;141;10;22;109;82;55;4;75;6;69;45;27;3;67;4;63;38;27;2;-33;1.8;1.0;1.3;2.1;1.7;1.1;1.8;1.9;0.8;2.1
38;2008 4th quarter;144;9;26;109;82;55;7;74;4;70;40;29;4;70;5;65;41;25;3;-21;1.8;1.0;1.5;2.1;1.7;0.9;1.8;2.0;1.1;2.2
39;2008;153;9;24;119;83;63;6;82;5;76;43;34;4;71;4;67;40;29;3;-38;2.0;1.0;1.4;2.3;1.8;1.0;2.0;2.1;1.0;2.2
40;2009 1st quarter;176;11;34;130;118;53;5;99;7;93;67;29;3;76;5;72;51;24;2;5;2.2;1.3;2.0;2.5;2.3;1.4;2.4;2.2;1.2;2.4
41;2009 2nd quarter;197;17;44;136;135;55;7;114;9;104;79;30;4;83;8;76;56;25;3;42;2.5;1.9;2.5;2.6;2.6;1.9;2.7;2.4;1.8;2.5
42;2009 3rd quarter;205;19;41;145;149;45;11;120;12;107;87;25;7;86;7;79;62;20;3;64;2.6;2.0;2.4;2.8;2.7;2.4;2.7;2.5;1.4;2.6
43;2009 4th quarter;226;24;43;158;170;47;8;131;13;118;99;26;6;95;11;84;71;21;2;82;2.9;2.8;2.5;3.0;3.0;2.9;3.0;2.8;2.8;2.8
44;2009;201;18;41;142;143;50;8;116;10;106;83;28;5;85;8;78;60;22;3;48;2.6;2.0;2.3;2.7;2.6;2.2;2.7;2.5;1.8;2.6
45;2010 1st quarter;259;25;51;184;189;55;15;152;13;139;112;32;9;107;11;96;77;24;6;83;3.3;3.0;2.9;3.5;3.5;3.0;3.6;3.1;2.9;3.1
46;2010 2nd quarter;245;18;46;180;175;62;7;148;12;136;106;37;4;97;6;90;69;25;3;48;3.1;2.1;2.6;3.5;3.4;2.7;3.5;2.8;1.5;2.9
47;2010 3rd quarter;213;14;41;158;147;62;5;124;8;116;84;37;3;89;6;84;63;25;2;8;2.7;1.5;2.4;3.0;2.8;1.7;3.0;2.5;1.4;2.7
48;2010 4th quarter;205;14;37;155;136;65;5;117;7;110;78;36;3;89;7;82;58;28;2;-21;2.6;1.7;2.1;3.0;2.7;1.6;2.8;2.5;1.7;2.6
49;2010;231;18;44;169;162;61;8;135;10;125;95;36;5;95;8;88;67;25;3;30;3.0;2.1;2.5;3.2;3.1;2.2;3.2;2.7;1.9;2.9
50;2011 1st quarter;223;12;41;169;147;70;6;129;8;121;84;41;5;94;5;89;63;30;2;-36;2.9;1.6;2.4;3.2;3.0;1.8;3.1;2.7;1.2;2.9
51;2011 2nd quarter;205;8;38;159;128;70;7;122;4;119;74;43;5;82;4;78;53;28;1;-40;2.6;0.9;2.2;3.0;2.8;0.9;3.1;2.4;1.0;2.5
