ID;Perioden;TotaalArchiefbewaarplaatsen_1;Rijksarchieven_2;Gemeentearchieven_3;Streekarchieven_4;Streekarchivariaten_5;Gemeentesecretarieen_6;Waterschapssecretarieen_7;Waterschapsarchiefdiensten_8;BezettePlanklengte_9;Bezoekers_10;Bezoeken_11;SchriftelijkeInlichtingen_12;AantalPersonen_13;MensjarenPersoneel_14;AantalPersonen_15;MensjarenPersoneel_16;TotaleBatenVanArchiefdiensten_17;TotaleLastenVanArchiefdiensten_18
0;1980;842;12;54;5;18;517;240;7;381;87;248;55;1604;1510;811;766;;
1;1985;706;12;68;6;19;435;159;7;440;109;324;44;1724;1437;833;761;34.2;34.2
2;1990;536;12;62;12;17;349;75;9;471;156;429;58;1790;1400;960;845;40.8;40.8
3;1995;473;12;84;14;17;300;43;11;596;199;484;38;2159;1302;1139;955;55.3;55.2
4;2000;329;12;59;17;13;203;13;12;645;189;471;48;2419;1191;1197;965;73.5;73.5
