ID;Herkomst;Perioden;TotaalGeadopteerdeKinderen_1;GeadopteerdeMeisjes_2;GeadopteerdeJongens_3
0;Totaal kinderen;1957;40;18;22
1;Totaal kinderen;1958;355;178;177
2;Totaal kinderen;1959;461;239;222
3;Totaal kinderen;1960;392;196;196
4;Totaal kinderen;1961;418;210;208
5;Totaal kinderen;1962;537;233;304
6;Totaal kinderen;1963;357;161;196
7;Totaal kinderen;1964;373;183;190
8;Totaal kinderen;1965;455;213;242
9;Totaal kinderen;1966;661;319;342
10;Totaal kinderen;1967;848;418;430
11;Totaal kinderen;1968;898;436;462
12;Totaal kinderen;1969;1037;454;583
13;Totaal kinderen;1970;1209;545;664
14;Totaal kinderen;1971;1155;522;633
15;Totaal kinderen;1972;1292;611;681
16;Totaal kinderen;1973;1260;602;658
17;Totaal kinderen;1974;1713;885;828
18;Totaal kinderen;1975;1535;832;703
19;Totaal kinderen;1976;1492;837;655
20;Totaal kinderen;1977;1720;971;749
21;Totaal kinderen;1978;1544;837;707
22;Totaal kinderen;1979;1798;969;829
23;Totaal kinderen;1980;1779;924;855
24;Totaal kinderen;1981;1955;1017;938
25;Totaal kinderen;1982;1747;942;805
26;Totaal kinderen;1983;1383;812;571
27;Totaal kinderen;1984;1362;694;668
28;Totaal kinderen;1985;1208;616;592
29;Totaal kinderen;1986;1370;752;618
30;Totaal kinderen;1987;1580;895;685
31;Totaal kinderen;1988;1356;726;630
32;Totaal kinderen;1989;996;515;481
33;Totaal kinderen;1990;764;373;391
34;Totaal kinderen;1991;980;505;475
35;Totaal kinderen;1992;1096;565;531
36;Totaal kinderen;1993;879;419;460
37;Totaal kinderen;1994;752;369;383
38;Totaal kinderen;1995;730;389;341
39;Totaal kinderen;1996;841;450;391
40;Totaal kinderen;1997;740;394;346
41;Totaal kinderen;1998;920;520;400
42;Totaal kinderen;1999;1006;608;398
43;Totaal kinderen;2000;1203;773;430
44;Totaal kinderen;2001;1113;694;419
45;Totaal kinderen;2002;1160;761;399
46;Totaal kinderen;2003;1211;776;435
47;Totaal kinderen;2004;1378;972;406
48;Totaal kinderen;2005;1250;831;419
49;Totaal kinderen;2006;871;519;352
50;Totaal kinderen;2007;828;469;359
51;Totaal kinderen;2008;809;422;387
52;Totaal kinderen;2009;720;313;407
53;Totaal kinderen;2010;720;269;451
54;Totaal kinderen;2011;563;193;370
55;Totaal kinderen;2012;532;196;336
56;In Nederland geboren kinderen;1957;40;18;22
57;In Nederland geboren kinderen;1958;355;178;177
58;In Nederland geboren kinderen;1959;461;239;222
59;In Nederland geboren kinderen;1960;392;196;196
60;In Nederland geboren kinderen;1961;418;210;208
61;In Nederland geboren kinderen;1962;537;233;304
62;In Nederland geboren kinderen;1963;357;161;196
63;In Nederland geboren kinderen;1964;373;183;190
64;In Nederland geboren kinderen;1965;410;194;216
65;In Nederland geboren kinderen;1966;575;284;291
66;In Nederland geboren kinderen;1967;679;348;331
67;In Nederland geboren kinderen;1968;737;362;375
68;In Nederland geboren kinderen;1969;861;388;473
69;In Nederland geboren kinderen;1970;1043;485;558
70;In Nederland geboren kinderen;1971;989;461;528
71;In Nederland geboren kinderen;1972;1119;535;584
72;In Nederland geboren kinderen;1973;1065;511;554
73;In Nederland geboren kinderen;1974;1146;539;607
74;In Nederland geboren kinderen;1975;746;351;395
75;In Nederland geboren kinderen;1976;524;246;278
76;In Nederland geboren kinderen;1977;559;263;296
77;In Nederland geboren kinderen;1978;381;188;193
78;In Nederland geboren kinderen;1979;414;198;216
79;In Nederland geboren kinderen;1980;340;169;171
80;In Nederland geboren kinderen;1981;273;141;132
81;In Nederland geboren kinderen;1982;191;100;91
82;In Nederland geboren kinderen;1983;154;73;81
83;In Nederland geboren kinderen;1984;151;64;87
84;In Nederland geboren kinderen;1985;130;55;75
85;In Nederland geboren kinderen;1986;88;34;54
86;In Nederland geboren kinderen;1987;104;57;47
87;In Nederland geboren kinderen;1988;101;46;55
88;In Nederland geboren kinderen;1989;89;37;52
89;In Nederland geboren kinderen;1990;82;36;46
90;In Nederland geboren kinderen;1991;50;28;22
91;In Nederland geboren kinderen;1992;94;39;55
92;In Nederland geboren kinderen;1993;65;27;38
