ID;SectorBranchesSIC2008;Regions;Periods;OutputBasicPrices_1;IntermediateConsumption_2;GrossValueAdded_3;CompensationOfEmployees_4;GrossOperatingSurplus_5;TaxesNotProductRelated_6;SubsidiesNotProductRelated_7;TotalLabourInput_8;LabourInputOfEmployees_9
0;A-U All economic activities;The Netherlands;1995;592653;292906;299747;165560;133337;3165;2315;5948.5;4999.5
1;A-U All economic activities;The Netherlands;1996;628103;316110;311993;171981;139952;3239;3179;6087.2;5112.2
2;A-U All economic activities;The Netherlands;1997;677228;343699;333529;181634;152477;3235;3817;6274.2;5277.2
3;A-U All economic activities;The Netherlands;1998;721160;365278;355882;194666;162448;3374;4606;6453.1;5470.2
4;A-U All economic activities;The Netherlands;1999;768810;392270;376540;209646;168589;3790;5485;6617.4;5644.1
5;A-U All economic activities;The Netherlands;2000;844418;438445;405973;226797;180662;4067;5553;6719.4;5770.3
6;A-U All economic activities;The Netherlands;2001;894163;463688;430475;239194;192894;4489;6102;6825.0;5889.5
7;A-U All economic activities;The Netherlands;2002;916457;467313;449144;251188;199433;4686;6163;6813.2;5886.8
8;A-U All economic activities;The Netherlands;2003;930561;470985;459576;257981;203038;4725;6168;6732.7;5812.1
9;A-U All economic activities;The Netherlands;2004;964259;490687;473572;261726;213726;4918;6798;6683.6;5740.3
10;A-U All economic activities;The Netherlands;2005;1014469;522228;492241;265911;227405;5295;6370;6700.1;5733.6
11;A-U All economic activities;The Netherlands;2006;1075574;553517;522057;274752;248667;5359;6721;6846.0;5834.9
12;A-U All economic activities;The Netherlands;2007;1144773;590120;554653;290622;266336;5495;7800;7034.4;5977.4
13;A-U All economic activities;The Netherlands;2008;1204623;624453;580170;307808;274955;5961;8554;7160.2;6088.6
14;A-U All economic activities;The Netherlands;2009;1153249;589069;564180;312320;255419;6355;9914;7076.5;6006.0
15;A-U All economic activities;The Netherlands;2010;1192983;617278;575705;311900;267405;6576;10176;7034.8;5949.2
16;A-U All economic activities;The Netherlands;2011;1262956;673787;589169;319887;271953;6966;9637;7072.7;5952.7
17;A-U All economic activities;The Netherlands;2012;1284508;691393;593115;324274;270384;7366;8909;7027.7;5895.8
18;A-U All economic activities;The Netherlands;2013;1290536;692216;598320;325151;273269;8280;8380;6940.9;5799.6
19;A-U All economic activities;The Netherlands;2014;1315224;705915;609309;328743;277892;10611;7937;6929.8;5765.1
20;A-U All economic activities;The Netherlands;2015;1357585;729959;627626;330994;295261;9503;8132;7010.6;5809.5
21;A-U All economic activities;The Netherlands;2016;1386436;742124;644312;342642;299864;10266;8460;7155.5;5920.8
22;A-U All economic activities;The Netherlands;2017;1463821;791887;671934;354478;315747;10614;8905;7332.2;6070.3
23;A-U All economic activities;The Netherlands;2018;1558226;854669;703557;372900;328763;11275;9381;7550.7;6258.1
24;A-U All economic activities;The Netherlands;2019;1622350;882842;739508;393062;344709;11606;9869;7737.1;6403.8
25;A-U All economic activities;The Netherlands;2020;1573914;847765;726149;406330;340595;12923;33699;7638.0;6378.1
26;A-U All economic activities;The Netherlands;2021;1740104;948374;791730;423799;385948;13356;31373;7875.0;6527.4
27;A-U All economic activities;The Netherlands;2022;2010010;1121836;888174;454769;441318;12972;20885;8164.3;6744.1
28;A-U All economic activities;Noord-Nederland (LD);1995;52253;24332;27921;14001;13850;284;213;581.1;459.6
29;A-U All economic activities;Noord-Nederland (LD);1996;56015;26270;29745;14404;15350;288;297;589.5;467.8
30;A-U All economic activities;Noord-Nederland (LD);1997;59728;28675;31053;15107;16005;287;347;602.8;480.1
31;A-U All economic activities;Noord-Nederland (LD);1998;62278;30122;32156;16001;16275;297;418;613.6;491.2
32;A-U All economic activities;Noord-Nederland (LD);1999;64109;31403;32705;17110;15767;330;502;624.8;504.1
33;A-U All economic activities;Noord-Nederland (LD);2000;70536;34666;35870;18363;17652;350;495;627.6;511.7
34;A-U All economic activities;Noord-Nederland (LD);2001;75959;37185;38773;19434;19492;393;545;624.8;516.7
35;A-U All economic activities;Noord-Nederland (LD);2002;77402;37283;40119;20519;19734;409;543;629.1;521.1
36;A-U All economic activities;Noord-Nederland (LD);2003;78516;36960;41556;21207;20489;407;548;626.7;517.8
37;A-U All economic activities;Noord-Nederland (LD);2004;80031;37937;42094;21532;20739;419;597;621.9;512.4
38;A-U All economic activities;Noord-Nederland (LD);2005;85711;40654;45058;21789;23368;452;552;625.0;511.2
39;A-U All economic activities;Noord-Nederland (LD);2006;90319;41938;48381;22278;26247;450;595;629.5;512.2
40;A-U All economic activities;Noord-Nederland (LD);2007;95742;45489;50253;23453;27063;466;729;641.2;521.7
41;A-U All economic activities;Noord-Nederland (LD);2008;103048;47489;55558;24830;31047;493;812;650.5;530.6
42;A-U All economic activities;Noord-Nederland (LD);2009;97310;45109;52201;25044;27551;524;918;635.7;518.0
43;A-U All economic activities;Noord-Nederland (LD);2010;99880;46070;53811;24867;29327;530;914;634.0;514.9
44;A-U All economic activities;Noord-Nederland (LD);2011;104915;49351;55564;25497;30391;566;890;638.1;515.5
45;A-U All economic activities;Noord-Nederland (LD);2012;106024;48918;57106;25737;31582;582;794;630.3;507.2
46;A-U All economic activities;Noord-Nederland (LD);2013;107212;49179;58033;25586;32577;640;770;618.8;495.1
47;A-U All economic activities;Noord-Nederland (LD);2014;106293;51153;55140;25821;29248;799;728;615.5;491.6
48;A-U All economic activities;Noord-Nederland (LD);2015;106696;53523;53173;26035;27132;744;739;620.7;494.8
49;A-U All economic activities;Noord-Nederland (LD);2016;106569;54513;52056;26790;25188;797;719;628.9;500.3
50;A-U All economic activities;Noord-Nederland (LD);2017;111065;57111;53955;27484;26417;818;765;641.4;511.1
51;A-U All economic activities;Noord-Nederland (LD);2018;116581;60765;55816;28774;26980;866;805;656.3;524.3
52;A-U All economic activities;Noord-Nederland (LD);2019;120964;63222;57742;30314;27351;908;830;672.4;536.8
53;A-U All economic activities;Noord-Nederland (LD);2020;119091;63158;55932;31653;26014;1013;2747;666.2;539.6
54;A-U All economic activities;Noord-Nederland (LD);2021;133206;71475;61731;32855;30380;1037;2542;686.3;553.8
55;A-U All economic activities;Noord-Nederland (LD);2022;157510;84266;73244;34888;40565;1069;3278;706.9;567.8
56;A-U All economic activities;Oost-Nederland (LD);1995;104476;52219;52257;29493;22575;604;415;1168.3;964.3
57;A-U All economic activities;Oost-Nederland (LD);1996;109673;55688;53985;30438;23495;609;556;1188.7;980.3
58;A-U All economic activities;Oost-Nederland (LD);1997;118411;60733;57678;31958;25789;604;673;1210.3;1001.0
59;A-U All economic activities;Oost-Nederland (LD);1998;125672;63965;61707;34326;27552;628;798;1244.3;1038.4
60;A-U All economic activities;Oost-Nederland (LD);1999;133570;68222;65348;37025;28564;699;940;1278.5;1074.4
61;A-U All economic activities;Oost-Nederland (LD);2000;145810;75361;70449;40135;30512;749;947;1300.8;1100.4
62;A-U All economic activities;Oost-Nederland (LD);2001;155207;80250;74956;42718;32464;837;1062;1319.4;1123.2
63;A-U All economic activities;Oost-Nederland (LD);2002;158757;80746;78011;44679;33526;876;1070;1319.3;1124.1
64;A-U All economic activities;Oost-Nederland (LD);2003;162978;82491;80487;46416;34246;907;1082;1315.1;1120.3
65;A-U All economic activities;Oost-Nederland (LD);2004;166822;84383;82439;46954;35732;945;1192;1304.0;1105.5
66;A-U All economic activities;Oost-Nederland (LD);2005;174890;89508;85382;47893;37576;1023;1111;1316.3;1110.5
67;A-U All economic activities;Oost-Nederland (LD);2006;187489;95983;91506;49690;41971;1049;1204;1345.1;1132.2
68;A-U All economic activities;Oost-Nederland (LD);2007;199930;102452;97478;52781;45028;1069;1400;1389.7;1166.7
69;A-U All economic activities;Oost-Nederland (LD);2008;209465;107884;101581;56093;45861;1170;1543;1413.4;1186.9
70;A-U All economic activities;Oost-Nederland (LD);2009;203656;103119;100537;57303;43814;1234;1815;1401.0;1175.4
71;A-U All economic activities;Oost-Nederland (LD);2010;208269;106718;101551;57276;44838;1278;1841;1396.3;1168.4
72;A-U All economic activities;Oost-Nederland (LD);2011;220351;115785;104567;58798;46230;1346;1807;1405.8;1171.2
73;A-U All economic activities;Oost-Nederland (LD);2012;220494;116886;103608;59484;44418;1375;1669;1393.2;1156.2
74;A-U All economic activities;Oost-Nederland (LD);2013;220656;116966;103690;59279;44497;1497;1582;1374.4;1134.3
75;A-U All economic activities;Oost-Nederland (LD);2014;224716;118888;105828;59571;45862;1839;1444;1364.6;1122.7
76;A-U All economic activities;Oost-Nederland (LD);2015;232707;123801;108906;59995;48694;1731;1514;1378.8;1131.3
77;A-U All economic activities;Oost-Nederland (LD);2016;240880;128291;112589;62110;50199;1814;1534;1406.5;1151.7
78;A-U All economic activities;Oost-Nederland (LD);2017;253853;136659;117194;64053;52903;1851;1613;1438.5;1178.0
79;A-U All economic activities;Oost-Nederland (LD);2018;271459;148208;123251;67397;55656;1941;1742;1483.6;1217.9
80;A-U All economic activities;Oost-Nederland (LD);2019;286539;156201;130337;71042;59186;1962;1853;1521.9;1248.5
81;A-U All economic activities;Oost-Nederland (LD);2020;283942;154128;129815;73664;60001;2208;6058;1508.9;1249.5
82;A-U All economic activities;Oost-Nederland (LD);2021;311278;170548;140730;76896;67272;2175;5612;1562.2;1286.1
83;A-U All economic activities;Oost-Nederland (LD);2022;353995;197650;156345;82187;75243;2088;3174;1615.9;1325.7
84;A-U All economic activities;West-Nederland (LD);1995;309757;154036;155721;87873;67495;1588;1235;2915.6;2499.8
85;A-U All economic activities;West-Nederland (LD);1996;326778;165233;161545;91611;69999;1632;1697;2999.9;2563.9
86;A-U All economic activities;West-Nederland (LD);1997;351473;178349;173124;97090;76439;1644;2049;3104.3;2656.5
87;A-U All economic activities;West-Nederland (LD);1998;376843;190332;186511;104260;83017;1730;2496;3196.7;2756.7
88;A-U All economic activities;West-Nederland (LD);1999;403016;205290;197726;112357;86413;1946;2990;3281.6;2843.6
89;A-U All economic activities;West-Nederland (LD);2000;442672;230892;211779;121619;91110;2092;3042;3335.3;2909.9
90;A-U All economic activities;West-Nederland (LD);2001;466683;243059;223625;127927;96735;2284;3321;3408.0;2983.1
91;A-U All economic activities;West-Nederland (LD);2002;481217;245691;235526;134455;102063;2385;3378;3396.0;2977.6
92;A-U All economic activities;West-Nederland (LD);2003;487219;246623;240597;137277;104317;2393;3391;3339.8;2924.6
93;A-U All economic activities;West-Nederland (LD);2004;506186;258007;248179;139281;110134;2491;3727;3312.7;2884.5
94;A-U All economic activities;West-Nederland (LD);2005;533752;276310;257443;141707;116581;2681;3526;3319.3;2881.8
95;A-U All economic activities;West-Nederland (LD);2006;564186;293054;271132;146102;125959;2717;3646;3397.9;2935.9
96;A-U All economic activities;West-Nederland (LD);2007;600133;310713;289420;154617;136206;2790;4193;3486.6;3001.0
97;A-U All economic activities;West-Nederland (LD);2008;632221;331596;300625;163087;139053;3023;4539;3547.2;3054.2
98;A-U All economic activities;West-Nederland (LD);2009;608685;314914;293771;165629;130126;3231;5215;3520.5;3024.0
99;A-U All economic activities;West-Nederland (LD);2010;628702;328758;299944;165258;136762;3345;5420;3485.2;2980.8
100;A-U All economic activities;West-Nederland (LD);2011;663571;358591;304979;169270;137180;3548;5018;3500.5;2976.9
101;A-U All economic activities;West-Nederland (LD);2012;679687;372400;307287;171471;136630;3807;4621;3483.7;2953.1
102;A-U All economic activities;West-Nederland (LD);2013;686139;374927;311213;172488;138569;4415;4260;3446.4;2911.3
103;A-U All economic activities;West-Nederland (LD);2014;703963;382671;321292;174883;144636;5840;4067;3454.4;2899.8
104;A-U All economic activities;West-Nederland (LD);2015;730988;396081;334907;176354;157613;5090;4150;3503.9;2927.2
105;A-U All economic activities;West-Nederland (LD);2016;741428;396716;344711;182504;161023;5591;4407;3580.3;2985.4
106;A-U All economic activities;West-Nederland (LD);2017;783239;424075;359165;189024;168958;5816;4634;3670.9;3060.6
107;A-U All economic activities;West-Nederland (LD);2018;835278;458846;376433;199073;175963;6241;4845;3786.5;3156.0
108;A-U All economic activities;West-Nederland (LD);2019;865446;468706;396740;210121;185208;6479;5068;3883.9;3232.2
109;A-U All economic activities;West-Nederland (LD);2020;831370;443540;387830;217020;181679;7174;18042;3831.8;3213.6
110;A-U All economic activities;West-Nederland (LD);2021;914695;493922;420773;226631;203441;7592;16891;3947.5;3280.8
