ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
0;Total countries;Total goods;2015 January;30340.0;36115.0
1;Total countries;Total goods;2015 February;30584.0;36022.0
2;Total countries;Total goods;2015 March;35325.0;39729.0
3;Total countries;Total goods;2015 April;33309.0;38362.0
4;Total countries;Total goods;2015 May;32314.0;36667.0
5;Total countries;Total goods;2015 June;34446.0;40185.0
6;Total countries;Total goods;2015 July;33314.0;38698.0
7;Total countries;Total goods;2015 August;30279.0;34687.0
8;Total countries;Total goods;2015 September;32563.0;37995.0
9;Total countries;Total goods;2015 October;32907.0;37770.0
10;Total countries;Total goods;2015 November;32429.0;38003.0
11;Total countries;Total goods;2015 December;32666.0;37618.0
12;Total countries;Total goods;2015;390477.0;451851.0
13;Total countries;Total goods;2016 January;29532.0;34639.0
14;Total countries;Total goods;2016 February;30977.0;35480.0
15;Total countries;Total goods;2016 March;31999.0;38354.0
16;Total countries;Total goods;2016 April;31590.0;36965.0
17;Total countries;Total goods;2016 May;31643.0;37071.0
18;Total countries;Total goods;2016 June;33399.0;39012.0
19;Total countries;Total goods;2016 July;30997.0;36357.0
20;Total countries;Total goods;2016 August;31412.0;36305.0
21;Total countries;Total goods;2016 September;33060.0;39031.0
22;Total countries;Total goods;2016 October;33391.0;38145.0
23;Total countries;Total goods;2016 November;34732.0;40977.0
24;Total countries;Total goods;2016 December;33839.0;39714.0
25;Total countries;Total goods;2016;386570.0;452049.0
26;Total countries;Total goods;2017 January;35213.0;41859.0
27;Total countries;Total goods;2017 February;34540.0;41399.0
28;Total countries;Total goods;2017 March;38920.0;47200.0
29;Total countries;Total goods;2017 April;34137.0;39626.0
30;Total countries;Total goods;2017 May;37240.0;43159.0
31;Total countries;Total goods;2017 June;36338.0;43965.0
32;Total countries;Total goods;2017 July;34389.0;40612.0
33;Total countries;Total goods;2017 August;35050.0;40560.0
34;Total countries;Total goods;2017 September;35427.0;42865.0
35;Total countries;Total goods;2017 October;36662.0;42197.0
36;Total countries;Total goods;2017 November;38206.0;45114.0
37;Total countries;Total goods;2017 December;35880.0;41238.0
38;Total countries;Total goods;2017;432001.0;509794.0
39;Total countries;Total goods;2018 January;39308.0;44657.0
40;Total countries;Total goods;2018 February;37162.0;43414.0
41;Total countries;Total goods;2018 March;39803.0;47826.0
42;Total countries;Total goods;2018 April;38057.0;43422.0
43;Total countries;Total goods;2018 May;39375.0;46726.0
44;Total countries;Total goods;2018 June;39779.0;46835.0
45;Total countries;Total goods;2018 July;38900.0;44960.0
46;Total countries;Total goods;2018 August;39513.0;44809.0
47;Total countries;Total goods;2018 September;38483.0;45796.0
48;Total countries;Total goods;2018 October;42345.0;48542.0
49;Total countries;Total goods;2018 November;40881.0;48756.0
50;Total countries;Total goods;2018 December;38592.0;43469.0
51;Total countries;Total goods;2018;472198.0;549211.0
52;Total countries;Total goods;2019 January;41333.0;46221.0
53;Total countries;Total goods;2019 February;39005.0;45924.0
54;Total countries;Total goods;2019 March;41911.0;49505.0
55;Total countries;Total goods;2019 April;41723.0;47927.0
56;Total countries;Total goods;2019 May;42520.0;49437.0
57;Total countries;Total goods;2019 June;39674.0;46623.0
58;Total countries;Total goods;2019 July;41670.0;47425.0
59;Total countries;Total goods;2019 August;38814.0;45411.0
60;Total countries;Total goods;2019 September;40800.0;48071.0
61;Total countries;Total goods;2019 October;43518.0;51413.0
62;Total countries;Total goods;2019 November;42035.0;48982.0
63;Total countries;Total goods;2019 December;41120.0;47631.0
64;Total countries;Total goods;2019;494122.0;574568.0
65;Total countries;Total goods;2020 January;40976.0;47195.0
66;Total countries;Total goods;2020 February;38170.0;45201.0
67;Total countries;Total goods;2020 March;39680.0;47279.0
68;Total countries;Total goods;2020 April;32399.0;36941.0
69;Total countries;Total goods;2020 May;32296.0;37325.0
70;Total countries;Total goods;2020 June;36615.0;42123.0
71;Total countries;Total goods;2020 July;37011.0;43839.0
72;Total countries;Total goods;2020 August;34173.0;40134.0
73;Total countries;Total goods;2020 September;38420.0;45931.0
74;Total countries;Total goods;2020 October;38773.0;47587.0
75;Total countries;Total goods;2020 November;39512.0;46360.0
76;Total countries;Total goods;2020 December;39643.0;46210.0
77;Total countries;Total goods;2020;447667.0;526126.0
78;Total countries;Total goods;2021 January;40374.0;48673.0
79;Total countries;Total goods;2021 February;40509.0;49540.0
80;Total countries;Total goods;2021 March;47912.0;58062.0
81;Total countries;Total goods;2021 April;46549.0;55203.0
82;Total countries;Total goods;2021 May;46028.0;54317.0
83;Total countries;Total goods;2021 June;48894.0;58552.0
84;Total countries;Total goods;2021 July;49001.0;57928.0
85;Total countries;Total goods;2021 August;48010.0;56101.0
86;Total countries;Total goods;2021 September;51559.0;60867.0
87;Total countries;Total goods;2021 October;53190.0;60300.0
88;Total countries;Total goods;2021 November;57251.0;64409.0
89;Total countries;Total goods;2021 December;55692.0;63573.0
90;Total countries;Total goods;2021;584970.0;687524.0
91;Total countries;Total goods;2022 January;55699.0;62816.0
92;Total countries;Total goods;2022 February;53491.0;62739.0
93;Total countries;Total goods;2022 March;63927.0;72913.0
94;Total countries;Total goods;2022 April;61280.0;69217.0
95;Total countries;Total goods;2022 May;66235.0;74114.0
96;Total countries;Total goods;2022 June;66378.0;76635.0
97;Total countries;Total goods;2022 July;63506.0;73059.0
98;Total countries;Total goods;2022 August;67093.0;74340.0
99;Total countries;Total goods;2022 September;70315.0;81661.0
100;Total countries;Total goods;2022 October;70818.0;79578.0
101;Total countries;Total goods;2022 November;67795.0;80035.0
102;Total countries;Total goods;2022 December;63882.0;74635.0
103;Total countries;Total goods;2022;770421.0;881742.0
104;Total countries;Total goods;2023 January;64985.0;71551.0
105;Total countries;Total goods;2023 February;59665.0;70713.0
106;Total countries;Total goods;2023 March;64658.0;76658.0
107;Total countries;Total goods;2023 April;56572.0;63398.0
108;Total countries;Total goods;2023 May;59298.0;69626.0
109;Total countries;Total goods;2023 June;57804.0;71027.0
110;Total countries;Total goods;2023 July;56721.0;66869.0
111;Total countries;Total goods;2023 August;56160.0;68471.0
112;Total countries;Total goods;2023 September;56189.0;71598.0
113;Total countries;Total goods;2023 October;59116.0;69453.0
114;Total countries;Total goods;2023 November;56977.0;69988.0
115;Total countries;Total goods;2023 December;54036.0;64635.0
116;Total countries;Total goods;2023;702181.0;833988.0
117;Total countries;Total goods;2024 January;53210.0;65497.0
118;Total countries;Total goods;2024 February;54448.0;65280.0
119;Total countries;Total goods;2024 March;57056.0;70384.0
120;Total countries;Total goods;2024 April;57252.0;68479.0
121;Total countries;Total goods;2024 May;57995.0;68367.0
122;Total countries;Total goods;2024 June;56238.0;68136.0
123;Total countries;Total goods;2024 July;59545.0;70462.0
124;Total countries;Total goods;2024 August;54532.0;63928.0
125;Total countries;Total goods;2024 September;55772.0;68412.0
126;Total countries;Total goods;2024 October;59723.0;70512.0
127;Total countries;Total goods;2024 November;57128.0;69564.0
128;Total countries;Total goods;2024 December;55601.0;65818.0
129;Total countries;Total goods;2024;678498.0;814839.0
130;Total countries;Total goods;2025 January;56122.0;67507.0
131;Total countries;0 Food and live animals;2015 January;2913.0;4180.0
132;Total countries;0 Food and live animals;2015 February;2786.0;4127.0
133;Total countries;0 Food and live animals;2015 March;3228.0;4735.0
134;Total countries;0 Food and live animals;2015 April;2970.0;4594.0
135;Total countries;0 Food and live animals;2015 May;2910.0;4549.0
136;Total countries;0 Food and live animals;2015 June;3135.0;4731.0
137;Total countries;0 Food and live animals;2015 July;2999.0;4632.0
138;Total countries;0 Food and live animals;2015 August;2794.0;4359.0
139;Total countries;0 Food and live animals;2015 September;2942.0;4719.0
140;Total countries;0 Food and live animals;2015 October;3016.0;4800.0
141;Total countries;0 Food and live animals;2015 November;3100.0;4638.0
142;Total countries;0 Food and live animals;2015 December;3248.0;4687.0
143;Total countries;0 Food and live animals;2015;36042.0;54750.0
144;Total countries;0 Food and live animals;2016 January;2780.0;4281.0
145;Total countries;0 Food and live animals;2016 February;2893.0;4508.0
146;Total countries;0 Food and live animals;2016 March;3130.0;4940.0
147;Total countries;0 Food and live animals;2016 April;3004.0;4822.0
148;Total countries;0 Food and live animals;2016 May;3117.0;4882.0
149;Total countries;0 Food and live animals;2016 June;3270.0;4894.0
150;Total countries;0 Food and live animals;2016 July;2895.0;4615.0
151;Total countries;0 Food and live animals;2016 August;2936.0;4848.0
152;Total countries;0 Food and live animals;2016 September;3102.0;4869.0
153;Total countries;0 Food and live animals;2016 October;3031.0;4847.0
154;Total countries;0 Food and live animals;2016 November;3244.0;5002.0
155;Total countries;0 Food and live animals;2016 December;3289.0;5000.0
156;Total countries;0 Food and live animals;2016;36690.0;57507.0
157;Total countries;0 Food and live animals;2017 January;3240.0;4750.0
158;Total countries;0 Food and live animals;2017 February;3008.0;4589.0
159;Total countries;0 Food and live animals;2017 March;3614.0;5537.0
160;Total countries;0 Food and live animals;2017 April;3097.0;4810.0
161;Total countries;0 Food and live animals;2017 May;3504.0;5410.0
162;Total countries;0 Food and live animals;2017 June;3379.0;5243.0
163;Total countries;0 Food and live animals;2017 July;3124.0;4940.0
164;Total countries;0 Food and live animals;2017 August;3245.0;5198.0
165;Total countries;0 Food and live animals;2017 September;3041.0;5123.0
166;Total countries;0 Food and live animals;2017 October;3336.0;5295.0
167;Total countries;0 Food and live animals;2017 November;3368.0;5414.0
168;Total countries;0 Food and live animals;2017 December;3113.0;4893.0
169;Total countries;0 Food and live animals;2017;39071.0;61201.0
170;Total countries;0 Food and live animals;2018 January;3400.0;5060.0
171;Total countries;0 Food and live animals;2018 February;3084.0;4714.0
172;Total countries;0 Food and live animals;2018 March;3490.0;5386.0
173;Total countries;0 Food and live animals;2018 April;3367.0;5033.0
174;Total countries;0 Food and live animals;2018 May;3494.0;5432.0
175;Total countries;0 Food and live animals;2018 June;3339.0;5144.0
176;Total countries;0 Food and live animals;2018 July;3231.0;5086.0
177;Total countries;0 Food and live animals;2018 August;3140.0;5178.0
178;Total countries;0 Food and live animals;2018 September;3051.0;4993.0
179;Total countries;0 Food and live animals;2018 October;3609.0;5575.0
180;Total countries;0 Food and live animals;2018 November;3400.0;5452.0
181;Total countries;0 Food and live animals;2018 December;3299.0;4920.0
182;Total countries;0 Food and live animals;2018;39904.0;61973.0
183;Total countries;0 Food and live animals;2019 January;3660.0;5218.0
184;Total countries;0 Food and live animals;2019 February;3282.0;5043.0
185;Total countries;0 Food and live animals;2019 March;3471.0;5449.0
186;Total countries;0 Food and live animals;2019 April;3613.0;5604.0
187;Total countries;0 Food and live animals;2019 May;3671.0;5734.0
188;Total countries;0 Food and live animals;2019 June;3219.0;5115.0
189;Total countries;0 Food and live animals;2019 July;3505.0;5586.0
190;Total countries;0 Food and live animals;2019 August;3158.0;5233.0
191;Total countries;0 Food and live animals;2019 September;3277.0;5258.0
192;Total countries;0 Food and live animals;2019 October;3640.0;5898.0
193;Total countries;0 Food and live animals;2019 November;3473.0;5519.0
194;Total countries;0 Food and live animals;2019 December;3446.0;5324.0
195;Total countries;0 Food and live animals;2019;41415.0;64980.0
196;Total countries;0 Food and live animals;2020 January;3640.0;5629.0
197;Total countries;0 Food and live animals;2020 February;3305.0;5269.0
198;Total countries;0 Food and live animals;2020 March;3768.0;5852.0
199;Total countries;0 Food and live animals;2020 April;3497.0;5309.0
200;Total countries;0 Food and live animals;2020 May;3266.0;5158.0
201;Total countries;0 Food and live animals;2020 June;3353.0;5213.0
202;Total countries;0 Food and live animals;2020 July;3391.0;5425.0
203;Total countries;0 Food and live animals;2020 August;3020.0;4984.0
204;Total countries;0 Food and live animals;2020 September;3366.0;5580.0
205;Total countries;0 Food and live animals;2020 October;3476.0;5620.0
206;Total countries;0 Food and live animals;2020 November;3391.0;5260.0
207;Total countries;0 Food and live animals;2020 December;3514.0;5392.0
208;Total countries;0 Food and live animals;2020;40986.0;64690.0
209;Total countries;0 Food and live animals;2021 January;3339.0;5035.0
210;Total countries;0 Food and live animals;2021 February;3271.0;5097.0
211;Total countries;0 Food and live animals;2021 March;3900.0;6163.0
212;Total countries;0 Food and live animals;2021 April;3655.0;5813.0
213;Total countries;0 Food and live animals;2021 May;3533.0;5623.0
214;Total countries;0 Food and live animals;2021 June;3694.0;5939.0
215;Total countries;0 Food and live animals;2021 July;3575.0;5781.0
216;Total countries;0 Food and live animals;2021 August;3422.0;5583.0
217;Total countries;0 Food and live animals;2021 September;3658.0;5912.0
218;Total countries;0 Food and live animals;2021 October;3551.0;5752.0
219;Total countries;0 Food and live animals;2021 November;3986.0;6198.0
220;Total countries;0 Food and live animals;2021 December;4134.0;6131.0
221;Total countries;0 Food and live animals;2021;43718.0;69028.0
222;Total countries;0 Food and live animals;2022 January;3876.0;5713.0
223;Total countries;0 Food and live animals;2022 February;3742.0;5723.0
224;Total countries;0 Food and live animals;2022 March;4680.0;6881.0
225;Total countries;0 Food and live animals;2022 April;4294.0;6687.0
226;Total countries;0 Food and live animals;2022 May;4514.0;6900.0
227;Total countries;0 Food and live animals;2022 June;4509.0;6840.0
228;Total countries;0 Food and live animals;2022 July;4281.0;6694.0
229;Total countries;0 Food and live animals;2022 August;4387.0;7009.0
230;Total countries;0 Food and live animals;2022 September;4409.0;7335.0
231;Total countries;0 Food and live animals;2022 October;4590.0;7244.0
232;Total countries;0 Food and live animals;2022 November;4742.0;7570.0
233;Total countries;0 Food and live animals;2022 December;4450.0;7098.0
234;Total countries;0 Food and live animals;2022;52474.0;81694.0
235;Total countries;0 Food and live animals;2023 January;4481.0;6966.0
236;Total countries;0 Food and live animals;2023 February;4402.0;6897.0
237;Total countries;0 Food and live animals;2023 March;5007.0;7926.0
238;Total countries;0 Food and live animals;2023 April;4492.0;6635.0
