ID;SBI93;Jaren;Bedrijfsopbrengsten_1;NettoOmzet_2;BedrijfslastenTotaal_3;KostprijsVanDeOmzet_4;Personeelskosten_5;Afschrijvingen_6;OverigeBedrijfslasten_7;Bedrijfsresultaat_8;SaldoFinancieleResultaten_9;ResultaatVoorBelastingen_10;Bedrijven_11;WerkzamePersonen_12;NettoOmzet_13;BedrijfslastenTotaal_14;KostprijsVanDeOmzet_15;Personeelskosten_16;Afschrijvingen_17;OverigeBedrijfslasten_18;Bedrijfsresultaat_19;SaldoFinancieleResultaten_20;ResultaatVoorBelastingen_21
0;50101,50103,50105 Bedrijfsauto's;1997;2920.0;2910.0;2797.0;2337.0;262.0;31.0;166.0;124.0;-20.0;104.0;7.1;8.7;99.6;95.8;80.0;9.0;1.1;5.7;4.2;-0.7;3.6
1;50101,50103,50105 Bedrijfsauto's;1998;3333.0;3322.0;3196.0;2687.0;290.0;33.0;185.0;137.0;-15.0;122.0;7.8;9.0;99.7;95.9;80.6;8.7;1.0;5.6;4.1;-0.5;3.7
2;50101,50103,50105 Bedrijfsauto's;1999;3447.0;3437.0;3310.0;2769.0;312.0;39.0;189.0;137.0;-20.0;118.0;9.0;9.7;99.7;96.0;80.3;9.1;1.1;5.5;4.0;-0.6;3.4
3;50102 Import van nieuwe personenauto's;1997;9127.0;9090.0;9008.0;6562.0;155.0;24.0;2267.0;120.0;4.0;124.0;0.3;3.2;99.6;98.7;71.9;1.7;0.3;24.8;1.3;0.0;1.4
4;50102 Import van nieuwe personenauto's;1998;10934.0;10895.0;10701.0;7893.0;168.0;25.0;2614.0;233.0;7.0;241.0;0.3;3.3;99.6;97.9;72.2;1.5;0.2;23.9;2.1;0.1;2.2
5;50102 Import van nieuwe personenauto's;1999;12542.0;12481.0;12275.0;8949.0;183.0;35.0;3107.0;268.0;0.0;267.0;0.3;3.4;99.5;97.9;71.3;1.5;0.3;24.8;2.1;0.0;2.1
6;50104 Handel in personenauto's;1997;22358.0;22299.0;21746.0;18902.0;1484.0;230.0;1130.0;612.0;-177.0;434.0;132.2;73.5;99.7;97.3;84.5;6.6;1.0;5.1;2.7;-0.8;1.9
7;50104 Handel in personenauto's;1998;24683.0;24602.0;24039.0;20917.0;1631.0;263.0;1227.0;643.0;-135.0;509.0;129.6;72.7;99.7;97.4;84.7;6.6;1.1;5.0;2.6;-0.5;2.1
8;50104 Handel in personenauto's;1999;27355.0;27279.0;26560.0;23249.0;1711.0;281.0;1319.0;795.0;-166.0;628.0;125.9;77.2;99.7;97.1;85.0;6.3;1.0;4.8;2.9;-0.6;2.3
9;502 Autoservicebedrijven;1997;1237.0;1231.0;1097.0;529.0;321.0;49.0;198.0;140.0;-16.0;124.0;32.7;16.4;99.4;88.7;42.7;25.9;4.0;16.0;11.3;-1.3;10.0
10;502 Autoservicebedrijven;1998;1378.0;1370.0;1198.0;557.0;357.0;59.0;224.0;180.0;-14.0;166.0;34.8;17.6;99.4;87.0;40.4;25.9;4.3;16.3;13.0;-1.0;12.0
11;502 Autoservicebedrijven;1999;1499.0;1493.0;1310.0;597.0;402.0;64.0;248.0;189.0;-1.0;188.0;34.6;18.7;99.6;87.4;39.8;26.8;4.2;16.5;12.6;-0.1;12.5
12;50301-50302 Groothandel auto-onderdelen;1997;4012.0;3995.0;3846.0;3180.0;336.0;50.0;280.0;167.0;-21.0;146.0;18.3;13.5;99.6;95.8;79.3;8.4;1.2;7.0;4.2;-0.5;3.6
13;50301-50302 Groothandel auto-onderdelen;1998;4485.0;4468.0;4298.0;3588.0;358.0;50.0;302.0;186.0;-31.0;155.0;17.3;14.0;99.6;95.8;80.0;8.0;1.1;6.7;4.1;-0.7;3.5
14;50301-50302 Groothandel auto-onderdelen;1999;5144.0;5127.0;4945.0;4212.0;372.0;48.0;314.0;199.0;-32.0;167.0;17.0;14.2;99.7;96.1;81.9;7.2;0.9;6.1;3.9;-0.6;3.3
15;50303 Detailhandel in auto-onderdelen;1997;236.0;232.0;219.0;148.0;32.0;7.0;33.0;17.0;-4.0;13.0;4.2;2.4;98.1;92.9;62.5;13.5;2.8;14.0;7.1;-1.6;5.6
