ID;Sex;Age;MaritalStatus;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
0;Total male and female;Total;Total marital status;Caribbean Netherlands;2011;21087.0
1;Total male and female;Total;Total marital status;Caribbean Netherlands;2012;22304.0
2;Total male and female;Total;Total marital status;Caribbean Netherlands;2013;23296.0
3;Total male and female;Total;Total marital status;Caribbean Netherlands;2014;24279.0
4;Total male and female;Total;Total marital status;Caribbean Netherlands;2015;24593.0
5;Total male and female;Total;Total marital status;Caribbean Netherlands;2016;24548.0
6;Total male and female;Total;Total marital status;Caribbean Netherlands;2017;24439.0
7;Total male and female;Total;Total marital status;Caribbean Netherlands;2018;25052.0
8;Total male and female;Total;Total marital status;Caribbean Netherlands;2019;25157.0
9;Total male and female;Total;Total marital status;Caribbean Netherlands;2020;25987.0
10;Total male and female;Total;Total marital status;Caribbean Netherlands;2021;26805.0
11;Total male and female;Total;Total marital status;Caribbean Netherlands;2022;27726.0
12;Total male and female;Total;Total marital status;Caribbean Netherlands;2023;29418.0
13;Total male and female;Total;Total marital status;Caribbean Netherlands;2024;30397.0
14;Total male and female;Total;Total marital status;Bonaire;2011;15679.0
15;Total male and female;Total;Total marital status;Bonaire;2012;16541.0
16;Total male and female;Total;Total marital status;Bonaire;2013;17408.0
17;Total male and female;Total;Total marital status;Bonaire;2014;18413.0
18;Total male and female;Total;Total marital status;Bonaire;2015;18905.0
19;Total male and female;Total;Total marital status;Bonaire;2016;19408.0
20;Total male and female;Total;Total marital status;Bonaire;2017;19179.0
21;Total male and female;Total;Total marital status;Bonaire;2018;19549.0
22;Total male and female;Total;Total marital status;Bonaire;2019;20104.0
23;Total male and female;Total;Total marital status;Bonaire;2020;20915.0
24;Total male and female;Total;Total marital status;Bonaire;2021;21745.0
25;Total male and female;Total;Total marital status;Bonaire;2022;22573.0
26;Total male and female;Total;Total marital status;Bonaire;2023;24090.0
27;Total male and female;Total;Total marital status;Bonaire;2024;25133.0
28;Total male and female;Total;Total marital status;St. Eustatius;2011;3611.0
29;Total male and female;Total;Total marital status;St. Eustatius;2012;3792.0
30;Total male and female;Total;Total marital status;St. Eustatius;2013;3897.0
31;Total male and female;Total;Total marital status;St. Eustatius;2014;4020.0
32;Total male and female;Total;Total marital status;St. Eustatius;2015;3877.0
33;Total male and female;Total;Total marital status;St. Eustatius;2016;3193.0
34;Total male and female;Total;Total marital status;St. Eustatius;2017;3250.0
35;Total male and female;Total;Total marital status;St. Eustatius;2018;3348.0
36;Total male and female;Total;Total marital status;St. Eustatius;2019;3138.0
