ID;Populatie;Gemeenten;Schoolsoorten;Herkomst;Perioden;LeerlingenInLeerjaar3_1;LeerlingenIn_2
0;Woongemeente;Nederland totaal;0;Totaal herkomstgroeperingen;2003/'04;187540.0;100.0
1;Woongemeente;Nederland totaal;0;Totaal herkomstgroeperingen;2004/'05;192060.0;100.0
2;Woongemeente;Nederland totaal;0;Autochtonen;2003/'04;145920.0;100.0
3;Woongemeente;Nederland totaal;0;Autochtonen;2004/'05;149940.0;100.0
4;Woongemeente;Nederland totaal;0;Niet-westerse allochtonen;2003/'04;28750.0;100.0
5;Woongemeente;Nederland totaal;0;Niet-westerse allochtonen;2004/'05;29030.0;100.0
6;Woongemeente;Nederland totaal;0;Westerse allochtonen;2003/'04;12580.0;100.0
7;Woongemeente;Nederland totaal;0;Westerse allochtonen;2004/'05;12660.0;100.0
8;Woongemeente;Nederland totaal;0;Turken;2003/'04;6430.0;100.0
9;Woongemeente;Nederland totaal;0;Turken;2004/'05;6630.0;100.0
10;Woongemeente;Nederland totaal;0;Marokkanen;2003/'04;5760.0;100.0
11;Woongemeente;Nederland totaal;0;Marokkanen;2004/'05;5780.0;100.0
12;Woongemeente;Nederland totaal;0;Surinamers;2003/'04;5530.0;100.0
13;Woongemeente;Nederland totaal;0;Surinamers;2004/'05;5690.0;100.0
14;Woongemeente;Nederland totaal;0;Antillianen en Arubanen;2003/'04;2110.0;100.0
15;Woongemeente;Nederland totaal;0;Antillianen en Arubanen;2004/'05;2130.0;100.0
16;Woongemeente;Nederland totaal;0;Overig niet-westerse allochtonen;2003/'04;8920.0;100.0
17;Woongemeente;Nederland totaal;0;Overig niet-westerse allochtonen;2004/'05;8790.0;100.0
18;Woongemeente;Nederland totaal;0;Herkomst onbekend;2003/'04;280.0;100.0
19;Woongemeente;Nederland totaal;0;Herkomst onbekend;2004/'05;440.0;100.0
20;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Totaal herkomstgroeperingen;2003/'04;6170.0;3.0
21;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Totaal herkomstgroeperingen;2004/'05;6700.0;3.0
22;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Autochtonen;2003/'04;4960.0;3.0
23;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Autochtonen;2004/'05;5330.0;4.0
24;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Niet-westerse allochtonen;2003/'04;670.0;2.0
25;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Niet-westerse allochtonen;2004/'05;780.0;3.0
26;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Westerse allochtonen;2003/'04;540.0;4.0
27;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Westerse allochtonen;2004/'05;580.0;5.0
28;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Turken;2003/'04;70.0;1.0
29;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Turken;2004/'05;100.0;1.0
30;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Marokkanen;2003/'04;90.0;2.0
31;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Marokkanen;2004/'05;130.0;2.0
32;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Surinamers;2003/'04;160.0;3.0
33;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Surinamers;2004/'05;160.0;3.0
34;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Antillianen en Arubanen;2003/'04;60.0;3.0
35;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Antillianen en Arubanen;2004/'05;70.0;3.0
36;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Overig niet-westerse allochtonen;2003/'04;290.0;3.0
37;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Overig niet-westerse allochtonen;2004/'05;330.0;4.0
38;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Herkomst onbekend;2003/'04;;
39;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Herkomst onbekend;2004/'05;10.0;2.0
40;Woongemeente;Nederland totaal;Vwo;Totaal herkomstgroeperingen;2003/'04;37450.0;20.0
41;Woongemeente;Nederland totaal;Vwo;Totaal herkomstgroeperingen;2004/'05;39420.0;21.0
42;Woongemeente;Nederland totaal;Vwo;Autochtonen;2003/'04;31210.0;21.0
43;Woongemeente;Nederland totaal;Vwo;Autochtonen;2004/'05;32970.0;22.0
44;Woongemeente;Nederland totaal;Vwo;Niet-westerse allochtonen;2003/'04;3280.0;11.0
