ID;Leeftijd;Perioden;TotaalAantalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
0;Totaal over alle leeftijden;2005;7095783;2471714;4624069;2300126;904081;976555;443307
1;Totaal over alle leeftijden;2006;7145935;2519552;4626383;2299438;901143;983841;441961
2;Totaal over alle leeftijden;2007;7195910;2566289;4629621;2300876;899288;989927;439530
3;Totaal over alle leeftijden;2008;7246449;2612664;4633785;2304739;897585;995126;436335
4;Totaal over alle leeftijden;2009;7297977;2658828;4639149;2310332;896689;999450;432678
5;Totaal over alle leeftijden;2010;7350404;2704711;4645693;2318542;896440;1002553;428158
6;Totaal over alle leeftijden;2011;7403280;2750017;4653263;2329275;896346;1004325;423317
7;Totaal over alle leeftijden;2012;7456037;2794432;4661605;2342339;896013;1005105;418148
8;Totaal over alle leeftijden;2013;7508351;2837833;4670518;2357657;894977;1004975;412909
9;Totaal over alle leeftijden;2014;7559528;2880018;4679510;2374774;893323;1004117;407296
10;Totaal over alle leeftijden;2015;7608933;2920555;4688378;2392722;891024;1002895;401737
11;Totaal over alle leeftijden;2016;7656676;2959913;4696763;2410538;888312;1001583;396330
12;Totaal over alle leeftijden;2017;7703027;2998612;4704415;2427247;885164;1000655;391349
13;Totaal over alle leeftijden;2018;7747816;3036600;4711216;2442939;881911;999718;386648
14;Totaal over alle leeftijden;2019;7791110;3073959;4717151;2457158;878530;998906;382557
15;Totaal over alle leeftijden;2020;7832335;3110130;4722205;2471098;875107;997304;378696
16;Totaal over alle leeftijden;2021;7871579;3145223;4726356;2484497;871146;995359;375354
17;Totaal over alle leeftijden;2022;7909149;3179256;4729893;2498077;866169;993025;372622
18;Totaal over alle leeftijden;2023;7944622;3211884;4732738;2512378;859982;990087;370291
19;Totaal over alle leeftijden;2024;7977804;3243092;4734712;2526504;852312;987260;368636
20;Totaal over alle leeftijden;2025;8008332;3272487;4735845;2540035;843432;984789;367589
21;Totaal over alle leeftijden;2026;8036125;3300080;4736045;2552510;833639;982893;367003
22;Totaal over alle leeftijden;2027;8060825;3325581;4735244;2563273;823423;981709;366839
23;Totaal over alle leeftijden;2028;8082339;3348966;4733373;2571968;813128;981293;366984
24;Totaal over alle leeftijden;2029;8100632;3370164;4730468;2578363;803059;981646;367400
25;Totaal over alle leeftijden;2030;8115704;3389233;4726471;2582356;793497;982668;367950
26;Totaal over alle leeftijden;2031;8127619;3406111;4721508;2584078;784534;984274;368622
27;Totaal over alle leeftijden;2032;8136612;3421060;4715552;2583657;776192;986353;369350
28;Totaal over alle leeftijden;2033;8143029;3434138;4708891;2581563;768491;988770;370067
29;Totaal over alle leeftijden;2034;8147152;3445544;4701608;2578054;761518;991296;370740
30;Totaal over alle leeftijden;2035;8149304;3455247;4694057;2573765;755272;993685;371335
31;Totaal over alle leeftijden;2036;8149558;3463052;4686506;2569098;749791;995808;371809
32;Totaal over alle leeftijden;2037;8148365;3469360;4679005;2564207;745160;997497;372141
33;Totaal over alle leeftijden;2038;8145948;3474205;4671743;2559459;741298;998688;372298
34;Totaal over alle leeftijden;2039;8142529;3477665;4664864;2555095;738196;999289;372284
35;Totaal over alle leeftijden;2040;8138437;3480062;4658375;2551208;735752;999352;372063
36;Totaal over alle leeftijden;2041;8133870;3481418;4652452;2548084;733870;998868;371630
37;Totaal over alle leeftijden;2042;8128937;3481847;4647090;2545718;732452;997930;370990
38;Totaal over alle leeftijden;2043;8123784;3481424;4642360;2544224;731365;996592;370179
