ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
0;Totaal;Bouwjaargroep 1998 en ouder;Bebouwde kom;8.45;1.11;1.21;0.101
1;Totaal;Bouwjaargroep 1998 en ouder;Buitenwegen;2.79;0.33;0.82;0.048
2;Totaal;Bouwjaargroep 1998 en ouder;Autosnelwegen;3.69;0.32;1.36;0.058
3;Totaal;1999;Bebouwde kom;3.81;0.47;1.37;0.076
4;Totaal;1999;Buitenwegen;1.47;0.09;0.64;0.027
5;Totaal;1999;Autosnelwegen;1.36;0.07;1.06;0.052
6;Totaal;2000;Bebouwde kom;2.94;0.44;1.4;0.068
7;Totaal;2000;Buitenwegen;1.06;0.07;0.65;0.025
8;Totaal;2000;Autosnelwegen;0.93;0.06;1.14;0.05
9;Totaal;2001;Bebouwde kom;2.3;0.46;1.4;0.057
10;Totaal;2001;Buitenwegen;0.64;0.05;0.64;0.022
11;Totaal;2001;Autosnelwegen;0.61;0.05;1.17;0.046
12;Totaal;2002;Bebouwde kom;2.26;0.5;1.43;0.063
13;Totaal;2002;Buitenwegen;0.66;0.06;0.59;0.022
14;Totaal;2002;Autosnelwegen;0.53;0.04;0.89;0.043
15;Totaal;2003;Bebouwde kom;2.09;0.52;1.46;0.065
16;Totaal;2003;Buitenwegen;0.47;0.06;0.61;0.023
17;Totaal;2003;Autosnelwegen;0.47;0.04;0.92;0.046
18;Totaal;2004;Bebouwde kom;1.82;0.45;1.45;0.069
19;Totaal;2004;Buitenwegen;0.35;0.05;0.62;0.025
20;Totaal;2004;Autosnelwegen;0.41;0.04;0.92;0.048
21;Totaal;2005;Bebouwde kom;1.63;0.47;1.14;0.053
22;Totaal;2005;Buitenwegen;0.33;0.07;0.65;0.023
23;Totaal;2005;Autosnelwegen;0.33;0.02;0.52;0.039
24;Totaal;2006;Bebouwde kom;1.62;0.47;1.03;0.044
25;Totaal;2006;Buitenwegen;0.29;0.05;0.59;0.017
26;Totaal;2006;Autosnelwegen;0.29;0.01;0.49;0.034
27;Totaal;2007;Bebouwde kom;1.48;0.4;0.77;0.038
28;Totaal;2007;Buitenwegen;0.24;0.04;0.41;0.014
29;Totaal;2007;Autosnelwegen;0.26;0.01;0.35;0.033
30;Personenauto-benzine;Bouwjaargroep 1998 en ouder;Bebouwde kom;9.36;1.07;0.7;0.016
31;Personenauto-benzine;Bouwjaargroep 1998 en ouder;Buitenwegen;2.65;0.29;0.53;0.009
32;Personenauto-benzine;Bouwjaargroep 1998 en ouder;Autosnelwegen;3.67;0.28;0.87;0.009
33;Personenauto-benzine;1999;Bebouwde kom;5.65;0.42;0.34;0.01
34;Personenauto-benzine;1999;Buitenwegen;1.93;0.08;0.2;0.005
