ID;BedrijfskenmerkenSBI2008;Perioden;Ziekteverzuimpercentage_1
0;A-U Alle economische activiteiten;1996 1e kwartaal;5.5
1;A-U Alle economische activiteiten;1996 2e kwartaal;4.6
2;A-U Alle economische activiteiten;1996 3e kwartaal;4.0
3;A-U Alle economische activiteiten;1996 4e kwartaal;4.7
4;A-U Alle economische activiteiten;1996;4.7
5;A-U Alle economische activiteiten;1997 1e kwartaal;4.9
6;A-U Alle economische activiteiten;1997 2e kwartaal;4.5
7;A-U Alle economische activiteiten;1997 3e kwartaal;4.1
8;A-U Alle economische activiteiten;1997 4e kwartaal;4.9
9;A-U Alle economische activiteiten;1997;4.6
10;A-U Alle economische activiteiten;1998 1e kwartaal;5.2
11;A-U Alle economische activiteiten;1998 2e kwartaal;4.9
12;A-U Alle economische activiteiten;1998 3e kwartaal;4.5
13;A-U Alle economische activiteiten;1998 4e kwartaal;5.3
14;A-U Alle economische activiteiten;1998;5.0
15;A-U Alle economische activiteiten;1999 1e kwartaal;5.9
16;A-U Alle economische activiteiten;1999 2e kwartaal;5.1
17;A-U Alle economische activiteiten;1999 3e kwartaal;4.9
18;A-U Alle economische activiteiten;1999 4e kwartaal;5.6
19;A-U Alle economische activiteiten;1999;5.4
20;A-U Alle economische activiteiten;2000 1e kwartaal;5.9
21;A-U Alle economische activiteiten;2000 2e kwartaal;5.3
22;A-U Alle economische activiteiten;2000 3e kwartaal;5.2
23;A-U Alle economische activiteiten;2000 4e kwartaal;5.7
24;A-U Alle economische activiteiten;2000;5.5
25;A-U Alle economische activiteiten;2001 1e kwartaal;5.8
26;A-U Alle economische activiteiten;2001 2e kwartaal;5.4
27;A-U Alle economische activiteiten;2001 3e kwartaal;5.1
28;A-U Alle economische activiteiten;2001 4e kwartaal;5.5
29;A-U Alle economische activiteiten;2001;5.5
30;A-U Alle economische activiteiten;2002 1e kwartaal;5.9
31;A-U Alle economische activiteiten;2002 2e kwartaal;5.4
32;A-U Alle economische activiteiten;2002 3e kwartaal;4.9
33;A-U Alle economische activiteiten;2002 4e kwartaal;5.4
34;A-U Alle economische activiteiten;2002;5.4
35;A-U Alle economische activiteiten;2003 1e kwartaal;5.3
36;A-U Alle economische activiteiten;2003 2e kwartaal;4.6
37;A-U Alle economische activiteiten;2003 3e kwartaal;4.1
38;A-U Alle economische activiteiten;2003 4e kwartaal;4.8
39;A-U Alle economische activiteiten;2003;4.7
40;A-U Alle economische activiteiten;2004 1e kwartaal;4.7
41;A-U Alle economische activiteiten;2004 2e kwartaal;4.0
42;A-U Alle economische activiteiten;2004 3e kwartaal;3.7
43;A-U Alle economische activiteiten;2004 4e kwartaal;4.3
44;A-U Alle economische activiteiten;2004;4.2
45;A-U Alle economische activiteiten;2005 1e kwartaal;4.6
46;A-U Alle economische activiteiten;2005 2e kwartaal;3.9
47;A-U Alle economische activiteiten;2005 3e kwartaal;3.6
48;A-U Alle economische activiteiten;2005 4e kwartaal;4.2
49;A-U Alle economische activiteiten;2005;4.1
50;A-U Alle economische activiteiten;2006 1e kwartaal;4.6
51;A-U Alle economische activiteiten;2006 2e kwartaal;4.0
52;A-U Alle economische activiteiten;2006 3e kwartaal;3.7
53;A-U Alle economische activiteiten;2006 4e kwartaal;4.3
54;A-U Alle economische activiteiten;2006;4.2
55;A-U Alle economische activiteiten;2007 1e kwartaal;4.6
56;A-U Alle economische activiteiten;2007 2e kwartaal;4.0
57;A-U Alle economische activiteiten;2007 3e kwartaal;3.7
58;A-U Alle economische activiteiten;2007 4e kwartaal;4.3
59;A-U Alle economische activiteiten;2007;4.2
60;A-U Alle economische activiteiten;2008 1e kwartaal;4.6
61;A-U Alle economische activiteiten;2008 2e kwartaal;4.0
62;A-U Alle economische activiteiten;2008 3e kwartaal;3.7
63;A-U Alle economische activiteiten;2008 4e kwartaal;4.2
64;A-U Alle economische activiteiten;2008;4.1
65;A-U Alle economische activiteiten;2009 1e kwartaal;4.5
66;A-U Alle economische activiteiten;2009 2e kwartaal;3.8
67;A-U Alle economische activiteiten;2009 3e kwartaal;3.7
68;A-U Alle economische activiteiten;2009 4e kwartaal;4.4
69;A-U Alle economische activiteiten;2009;4.1
70;A-U Alle economische activiteiten;2010 1e kwartaal;4.4
71;A-U Alle economische activiteiten;2010 2e kwartaal;4.0
72;A-U Alle economische activiteiten;2010 3e kwartaal;3.9
73;A-U Alle economische activiteiten;2010 4e kwartaal;4.4
74;A-U Alle economische activiteiten;2010;4.2
75;A-U Alle economische activiteiten;2011 1e kwartaal;4.6
76;A-U Alle economische activiteiten;2011 2e kwartaal;4.1
77;A-U Alle economische activiteiten;2011 3e kwartaal;3.8
78;A-U Alle economische activiteiten;2011 4e kwartaal;4.2
79;A-U Alle economische activiteiten;2011;4.2
80;A-U Alle economische activiteiten;2012 1e kwartaal;4.4
81;A-U Alle economische activiteiten;2012 2e kwartaal;3.9
82;A-U Alle economische activiteiten;2012 3e kwartaal;3.6
83;A-U Alle economische activiteiten;2012 4e kwartaal;4.1
84;A-U Alle economische activiteiten;2012;4.0
85;A-U Alle economische activiteiten;2013 1e kwartaal;4.5
86;A-U Alle economische activiteiten;2013 2e kwartaal;3.8
87;A-U Alle economische activiteiten;2013 3e kwartaal;3.5
88;A-U Alle economische activiteiten;2013 4e kwartaal;3.9
89;A-U Alle economische activiteiten;2013;3.9
90;A-U Alle economische activiteiten;2014 1e kwartaal;4.0
91;A-U Alle economische activiteiten;2014 2e kwartaal;3.7
92;A-U Alle economische activiteiten;2014 3e kwartaal;3.5
93;A-U Alle economische activiteiten;2014 4e kwartaal;4.0
94;A-U Alle economische activiteiten;2014;3.8
95;A-U Alle economische activiteiten;2015 1e kwartaal;4.4
96;A-U Alle economische activiteiten;2015 2e kwartaal;3.7
97;A-U Alle economische activiteiten;2015 3e kwartaal;3.5
98;A-U Alle economische activiteiten;2015 4e kwartaal;3.9
99;A-U Alle economische activiteiten;2015;3.9
100;A-U Alle economische activiteiten;2016 1e kwartaal;4.3
101;A-U Alle economische activiteiten;2016 2e kwartaal;3.8
102;A-U Alle economische activiteiten;2016 3e kwartaal;3.5
103;A-U Alle economische activiteiten;2016 4e kwartaal;4.1
104;A-U Alle economische activiteiten;2016;3.9
105;A-U Alle economische activiteiten;2017 1e kwartaal;4.3
106;A-U Alle economische activiteiten;2017 2e kwartaal;3.9
107;A-U Alle economische activiteiten;2017 3e kwartaal;3.7
108;A-U Alle economische activiteiten;2017 4e kwartaal;4.2
109;A-U Alle economische activiteiten;2017;4.0
110;A-U Alle economische activiteiten;2018 1e kwartaal;4.9
111;A-U Alle economische activiteiten;2018 2e kwartaal;4.1
112;A-U Alle economische activiteiten;2018 3e kwartaal;3.9
113;A-U Alle economische activiteiten;2018 4e kwartaal;4.3
114;A-U Alle economische activiteiten;2018;4.3
115;A-U Alle economische activiteiten;2019 1e kwartaal;4.7
116;A-U Alle economische activiteiten;2019 2e kwartaal;4.3
117;A-U Alle economische activiteiten;2019 3e kwartaal;4.0
118;A-U Alle economische activiteiten;2019 4e kwartaal;4.5
119;A-U Alle economische activiteiten;2019;4.4
120;A-U Alle economische activiteiten;2020 1e kwartaal;5.2
121;A-U Alle economische activiteiten;2020 2e kwartaal;4.5
122;A-U Alle economische activiteiten;2020 3e kwartaal;4.4
123;A-U Alle economische activiteiten;2020 4e kwartaal;4.9
124;A-U Alle economische activiteiten;2020;4.7
125;A-U Alle economische activiteiten;2021 1e kwartaal;4.8
126;A-U Alle economische activiteiten;2021 2e kwartaal;4.7
127;A-U Alle economische activiteiten;2021 3e kwartaal;4.6
128;A-U Alle economische activiteiten;2021 4e kwartaal;5.4
129;A-U Alle economische activiteiten;2021 ;4.9
130;A-U Alle economische activiteiten;2022 1e kwartaal;6.3
131;A-U Alle economische activiteiten;2022 2e kwartaal;5.4
132;A-U Alle economische activiteiten;2022 3e kwartaal;5.0
133;A-U Alle economische activiteiten;2022 4e kwartaal;5.6
134;A-U Alle economische activiteiten;2022;5.6
135;A-U Alle economische activiteiten;2023 1e kwartaal;5.7
136;A-U Alle economische activiteiten;2023 2e kwartaal;5.0
137;A-U Alle economische activiteiten;2023 3e kwartaal;4.8
138;A-U Alle economische activiteiten;2023 4e kwartaal;5.5
