ID;BedrijfstakEnKlassen;Bedrijfsgrootte;Perioden;TotaalWerknemersMetCursusOpleiding_1;MannenMetCursusOpleiding_2;VrouwenMetCursusOpleiding_3;k_15Tot25JaarMetCursusOpleiding_4;k_25Tot55JaarMetCursusOpleiding_5;k_55JaarEnOuderMetCursusOpleiding_6;VoorBedrijvenMetCursusOfOpleiding_7;WerknemersTotaal_8;WerknemersMannen_9;WerknemersVrouwen_10;Werknemers15Tot25Jaar_11;Werknemers25Tot55Jaar_12;Werknemers55JaarEnOuder_13;ParticipatieMannenBedrijvenMetOpl_14;ParticipatieVrouwenBedrMetOpl_15;Part15Tot25JaarBedrMetOpl_16;Part25Tot55JaarBedrMetOpl_17;Part55JaarEnOuderBedrMetOpl_18;GevolgdeCursussenOfOpleidingen_19;GevolgdeCursusOfOpleidingenMannen_20;GevolgdeCursusOfOpleidingenVrouwen_21;InterneCursussenOfOpleidingen_22;ExterneCursussenOfOpleidingen_23;PerWerknemer_24;PerWerknemerBedrMetCursusOfOpl_25;TotaalUrenBesteedAanCursussenOfOpl_26;GevolgdeOpleidingsurenMannen_27;GevolgdeOpleidingsurenVrouwen_28;GevolgdeInterneOpleidingsuren_29;GevolgdeExterneOpleidingsuren_30;PerWerknemerMetCursusOfOpleiding_31;PerMannelijkeWerknemerMetOpleiding_32;PerVrouwelijkeWerknemerMetOpleiding_33;PerGevolgdeCursusOfOpleiding_34;TotaalOpleidingsurenInWerktijd_35;OpleidingsurenMannenInWerktijd_36;OpleidingsurenVrouwenInWerktijd_37;GevolgdeInterneUren_38;GevolgdeExterneUren_39;AandeelInTotaalAantalOpleidingsuren_40;AandeelInGewerkteUren_41;TotaleKostenVanOpleidingen_42;VoorAlleBedrijven_43;VoorBedrijvenMetCursusOfOpleiding_44;VoorAlleBedrijven_45;VoorBedrijvenMetCursusOfOpleiding_46;KostenPerDeelnemerAanCursusOfOpl_47;KostenPerGevolgdeCursusOfOpleiding_48;KostenPerGevolgdOpleidingsuur_49;DirecteKosten_50;GederfdeLoonkosten_51;LoonkostenVanOpleidingspersoneel_52;DirecteKosten_53;GederfdeLoonkosten_54;LoonkostenVanOpleidingspersoneel_55;TotaalBedrijvenDieAanFondsBetalen_56;OOOfScholingsfondsen_57;OverigeCAOAfdrachten_58;BetalenAanOverheidsfondsen_59;BetalenAanAndereFondsen_60;TotaalBedrijvenDieSubsidiesOntvangen_61;OntvangenVanOOOfScholingsfondsen_62;OntvangenVanOverheidsfondsen_63;OntvangenVanBelastingaftrek_64;OntvangenVanEuropeseFondsen_65;PrivateInstellingen_66;TotaalAlleTypenBedrijfsopleidingen_67;CursussenOfOpleidingen_68;InterneCursussenOfOpleidingen_69;ExterneCursussenOfOpleidingen_70;OpleidingOpDeWerkplek_71;TotaalOverigeCursussenOfOpleidingen_72;JobRotationFunctieroulatie_73;KwaliteitscirkelsGeorganisGroepsdisc_74;Zelfstudie_75;ConferentiesWorkshopsEnLezingen_76
0;Totaal bedrijfstak -klassen;Totaal bedrijfsgrootte;1993;841.0;609.0;232.0;;;;33.0;26.0;27.0;24.0;;;;;;;;;1206.0;882.0;324.0;;;38.0;48.0;;;;;;;;;;;;;;;;;1558.0;1.8;2.3;487.0;617.0;1853.0;1292.0;;647.0;672.0;239.0;42.0;43.0;15.0;;;;;;;;;;;;56.0;46.0;;;21.0;50.0;;;;
1;Totaal bedrijfstak -klassen;Totaal bedrijfsgrootte;1999;1559.0;1110.0;450.0;;;;44.0;41.0;44.0;35.0;;;;;;;;;2896.0;2059.0;837.0;1306.0;1590.0;76.0;82.0;75011.0;53579.0;21432.0;29752.0;45259.0;48.0;;;26.0;58243.0;41902.0;16341.0;26091.0;32151.0;78.0;1.1;3088.0;2.7;2.9;812.0;875.0;1981.0;1066.0;41.0;1557.0;1180.0;351.0;50.0;38.0;11.0;43.0;39.0;4.0;0.0;3.0;40.0;26.0;2.0;15.0;3.0;3.0;87.0;80.0;;;49.0;58.0;13.0;15.0;30.0;49.0
2;Totaal bedrijfstak -klassen;Totaal bedrijfsgrootte;2005;1311.0;901.0;409.0;172.0;1044.0;95.0;39.0;34.0;36.0;31.0;26.0;38.0;24.0;41.0;36.0;31.0;43.0;27.0;;;;;;;;46954.0;33520.0;13434.0;19899.0;27055.0;36.0;37.0;33.0;;;;;;;;;3093.0;2.2;2.5;809.0;929.0;2360.0;;66.0;1516.0;1355.0;222.0;49.0;44.0;7.0;26.0;;;;;21.0;;;;;;71.0;66.0;24.0;62.0;30.0;41.0;9.0;10.0;17.0;35.0
3;Totaal bedrijfstak -klassen;10-99 werknemers;1993;172.0;133.0;39.0;;;;29.0;15.0;16.0;12.0;;;;;;;;;240.0;186.0;54.0;;;20.0;41.0;11759.0;;;;;68.0;;;49.0;6010.0;;;;;51.0;0.4;224.0;0.8;1.5;192.0;380.0;1302.0;935.0;19.0;108.0;96.0;20.0;48.0;43.0;9.0;;;;;;;;;;;;53.0;42.0;;;18.0;47.0;;;;
4;Totaal bedrijfstak -klassen;10-99 werknemers;1999;545.0;414.0;131.0;;;;45.0;37.0;41.0;30.0;;;;;;;;;1005.0;760.0;246.0;319.0;686.0;69.0;83.0;25634.0;19931.0;5702.0;6852.0;18782.0;47.0;;;25.0;17543.0;14027.0;3517.0;5494.0;12050.0;68.0;0.8;848.0;1.8;2.1;583.0;697.0;1557.0;843.0;33.0;414.0;359.0;75.0;49.0;42.0;9.0;43.0;38.0;4.0;0.0;3.0;39.0;25.0;2.0;13.0;2.0;3.0;85.0;79.0;;;46.0;55.0;11.0;13.0;28.0;46.0
5;Totaal bedrijfstak -klassen;10-99 werknemers;2005;394.0;273.0;122.0;64.0;310.0;20.0;32.0;24.0;25.0;23.0;21.0;27.0;12.0;33.0;31.0;29.0;35.0;17.0;;;;;;;;13889.0;10779.0;3110.0;3761.0;10128.0;35.0;40.0;26.0;;;;;;;;;750.0;1.4;1.7;464.0;610.0;1902.0;;54.0;365.0;337.0;48.0;49.0;45.0;6.0;25.0;;;;;20.0;;;;;;69.0;64.0;21.0;60.0;28.0;39.0;8.0;9.0;16.0;33.0
6;Totaal bedrijfstak -klassen;10-19 werknemers;1993;38.0;28.0;10.0;;;;31.0;11.0;12.0;10.0;;;;;;;;;50.0;37.0;13.0;;;15.0;40.0;;;;;;;;;;;;;;;;;50.0;0.6;1.7;147.0;407.0;1312.0;1006.0;;25.0;21.0;4.0;49.0;43.0;8.0;;;;;;;;;;;;44.0;34.0;;;13.0;39.0;;;;
7;Totaal bedrijfstak -klassen;10-19 werknemers;1999;165.0;120.0;45.0;;;;47.0;36.0;39.0;30.0;;;;;;;;;321.0;229.0;92.0;108.0;213.0;71.0;92.0;9100.0;6845.0;2255.0;2360.0;6740.0;55.0;;;28.0;5914.0;4602.0;1312.0;1951.0;3963.0;65.0;0.8;272.0;1.9;2.4;598.0;778.0;1644.0;846.0;30.0;128.0;122.0;21.0;47.0;45.0;8.0;37.0;33.0;4.0;0.0;2.0;35.0;21.0;2.0;12.0;2.0;4.0;81.0;74.0;;;42.0;50.0;10.0;12.0;24.0;41.0
8;Totaal bedrijfstak -klassen;10-19 werknemers;2005;107.0;71.0;36.0;23.0;80.0;5.0;30.0;20.0;20.0;20.0;21.0;21.0;9.0;30.0;30.0;33.0;31.0;14.0;;;;;;;;3685.0;2779.0;906.0;645.0;3040.0;34.0;39.0;25.0;;;;;;;;;191.0;1.1;1.6;358.0;531.0;1781.0;;52.0;99.0;86.0;5.0;52.0;45.0;3.0;19.0;;;;;15.0;;;;;;64.0;58.0;18.0;55.0;23.0;33.0;5.0;8.0;14.0;26.0
9;Totaal bedrijfstak -klassen;20-49 werknemers;1993;71.0;56.0;16.0;;;;30.0;15.0;16.0;12.0;;;;;;;;;106.0;84.0;22.0;;;22.0;44.0;;;;;;;;;;;;;;;;;91.0;0.7;1.5;184.0;378.0;1270.0;855.0;;43.0;41.0;8.0;47.0;45.0;8.0;;;;;;;;;;;;59.0;47.0;;;23.0;52.0;;;;
