ID;PrognoseInterval;Generatie;Perioden;Allochtonen_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;k_26EULanden_11;OverigEuropa_12;Indonesie_13;OverigBuitenEuropa_14
0;Prognose;Totaal 1e en 2e generatie;2007;3170115;1738105;191851;312349;73557;329276;129392;333166;368559;1432006;834939;136032;389714;71323
1;Prognose;Totaal 1e en 2e generatie;2008;3198064;1758989;190903;318918;76293;335388;130061;334722;372709;1439083;842697;137876;386555;71958
2;Prognose;Totaal 1e en 2e generatie;2009;3230348;1782128;190806;325891;78943;341558;131749;336484;376717;1448211;851842;140255;383481;72641
3;Prognose;Totaal 1e en 2e generatie;2010;3265446;1806544;191464;332869;81425;347689;134206;338289;380623;1458912;862055;143026;380467;73349
4;Prognose;Totaal 1e en 2e generatie;2011;3302738;1831604;192272;339803;83775;353850;137036;340339;384537;1471138;873238;146077;377680;74133
5;Prognose;Totaal 1e en 2e generatie;2012;3341024;1856721;193447;346637;85994;359907;139857;342516;388369;1484294;885003;149374;374957;74981
6;Prognose;Totaal 1e en 2e generatie;2013;3379225;1881421;194817;353355;88166;365671;142721;344665;392029;1497799;896972;152711;372258;75854
7;Prognose;Totaal 1e en 2e generatie;2014;3417131;1905815;196322;360177;90359;371132;145603;346696;395531;1511320;908949;156004;369595;76779
8;Prognose;Totaal 1e en 2e generatie;2015;3454701;1929928;197973;367070;92567;376306;148524;348611;398886;1524767;920821;159258;366939;77741
9;Prognose;Totaal 1e en 2e generatie;2016;3491987;1953790;199747;374061;94799;381187;151456;350430;402110;1538204;932660;162498;364324;78739
10;Prognose;Totaal 1e en 2e generatie;2017;3529030;1977395;201602;381158;97060;385792;154435;352140;405222;1551629;944471;165710;361686;79771
11;Prognose;Totaal 1e en 2e generatie;2018;3565875;2000757;203525;388344;99341;390123;157429;353764;408242;1565114;956329;168915;359021;80843
12;Prognose;Totaal 1e en 2e generatie;2019;3602568;2023901;205530;395633;101663;394192;160434;355306;411154;1578668;968246;172113;356336;81969
13;Prognose;Totaal 1e en 2e generatie;2020;3639142;2046825;207578;403029;104007;398016;163463;356746;413991;1592329;980260;175325;353622;83119
14;Prognose;Totaal 1e en 2e generatie;2021;3675636;2069548;209676;410506;106404;401610;166519;358107;416741;1606082;992370;178532;350868;84307
15;Prognose;Totaal 1e en 2e generatie;2022;3712091;2092119;211836;418096;108837;404958;169584;359384;419431;1619976;1004604;181747;348076;85544
16;Prognose;Totaal 1e en 2e generatie;2023;3748556;2114564;214049;425799;111309;408129;172658;360575;422043;1633994;1016997;184950;345232;86815
17;Prognose;Totaal 1e en 2e generatie;2024;3785075;2136923;216332;433612;113842;411111;175754;361680;424586;1648160;1029550;188168;342323;88126
18;Prognose;Totaal 1e en 2e generatie;2025;3821685;2159200;218663;441533;116416;413935;178872;362709;427075;1662487;1042278;191369;339346;89473
